date,hour,status,ticks,retries,ts
2013-01-01,22,missing,0,0,2026-08-20T12:34:30.908040
2013-01-02,1,missing,0,0,2026-08-20T12:34:34.420000
2013-01-02,2,missing,0,1,2026-08-20T12:34:40.103671
2013-01-02,3,missing,0,0,2026-08-20T12:34:43.230905
2013-01-02,0,missing,0,1,2026-08-20T12:35:01.458770
2013-01-02,4,missing,0,1,2026-08-20T12:35:17.962969
2013-01-01,21,missing,0,3,2026-08-20T12:35:24.593541
2013-01-01,23,missing,0,3,2026-08-20T12:35:24.604709
2013-01-02,8,ok,134,0,2026-08-20T12:35:27.167304
2013-01-02,6,ok,98,1,2026-08-20T12:35:28.127886
2013-01-02,5,missing,0,3,2026-08-20T12:35:38.933659
2013-01-02,11,ok,103,0,2026-08-20T12:35:41.418669
2013-01-02,12,ok,61,0,2026-08-20T12:35:43.973652
2013-01-02,7,ok,56,1,2026-08-20T12:36:02.052090
2013-01-02,14,ok,191,1,2026-08-20T12:36:11.882725
2013-01-02,10,ok,144,2,2026-08-20T12:36:42.732576
2013-01-02,13,ok,90,4,2026-08-20T12:37:12.195121
2013-01-02,23,ok,197,0,2026-08-20T12:37:24.249533
2013-01-02,9,failed,0,4,2026-08-20T12:37:25.576261
