date,branch,direction,dOpen,bHi,bLo,entry,sl,tp,outcome,exit_price,exit_bar,bars_held,bars_to_entry,pnl,mfe,mae
2024-01-03,ashort,-1,7580.597,7574.287,7565.757,7565.757,7591.287,7526.757,TIMEOUT,7558.757,2024-01-03 13:11:00+11:00,180,0,7.0,28.11999999999989,9.0
2024-01-04,flipshort,-1,7506.667,7517.287,7504.667,7487.667,7534.287,7448.667,TIMEOUT,7506.569,2024-01-04 13:10:00+11:00,180,27,-18.902000000000044,4.5,24.92999999999938
2024-01-04,along,1,7506.667,7517.287,7504.667,7517.287,7487.667,7556.287,SL,7487.667,2024-01-04 10:31:00+11:00,27,0,-29.61999999999989,1.4399999999995998,29.61999999999989
2024-01-05,along,1,7499.599,7503.539,7492.539,7503.539,7475.539,7542.539,TIMEOUT,7497.659,2024-01-05 13:18:00+11:00,180,0,-5.880000000000109,10.11999999999989,10.969999999999345
2024-01-08,ashort,-1,7477.629,7476.569,7465.629,7465.629,7493.569,7426.629,SL,7493.569,2024-01-08 11:00:00+11:00,48,0,-27.94000000000051,0.0,30.0
2024-01-08,fliplong,1,7477.629,7476.569,7465.629,7493.569,7448.629,7532.569,TIMEOUT,7472.999,2024-01-08 13:25:00+11:00,180,48,-20.57000000000062,13.089999999999236,24.970000000000255
2024-01-09,fliplong,1,7529.569,7521.599,7516.599,7538.599,7499.599,7577.599,TIMEOUT,7525.569,2024-01-09 13:16:00+11:00,180,105,-13.029999999999745,2.0900000000001455,19.0600000000004
2024-01-09,ashort,-1,7529.569,7521.599,7516.599,7516.599,7538.599,7477.599,SL,7538.599,2024-01-09 11:51:00+11:00,105,0,-22.0,0.0,24.090000000000146
2024-01-10,ashort,-1,7502.999,7501.999,7497.629,7497.629,7518.999,7458.629,TIMEOUT,7482.689,2024-01-10 13:14:00+11:00,180,0,14.9399999999996,18.0,17.36999999999989
2024-01-11,along,1,7488.659,7496.629,7490.629,7496.629,7473.629,7535.629,TIMEOUT,7503.659,2024-01-11 13:06:00+11:00,180,0,7.029999999999745,12.36999999999989,14.090000000000146
