date,branch,direction,dOpen,bHi,bLo,entry,sl,tp,outcome,exit_price,exit_bar,bars_held,bars_to_entry,pnl,mfe,mae
2024-01-04,along,1,7506.667,7517.287,7504.667,7517.287,7487.667,7556.287,SL,7487.667,2024-01-04 10:31:00+11:00,27,0,-29.61999999999989,1.4399999999995998,29.61999999999989
2024-01-05,along,1,7499.599,7503.539,7492.539,7503.539,7475.539,7542.539,TIMEOUT,7497.659,2024-01-05 13:18:00+11:00,180,0,-5.880000000000109,10.11999999999989,10.969999999999345
2024-01-11,along,1,7488.659,7496.629,7490.629,7496.629,7473.629,7535.629,TIMEOUT,7503.659,2024-01-11 13:06:00+11:00,180,0,7.029999999999745,12.36999999999989,14.090000000000146
2024-01-19,along,1,7405.593,7413.657,7410.625,7413.657,7393.625,7452.657,TIMEOUT,7409.689,2024-01-19 13:08:00+11:00,180,0,-3.967999999999847,33.34199999999964,11.096000000000458
2024-01-22,along,1,7435.593,7451.657,7442.657,7451.657,7425.657,7490.657,TIMEOUT,7450.657,2024-01-22 10:58:00+11:00,53,0,-1.0,11.341999999999643,5.064000000000306
2024-01-24,along,1,7544.659,7556.223,7544.787,7556.223,7527.787,7595.223,SL,7527.787,2024-01-24 10:10:00+11:00,6,0,-28.435999999999694,0.0,30.662000000000262
2024-01-25,along,1,7550.287,7550.787,7549.097,7550.787,7532.097,7589.787,SL,7532.097,2024-01-25 11:05:00+11:00,59,0,-18.69000000000051,5.309999999999491,19.194000000000415
2024-01-30,along,1,7611.625,7618.561,7612.999,7618.561,7595.999,7657.561,TIMEOUT,7605.689,2024-01-30 13:16:00+11:00,180,0,-12.871999999999389,11.438000000000102,14.967999999999847
2024-02-01,along,1,7596.593,7610.561,7608.657,7610.561,7591.657,7649.561,SL,7591.657,2024-02-01 11:44:00+11:00,100,0,-18.90399999999954,11.438000000000102,19.90399999999954
2024-02-08,along,1,7619.689,7655.755,7649.223,7655.755,7632.223,7694.755,TIMEOUT,7675.691,2024-02-08 13:07:00+11:00,180,0,19.935999999999694,21.341999999999643,20.064000000000306
2024-02-15,along,1,7589.625,7592.625,7590.561,7592.625,7573.561,7631.625,TIMEOUT,7592.593,2024-02-15 13:09:00+11:00,180,0,-0.032000000000152795,30.064000000000306,4.032000000000153
