date,branch,direction,dOpen,bHi,bLo,entry,sl,tp,outcome,exit_price,exit_bar,bars_held,bars_to_entry,pnl,mfe,mae
2024-01-03,ashort,-1,7580.597,7574.287,7565.757,7565.757,7591.287,7526.757,TIMEOUT,7558.757,2024-01-03 13:11:00+11:00,180,0,7.0,28.11999999999989,9.0
2024-01-08,ashort,-1,7477.629,7476.569,7465.629,7465.629,7493.569,7426.629,SL,7493.569,2024-01-08 11:00:00+11:00,48,0,-27.94000000000051,0.0,30.0
2024-01-09,ashort,-1,7529.569,7521.599,7516.599,7516.599,7538.599,7477.599,SL,7538.599,2024-01-09 11:51:00+11:00,105,0,-22.0,0.0,24.090000000000146
2024-01-10,ashort,-1,7502.999,7501.999,7497.629,7497.629,7518.999,7458.629,TIMEOUT,7482.689,2024-01-10 13:14:00+11:00,180,0,14.9399999999996,18.0,17.36999999999989
2024-01-12,ashort,-1,7477.659,7475.569,7470.659,7470.659,7492.569,7431.659,SL,7492.569,2024-01-12 11:02:00+11:00,57,0,-21.910000000000764,2.089999999999236,23.0
2024-01-15,ashort,-1,7493.227,7498.787,7492.197,7492.197,7515.787,7453.197,TIMEOUT,7508.097,2024-01-15 13:17:00+11:00,180,0,-15.899999999999636,8.470000000000255,19.899999999999636
2024-01-16,ashort,-1,7470.999,7460.999,7458.561,7458.561,7477.999,7419.561,TP,7419.561,2024-01-16 12:02:00+11:00,118,0,39.0,46.0,2.438000000000102
2024-01-17,ashort,-1,7413.625,7413.593,7406.999,7406.999,7430.593,7367.999,TIMEOUT,7404.787,2024-01-17 13:14:00+11:00,180,0,2.2119999999995343,8.340000000000146,15.288000000000466
2024-01-18,ashort,-1,7348.625,7336.691,7335.787,7335.787,7353.691,7296.787,SL,7353.691,2024-01-18 10:44:00+11:00,39,0,-17.90399999999954,13.128000000000611,18.30999999999949
2024-01-29,ashort,-1,7589.255,7569.691,7569.159,7569.159,7586.691,7530.159,SL,7586.691,2024-01-29 10:27:00+11:00,23,0,-17.532000000000153,2.9039999999995416,17.564000000000306
2024-01-31,ashort,-1,7605.159,7607.223,7603.691,7603.691,7624.223,7564.691,SL,7624.223,2024-01-31 11:30:00+11:00,85,0,-20.532000000000153,21.0,39.9980000000005
2024-02-02,ashort,-1,7642.597,7641.561,7638.787,7638.787,7658.561,7599.787,SL,7658.561,2024-02-02 11:22:00+11:00,78,0,-19.773999999999432,8.097999999999956,19.837999999999738
2024-02-05,ashort,-1,7674.255,7649.659,7645.691,7645.691,7666.659,7606.691,TP,7606.691,2024-02-05 11:38:00+11:00,94,0,39.0,39.96799999999985,2.0960000000004584
2024-02-06,ashort,-1,7613.255,7605.159,7593.287,7593.287,7622.159,7554.287,TP,7554.287,2024-02-06 10:39:00+11:00,35,0,39.0,48.66200000000026,12.935999999999694
2024-02-07,ashort,-1,7621.657,7620.561,7619.657,7619.657,7637.561,7580.657,SL,7637.561,2024-02-07 10:14:00+11:00,10,0,-17.90399999999954,4.0,19.935999999999694
2024-02-09,ashort,-1,7643.999,7644.561,7643.593,7643.593,7661.561,7604.593,TIMEOUT,7648.999,2024-02-09 13:18:00+11:00,180,0,-5.405999999999949,14.967999999999847,13.096000000000458
