date,branch,direction,dOpen,bHi,bLo,entry,sl,tp,outcome,exit_price,exit_bar,bars_held,bars_to_entry,pnl,mfe,mae
2024-01-08,fliplong,1,7477.629,7476.569,7465.629,7493.569,7448.629,7532.569,TIMEOUT,7472.999,2024-01-08 13:25:00+11:00,180,48,-20.57000000000062,13.089999999999236,24.970000000000255
2024-01-09,fliplong,1,7529.569,7521.599,7516.599,7538.599,7499.599,7577.599,TIMEOUT,7525.569,2024-01-09 13:16:00+11:00,180,105,-13.029999999999745,2.0900000000001455,19.0600000000004
2024-01-12,fliplong,1,7477.659,7475.569,7470.659,7492.569,7453.659,7531.569,TIMEOUT,7492.599,2024-01-12 13:06:00+11:00,180,57,0.02999999999974534,11.969999999999345,6.0
2024-01-18,fliplong,1,7348.625,7336.691,7335.787,7353.691,7318.787,7392.691,TIMEOUT,7353.999,2024-01-18 13:09:00+11:00,180,39,0.3079999999999927,8.902000000000044,19.13000000000011
2024-01-29,fliplong,1,7589.255,7569.691,7569.159,7586.691,7552.159,7625.691,TIMEOUT,7582.659,2024-01-29 13:12:00+11:00,180,23,-4.032000000000153,10.405999999999949,23.435999999999694
2024-01-31,fliplong,1,7605.159,7607.223,7603.691,7624.223,7586.691,7663.223,TIMEOUT,7623.625,2024-01-31 13:11:00+11:00,180,85,-0.5979999999999563,19.46600000000035,27.662000000000262
2024-02-02,fliplong,1,7642.597,7641.561,7638.787,7658.561,7621.787,7697.561,TP,7697.561,2024-02-02 13:05:00+11:00,180,78,39.0,40.12800000000061,5.0
2024-02-07,fliplong,1,7621.657,7620.561,7619.657,7637.561,7602.657,7676.561,TIMEOUT,7639.657,2024-02-07 13:05:00+11:00,180,10,2.0960000000004584,5.438000000000102,18.0
2024-02-14,fliplong,1,7509.593,7499.689,7496.689,7516.689,7479.689,7555.689,TIMEOUT,7524.657,2024-02-14 13:04:00+11:00,180,106,7.967999999999847,13.0,5.128000000000611
2024-02-21,fliplong,1,7621.191,7614.597,7609.255,7631.597,7592.255,7670.597,TIMEOUT,7617.159,2024-02-21 13:04:00+11:00,180,8,-14.438000000000102,12.5,31.341999999999643
2024-03-08,fliplong,1,7810.291,7808.657,7801.999,7825.657,7784.999,7864.657,TIMEOUT,7819.999,2024-03-08 13:08:00+11:00,180,70,-5.6580000000003565,12.69799999999941,10.365999999999985
2024-08-21,fliplong,1,7956.593,7954.999,7954.625,7971.999,7937.625,8010.999,TIMEOUT,7967.593,2024-08-21 13:05:00+10:00,180,4,-4.405999999999949,5.828000000000429,22.438000000000102
2024-08-29,fliplong,1,8023.561,8019.181,8017.593,8036.181,8000.593,8075.181,TIMEOUT,8038.625,2024-08-29 13:04:00+10:00,180,40,2.4440000000004147,5.006000000000313,20.61999999999989
2024-09-23,fliplong,1,8156.561,8142.625,8141.593,8159.625,8124.593,8198.625,TIMEOUT,8172.657,2024-09-23 13:04:00+10:00,180,146,13.032000000000153,13.032000000000153,4.064000000000306
2024-09-24,fliplong,1,8153.625,8156.657,8150.561,8173.657,8133.561,8212.657,SL,8133.561,2024-09-24 11:58:00+10:00,114,70,-40.09600000000046,2.032000000000153,42.064000000000306
2024-10-02,fliplong,1,8194.561,8186.593,8174.999,8203.593,8157.999,8242.593,TIMEOUT,8203.999,2024-10-02 13:05:00+10:00,180,59,0.4059999999990396,9.40599999999904,5.032000000001062
2024-10-07,fliplong,1,8173.689,8171.625,8166.689,8188.625,8149.689,8227.625,TIMEOUT,8198.689,2024-10-07 13:05:00+11:00,180,135,10.064000000000306,14.373999999999796,0.9679999999998472
2024-10-11,fliplong,1,8208.593,8202.689,8200.561,8219.689,8183.561,8258.689,TIMEOUT,8217.593,2024-10-11 13:05:00+11:00,180,80,-2.095999999999549,3.904000000000451,23.12800000000061
2024-10-16,fliplong,1,8281.657,8287.593,8279.689,8304.593,8262.689,8343.593,TIMEOUT,8296.689,2024-10-16 13:04:00+11:00,180,148,-7.904000000000451,2.095999999999549,10.032000000001062
2024-10-24,fliplong,1,8193.593,8195.689,8190.689,8212.689,8173.689,8251.689,TIMEOUT,8231.657,2024-10-24 13:04:00+11:00,180,91,18.967999999998938,22.30999999999949,1.0
2024-10-25,fliplong,1,8222.625,8216.561,8215.657,8233.561,8198.657,8272.561,TIMEOUT,8225.561,2024-10-25 13:04:00+11:00,180,43,-8.0,15.438000000000102,8.0
2024-11-11,fliplong,1,8264.999,8260.561,8254.593,8277.561,8237.593,8316.561,TIMEOUT,8260.689,2024-11-11 13:06:00+11:00,180,44,-16.87199999999939,2.438000000000102,31.0
2024-11-18,fliplong,1,8253.561,8248.657,8246.625,8265.657,8229.625,8304.657,TIMEOUT,8284.657,2024-11-18 13:07:00+11:00,180,61,19.0,27.342000000000553,4.095999999999549
2024-11-19,fliplong,1,8308.625,8307.593,8292.561,8324.593,8275.561,8363.593,TP,8363.593,2024-11-19 11:59:00+11:00,113,23,39.0,39.06399999999849,2.9360000000015134
2024-11-22,fliplong,1,8384.657,8377.561,8375.625,8394.561,8358.625,8433.561,TIMEOUT,8404.999,2024-11-22 13:05:00+11:00,180,30,10.438000000000102,17.12800000000061,15.967999999998938
2024-11-27,fliplong,1,8403.999,8399.657,8398.689,8416.657,8381.689,8455.657,TIMEOUT,8405.561,2024-11-27 13:05:00+11:00,180,86,-11.095999999999549,6.032000000001062,29.657999999999447
2024-12-09,fliplong,1,8399.593,8383.657,8378.593,8400.657,8361.593,8439.657,TIMEOUT,8410.689,2024-12-09 13:06:00+11:00,180,142,10.032000000001062,11.342000000000553,3.095999999999549
2024-12-30,fliplong,1,8226.689,8226.625,8224.689,8243.625,8207.689,8282.625,SL,8207.689,2024-12-30 13:01:00+11:00,176,8,-35.935999999999694,3.0640000000003056,36.03199999999924
2025-01-08,fliplong,1,8266.561,8260.657,8258.561,8277.657,8241.561,8316.657,TP,8316.657,2025-01-08 12:11:00+11:00,126,42,39.0,39.90400000000045,5.095999999999549
2025-01-24,fliplong,1,8396.625,8394.689,8392.593,8411.689,8375.593,8450.689,TIMEOUT,8407.625,2025-01-24 10:59:00+11:00,54,26,-4.064000000000306,8.967999999998938,5.064000000000306
2025-01-28,fliplong,1,8406.593,8402.561,8395.999,8419.561,8378.999,8458.561,TIMEOUT,8402.625,2025-01-28 13:04:00+11:00,180,58,-16.935999999999694,7.438000000000102,22.967999999998938
2025-01-29,fliplong,1,8422.561,8425.999,8420.657,8442.999,8403.657,8481.999,TIMEOUT,8473.689,2025-01-29 13:05:00+11:00,180,63,30.69000000000051,34.59400000000096,8.342000000000553
2025-02-03,fliplong,1,8440.657,8374.625,8352.625,8391.625,8335.625,8430.625,TIMEOUT,8389.657,2025-02-03 13:04:00+11:00,180,138,-1.9680000000007567,11.064000000000306,6.968000000000757
2025-02-19,fliplong,1,8463.625,8444.999,8434.625,8461.999,8417.625,8500.999,TIMEOUT,8428.593,2025-02-19 13:04:00+11:00,180,116,-33.40599999999904,2.657999999999447,36.4380000000001
2025-02-24,fliplong,1,8230.689,8217.999,8214.625,8234.999,8197.625,8273.999,TP,8273.999,2025-02-24 11:19:00+11:00,75,35,39.0,40.5619999999999,8.438000000000102
2025-02-28,fliplong,1,8202.561,8195.657,8190.625,8212.657,8173.625,8251.657,TIMEOUT,8213.625,2025-02-28 13:04:00+11:00,180,12,0.9680000000007567,4.342000000000553,27.09599999999955
2025-03-20,fliplong,1,7901.561,7881.657,7880.561,7898.657,7863.561,7937.657,TIMEOUT,7916.593,2025-03-20 13:07:00+11:00,180,59,17.935999999999694,17.935999999999694,15.064000000000306
2025-03-21,fliplong,1,7910.689,7905.593,7903.593,7922.593,7886.593,7961.593,TIMEOUT,7939.625,2025-03-21 13:06:00+11:00,180,46,17.032000000000153,21.40599999999995,7.0
2025-04-03,fliplong,1,7796.593,7786.689,7778.999,7803.689,7761.999,7842.689,TP,7842.689,2025-04-03 12:52:00+11:00,168,77,39.0,40.30999999999949,9.128000000000611
2025-04-04,fliplong,1,7740.999,7729.689,7716.561,7746.689,7699.561,7785.689,TIMEOUT,7720.689,2025-04-04 13:04:00+11:00,180,39,-26.0,10.30999999999949,31.12800000000061
2025-04-07,fliplong,1,7213.999,7205.689,7200.689,7222.689,7183.689,7261.689,TP,7261.689,2025-04-07 10:11:00+10:00,7,6,39.0,40.30999999999949,18.09600000000046
2025-04-08,fliplong,1,7393.625,7387.999,7386.625,7404.999,7369.625,7443.999,TP,7443.999,2025-04-08 11:40:00+10:00,96,7,39.0,39.0,33.40599999999995
2025-04-11,fliplong,1,7557.561,7541.593,7526.657,7558.593,7509.657,7597.593,TP,7597.593,2025-04-11 11:59:00+10:00,115,71,39.0,39.40599999999995,5.032000000000153
2025-05-01,fliplong,1,8111.657,8113.999,8107.593,8130.999,8090.593,8169.999,TIMEOUT,8130.689,2025-05-01 13:06:00+10:00,180,73,-0.3099999999994907,18.69000000000051,4.309999999999491
2025-05-08,fliplong,1,8170.561,8168.657,8166.593,8185.657,8149.593,8224.657,TIMEOUT,8194.999,2025-05-08 13:06:00+10:00,180,74,9.341999999999643,9.341999999999643,13.096000000000458
2025-05-09,fliplong,1,8190.999,8189.593,8186.625,8206.593,8169.625,8245.593,TIMEOUT,8219.625,2025-05-09 13:06:00+10:00,180,40,13.031999999999243,30.063999999998487,12.032000000001062
2025-06-10,fliplong,1,8541.561,8540.561,8532.593,8557.561,8515.593,8596.561,TIMEOUT,8577.657,2025-06-10 13:16:00+10:00,180,41,20.09599999999955,25.438000000000102,3.0
2025-06-24,fliplong,1,8559.999,8547.593,8544.999,8564.593,8527.999,8603.593,TIMEOUT,8556.657,2025-06-24 13:09:00+10:00,180,43,-7.936000000001513,7.40599999999904,22.0
2025-07-17,fliplong,1,8613.999,8602.625,8600.625,8619.625,8583.625,8658.625,TIMEOUT,8611.625,2025-07-17 13:20:00+10:00,180,86,-8.0,9.064000000000306,8.0
2025-07-18,fliplong,1,8677.593,8677.657,8676.689,8694.657,8659.689,8733.657,TP,8733.657,2025-07-18 12:31:00+10:00,144,23,39.0,39.03200000000106,7.095999999999549
2025-07-23,fliplong,1,8724.625,8718.657,8706.561,8735.657,8689.561,8774.657,TIMEOUT,8734.999,2025-07-23 13:13:00+10:00,180,180,-0.657999999999447,0.0,0.657999999999447
2025-07-30,fliplong,1,8703.689,8692.999,8681.593,8709.999,8664.593,8748.999,TP,8748.999,2025-07-30 11:43:00+10:00,98,32,39.0,39.0,2.0
2025-08-08,fliplong,1,8813.593,8802.593,8794.561,8819.593,8777.561,8858.593,TIMEOUT,8824.593,2025-08-08 13:18:00+10:00,180,27,5.0,9.095999999999549,18.032000000001062
2025-08-14,fliplong,1,8872.561,8867.625,8859.689,8884.625,8842.689,8923.625,TIMEOUT,8880.561,2025-08-14 13:09:00+10:00,180,7,-4.064000000000306,13.968000000000757,18.0
2025-08-20,fliplong,1,8903.561,8901.625,8884.657,8918.625,8867.657,8957.625,TIMEOUT,8935.689,2025-08-20 13:04:00+10:00,180,77,17.064000000000306,32.373999999999796,6.064000000000306
2025-10-03,fliplong,1,8933.561,8934.593,8929.561,8951.593,8912.561,8990.593,TP,8990.593,2025-10-03 12:03:00+10:00,117,16,39.0,39.09599999999955,6.032000000001062
2025-10-10,fliplong,1,8939.999,8944.593,8939.561,8961.593,8922.561,9000.593,TIMEOUT,8975.561,2025-10-10 13:04:00+11:00,180,110,13.967999999998938,18.40599999999904,2.0320000000010623
2025-10-13,fliplong,1,8916.561,8908.593,8906.625,8925.593,8889.625,8964.593,SL,8889.625,2025-10-13 10:34:00+11:00,30,5,-35.96800000000076,3.095999999999549,41.93600000000151
2025-10-21,fliplong,1,9073.625,9078.625,9064.999,9095.625,9047.999,9134.625,TIMEOUT,9086.999,2025-10-21 13:07:00+11:00,180,82,-8.626000000000204,22.373999999999796,10.031999999999243
2025-10-23,fliplong,1,9008.593,9005.689,8998.593,9022.689,8981.593,9061.689,TIMEOUT,9028.657,2025-10-23 13:04:00+11:00,180,151,5.967999999998938,5.967999999998938,5.128000000000611
2025-10-27,fliplong,1,9069.689,9058.999,9057.593,9075.999,9040.593,9114.999,TIMEOUT,9050.561,2025-10-27 13:09:00+11:00,180,30,-25.438000000000102,5.59400000000096,28.373999999999796
2025-10-30,fliplong,1,8891.689,8891.561,8890.999,8908.561,8873.999,8947.561,TIMEOUT,8915.657,2025-10-30 13:04:00+11:00,180,78,7.095999999999549,11.438000000000102,10.871999999999389
2025-11-07,fliplong,1,8824.999,8814.657,8814.625,8831.657,8797.625,8870.657,SL,8797.625,2025-11-07 13:03:00+11:00,178,38,-34.03199999999924,2.342000000000553,34.09599999999955
2025-11-10,fliplong,1,8790.999,8780.689,8778.999,8797.689,8761.999,8836.689,TIMEOUT,8825.561,2025-11-10 13:04:00+11:00,180,17,27.87199999999939,32.0,19.0
2025-11-17,fliplong,1,8610.625,8610.999,8592.625,8627.999,8575.625,8666.999,TIMEOUT,8603.561,2025-11-17 13:04:00+11:00,180,59,-24.438000000000102,1.0,26.438000000000102
2025-11-20,fliplong,1,8513.657,8511.625,8493.561,8528.625,8476.561,8567.625,TIMEOUT,8544.999,2025-11-20 13:04:00+11:00,180,26,16.373999999999796,19.373999999999796,8.064000000000306
2025-11-21,fliplong,1,8400.593,8394.593,8394.593,8411.593,8377.593,8450.593,TIMEOUT,8432.625,2025-11-21 13:04:00+11:00,180,18,21.031999999999243,37.09599999999955,5.904000000000451
2025-11-27,fliplong,1,8620.625,8621.999,8613.625,8638.999,8596.625,8677.999,TIMEOUT,8619.593,2025-11-27 13:05:00+11:00,180,44,-19.40599999999904,9.0,20.40599999999904
2025-12-03,fliplong,1,8591.561,8588.689,8588.657,8605.689,8571.657,8644.689,TIMEOUT,8585.999,2025-12-03 13:07:00+11:00,180,52,-19.69000000000051,20.30999999999949,31.0
2025-12-08,fliplong,1,8609.657,8598.657,8598.657,8615.657,8581.657,8654.657,TIMEOUT,8609.561,2025-12-08 13:17:00+11:00,180,7,-6.095999999999549,9.032000000001062,19.0
2025-12-12,fliplong,1,8668.625,8668.561,8665.593,8685.561,8648.593,8724.561,TIMEOUT,8685.689,2025-12-12 13:06:00+11:00,180,78,0.12800000000061118,10.095999999999549,11.904000000000451
2025-12-22,fliplong,1,8662.561,8667.657,8656.689,8684.657,8639.689,8723.657,TIMEOUT,8698.657,2025-12-22 13:07:00+11:00,180,77,14.0,25.342000000000553,4.095999999999549
2026-01-07,fliplong,1,8720.561,8718.689,8711.657,8735.689,8694.657,8774.689,SL,8694.657,2026-01-07 12:39:00+11:00,154,87,-41.03200000000106,5.309999999999491,43.03200000000106
2026-01-12,fliplong,1,8732.561,8730.657,8727.625,8747.657,8710.625,8786.657,TP,8786.657,2026-01-12 10:39:00+11:00,35,16,39.0,39.34200000000055,0.09599999999954889
2026-01-19,fliplong,1,8890.561,8883.593,8879.999,8900.593,8862.999,8939.593,SL,8862.999,2026-01-19 12:37:00+11:00,152,32,-37.59400000000096,0.0319999999992433,39.03200000000106
2026-01-30,fliplong,1,8954.999,8953.999,8942.561,8970.999,8925.561,9009.999,SL,8925.561,2026-01-30 12:29:00+11:00,145,40,-45.4380000000001,0.6900000000005093,46.4380000000001
2026-02-03,fliplong,1,8864.625,8863.561,8852.625,8880.561,8835.625,8919.561,TIMEOUT,8866.561,2026-02-03 13:04:00+11:00,180,29,-14.0,15.095999999999549,14.967999999998938
2026-02-04,fliplong,1,8838.625,8841.657,8837.561,8858.657,8820.561,8897.657,TP,8897.657,2026-02-04 13:00:00+11:00,176,111,39.0,41.34200000000055,7.095999999999549
2026-02-27,fliplong,1,9178.999,9178.561,9165.999,9195.561,9148.999,9234.561,TIMEOUT,9167.593,2026-02-27 13:04:00+11:00,180,68,-27.967999999998938,0.12800000000061118,29.87199999999939
2026-03-04,fliplong,1,8939.999,8936.625,8932.999,8953.625,8915.999,8992.625,SL,8915.999,2026-03-04 10:59:00+11:00,55,10,-37.626000000000204,6.064000000000306,41.064000000000306
2026-03-10,fliplong,1,8717.657,8716.561,8706.593,8733.561,8689.593,8772.561,TIMEOUT,8714.999,2026-03-10 13:04:00+11:00,180,15,-18.561999999999898,18.032000000001062,42.87199999999939
2026-03-23,fliplong,1,8291.999,8278.625,8272.561,8295.625,8255.561,8334.625,TP,8334.625,2026-03-23 12:19:00+11:00,135,41,39.0,39.96800000000076,16.0
2026-03-31,fliplong,1,8460.593,8457.999,8439.689,8474.999,8422.689,8513.999,TP,8513.999,2026-03-31 12:23:00+11:00,139,102,39.0,39.0,10.30999999999949
