date,branch,direction,bHi,bLo,dOpen,entry,sl,tp,outcome,bars_held,pnl,mfe,mae
2021-08-23,ashort,-1,7487.629,7485.539,7496.629,7485.539,7504.629,7446.539,TIMEOUT,180,-5.12,29.0,8.46
2021-08-24,ashort,-1,7510.999,7506.599,7507.689,7506.599,7527.999,7467.599,TIMEOUT,180,-11.4,7.06,16.06
2021-08-25,along,1,7535.629,7528.569,7514.629,7535.629,7511.569,7574.629,SL,133,-24.06,8.37,25.06
2021-08-26,ashort,-1,7520.569,7513.999,7516.629,7513.999,7537.569,7474.999,TP,36,39.0,39.46,1.69
2021-08-27,along,1,7477.999,7472.659,7472.539,7477.999,7455.659,7516.999,TIMEOUT,180,1.54,13.69,17.43
2021-08-30,ashort,-1,7520.599,7515.629,7516.599,7515.629,7537.599,7476.629,TP,30,39.0,41.06,11.06
2021-08-31,along,1,7521.999,7520.999,7515.629,7521.999,7503.999,7560.999,TIMEOUT,180,12.6,13.0,17.43
2021-09-01,ashort,-1,7493.999,7483.999,7505.629,7483.999,7510.999,7444.999,TIMEOUT,180,-12.69,27.43,17.63
2021-09-02,along,1,7513.569,7495.689,7483.999,7513.569,7478.689,7552.569,SL,22,-34.88,0.09,37.97
2021-09-03,along,1,7512.539,7503.599,7502.999,7512.539,7486.599,7551.539,TIMEOUT,180,14.0,17.46,9.0
2021-09-06,ashort,-1,7481.539,7471.599,7484.569,7471.599,7498.539,7432.599,TIMEOUT,180,-4.06,33.06,8.09
2021-09-07,ashort,-1,7527.689,7518.599,7533.659,7518.599,7544.689,7479.599,TIMEOUT,180,-0.03,32.0,21.0
2021-09-08,ashort,-1,7479.569,7478.689,7505.539,7478.689,7496.569,7439.689,SL,11,-17.88,4.06,20.0
2021-09-09,ashort,-1,7471.539,7469.689,7477.569,7469.689,7488.539,7430.689,TP,51,39.0,39.03,8.31
2021-09-10,along,1,7416.999,7399.569,7385.569,7416.999,7382.569,7455.999,SL,132,-34.43,15.69,34.46
2021-09-13,along,1,7396.659,7390.599,7387.629,7396.659,7373.599,7435.659,TP,160,39.0,41.94,6.12
2021-09-14,ashort,-1,7435.659,7423.689,7427.629,7423.689,7452.659,7384.689,TIMEOUT,180,18.09,36.15,3.91
2021-09-15,along,1,7416.539,7412.689,7403.999,7416.539,7395.689,7455.539,SL,32,-20.85,0.0,23.0
2021-09-16,ashort,-1,7441.599,7437.689,7446.599,7437.689,7458.599,7398.689,SL,50,-20.91,10.09,23.97
2021-09-17,ashort,-1,7432.999,7421.629,7448.999,7421.629,7449.999,7382.629,TP,88,39.0,39.03,7.37
2021-09-20,ashort,-1,7328.629,7324.539,7336.629,7324.539,7345.629,7285.539,TP,123,39.0,39.0,4.12
2021-09-21,along,1,7192.539,7190.539,7167.569,7192.539,7173.539,7231.539,TP,45,39.0,43.15,4.0
2021-09-24,ashort,-1,7377.689,7371.569,7377.999,7371.569,7394.689,7332.569,TIMEOUT,180,34.97,37.88,3.03
2021-09-27,along,1,7353.599,7340.689,7343.539,7353.599,7323.689,7392.599,TP,47,39.0,39.4,2.06
2021-09-28,ashort,-1,7343.659,7340.999,7347.659,7340.999,7360.659,7301.999,TP,82,39.0,39.43,11.6
2021-09-29,ashort,-1,7197.659,7189.599,7191.629,7189.599,7214.659,7150.599,TP,107,39.0,39.91,19.09
2021-09-30,along,1,7244.659,7231.599,7235.539,7244.659,7214.599,7283.659,TP,109,39.0,40.0,2.09
2021-10-04,along,1,7276.659,7270.999,7199.539,7276.659,7253.999,7315.659,SL,126,-22.66,30.34,24.03
2021-10-05,along,1,7238.659,7219.539,7211.629,7238.659,7202.539,7277.659,SL,115,-36.12,30.03,37.0
2021-10-06,ashort,-1,7286.629,7279.569,7286.659,7279.569,7303.629,7240.569,TP,117,39.0,40.0,3.0
2021-10-07,along,1,7249.999,7247.999,7249.629,7249.999,7230.999,7288.999,SL,15,-19.0,14.0,20.37
2021-10-08,along,1,7315.629,7313.569,7293.659,7315.629,7296.569,7354.629,SL,27,-19.06,4.37,22.06
2021-10-12,along,1,7272.659,7255.659,7264.629,7272.659,7238.659,7311.659,TP,35,39.0,40.03,1.12
2021-10-13,along,1,7284.689,7273.689,7268.599,7284.689,7256.689,7323.689,SL,13,-28.0,1.31,28.12
2021-10-18,ashort,-1,7387.689,7371.689,7391.659,7371.689,7404.689,7332.689,TIMEOUT,180,-17.88,21.69,23.88
2021-10-19,along,1,7369.999,7367.659,7360.659,7369.999,7350.659,7408.999,TIMEOUT,55,31.63,33.69,9.4
2021-10-21,along,1,7422.629,7422.599,7421.659,7422.629,7405.599,7461.629,SL,13,-17.03,1.03,17.03
2021-10-22,ashort,-1,7390.999,7375.689,7400.539,7375.689,7407.999,7336.689,SL,57,-32.31,3.06,33.31
2021-10-26,along,1,7459.569,7457.539,7458.689,7459.569,7440.539,7498.569,TIMEOUT,180,-7.57,12.43,10.97
2021-10-27,along,1,7458.999,7448.629,7452.999,7458.999,7431.629,7497.999,SL,93,-27.37,17.6,27.43
2021-10-28,along,1,7421.599,7416.629,7409.999,7421.599,7399.629,7460.599,TIMEOUT,180,2.0,25.09,6.03
2021-10-29,ashort,-1,7437.569,7431.629,7438.999,7431.629,7454.569,7392.629,TP,73,39.0,42.94,10.0
2021-11-01,ashort,-1,7388.689,7378.539,7391.629,7378.539,7405.689,7339.539,TP,11,39.0,43.0,2.09
2021-11-02,ashort,-1,7391.539,7390.689,7393.539,7390.689,7408.539,7351.689,TP,49,39.0,39.12,6.31
2021-11-03,along,1,7381.659,7380.999,7380.569,7381.659,7363.999,7420.659,TIMEOUT,54,11.34,25.34,9.0
2021-11-05,along,1,7444.599,7442.599,7442.569,7444.599,7425.599,7483.599,TIMEOUT,180,19.97,35.4,3.97
2021-11-08,along,1,7469.569,7464.629,7468.659,7469.569,7447.629,7508.569,SL,13,-21.94,8.06,23.97
2021-11-09,ashort,-1,7455.659,7449.539,7456.569,7449.539,7472.659,7410.539,TIMEOUT,54,-10.15,7.54,17.46
2021-11-11,along,1,7409.689,7404.599,7403.659,7409.689,7387.599,7448.689,SL,41,-22.09,13.31,23.03
2021-11-12,along,1,7413.689,7412.539,7413.659,7413.689,7395.539,7452.689,TP,64,39.0,39.31,3.0
2021-11-15,along,1,7450.569,7447.539,7444.569,7450.569,7430.539,7489.569,TIMEOUT,180,21.43,28.09,2.97
2021-11-16,along,1,7447.999,7446.599,7441.659,7447.999,7429.599,7486.999,SL,22,-18.4,0.63,19.4
2021-11-17,ashort,-1,7419.999,7417.629,7419.599,7417.629,7436.999,7378.629,TP,160,39.0,39.63,18.03
2021-11-18,ashort,-1,7371.539,7370.569,7374.539,7370.569,7388.539,7331.569,SL,81,-17.97,31.03,19.09
2021-11-19,ashort,-1,7374.569,7367.539,7380.599,7367.539,7391.569,7328.539,SL,41,-24.03,0.88,26.06
2021-11-23,along,1,7364.599,7349.569,7350.999,7364.599,7332.569,7403.599,TP,83,39.0,42.94,2.06
2021-11-24,ashort,-1,7406.569,7393.539,7402.659,7393.539,7423.569,7354.539,SL,153,-30.03,14.88,30.09
2021-11-25,ashort,-1,7404.659,7403.999,7410.659,7403.999,7421.659,7364.999,TIMEOUT,180,22.0,35.34,8.0
2021-11-26,ashort,-1,7399.689,7393.999,7410.999,7393.999,7416.689,7354.999,TIMEOUT,54,32.46,36.34,2.0
2021-11-29,along,1,7207.539,7197.999,7194.629,7207.539,7180.999,7246.539,TP,68,39.0,40.12,22.0
2021-11-30,along,1,7278.689,7275.539,7268.689,7278.689,7258.539,7317.689,TP,63,39.0,40.0,8.12
