branch,sl,tp,pf,wr,total_pnl
ashort,5,10,0.3170731707317073,0.13655462184873948,-1400
ashort,5,15,0.4609756097560976,0.1323529411764706,-1105
ashort,5,20,0.5853658536585366,0.12605042016806722,-850
ashort,5,25,0.6707317073170732,0.11554621848739496,-675
ashort,5,30,0.7463414634146341,0.10714285714285714,-520
ashort,5,39,0.7039024390243902,0.07773109243697479,-607
ashort,5,45,0.13170731707317074,0.012605042016806723,-1780
ashort,5,50,0.07317073170731707,0.0063025210084033615,-1900
ashort,5,60,0.0,0.0,-2050
ashort,5,75,0.0,0.0,-2050
ashort,5,100,0.0,0.0,-2050
ashort,8,10,0.3257978723404255,0.20588235294117646,-2028
ashort,8,15,0.46376329787234044,0.1953781512605042,-1613
ashort,8,20,0.5784574468085106,0.18277310924369747,-1268
ashort,8,25,0.6399601063829787,0.16176470588235295,-1083
ashort,8,30,0.668218085106383,0.1407563025210084,-998
ashort,8,39,0.6223404255319149,0.10084033613445378,-1136
ashort,8,45,0.1196808510638298,0.01680672268907563,-2648
ashort,8,50,0.08311170212765957,0.01050420168067227,-2758
ashort,8,60,0.0199468085106383,0.0021008403361344537,-2948
ashort,8,75,0.0,0.0,-3008
ashort,8,100,0.0,0.0,-3008
ashort,10,10,0.3812316715542522,0.27310924369747897,-2110
ashort,10,15,0.5366568914956011,0.25630252100840334,-1580
ashort,10,20,0.6451612903225806,0.23109243697478993,-1210
ashort,10,25,0.6964809384164223,0.19957983193277312,-1035
ashort,10,30,0.7038123167155426,0.16806722689075632,-1010
ashort,10,39,0.606158357771261,0.11134453781512606,-1343
ashort,10,45,0.10557184750733138,0.01680672268907563,-3050
ashort,10,50,0.07331378299120235,0.01050420168067227,-3160
ashort,10,60,0.017595307917888565,0.0021008403361344537,-3350
ashort,10,75,0.0,0.0,-3410
ashort,10,100,0.0,0.0,-3410
ashort,12,10,0.40865384615384615,0.32142857142857145,-2214
ashort,12,15,0.5729166666666666,0.3004201680672269,-1599
ashort,12,20,0.6944444444444444,0.27310924369747897,-1144
ashort,12,25,0.7478632478632479,0.23529411764705882,-944
ashort,12,30,0.7612179487179487,0.19957983193277312,-894
ashort,12,39,0.6458333333333334,0.13025210084033614,-1326
ashort,12,45,0.09615384615384616,0.01680672268907563,-3384
ashort,12,50,0.06677350427350427,0.01050420168067227,-3494
ashort,12,60,0.016025641025641024,0.0021008403361344537,-3684
ashort,12,75,0.0,0.0,-3744
ashort,12,100,0.0,0.0,-3744
ashort,15,10,0.4292565947242206,0.3760504201680672,-2380
ashort,15,15,0.5899280575539568,0.3445378151260504,-1710
ashort,15,20,0.6954436450839329,0.30462184873949577,-1270
ashort,15,25,0.7434052757793765,0.2605042016806723,-1070
ashort,15,30,0.762589928057554,0.22268907563025211,-990
ashort,15,39,0.6453237410071943,0.14495798319327732,-1479
ashort,15,45,0.09712230215827339,0.018907563025210083,-3765
ashort,15,50,0.05995203836930456,0.01050420168067227,-3920
ashort,15,60,0.014388489208633094,0.0021008403361344537,-4110
ashort,15,75,0.0,0.0,-4170
ashort,15,100,0.0,0.0,-4170
ashort,17,10,0.4710569486758847,0.4222689075630252,-2257
ashort,17,15,0.6397937661120225,0.38235294117647056,-1537
ashort,17,20,0.7218186079212562,0.3235294117647059,-1187
ashort,17,25,0.7616592453714554,0.27310924369747897,-1017
ashort,17,30,0.7733770799156315,0.23109243697478993,-967
ashort,17,39,0.6397937661120225,0.14705882352941177,-1537
ashort,17,45,0.09491445980782752,0.018907563025210083,-3862
ashort,17,50,0.05858917272088118,0.01050420168067227,-4017
ashort,17,60,0.014061401453011484,0.0021008403361344537,-4207
ashort,17,75,0.0,0.0,-4267
ashort,17,100,0.0,0.0,-4267
ashort,20,10,0.6704545454545454,0.4957983193277311,-1160
ashort,20,15,0.8607954545454546,0.42436974789915966,-490
ashort,20,20,0.9488636363636364,0.35084033613445376,-180
ashort,20,25,1.015625,0.3004201680672269,55
ashort,20,30,0.9971590909090909,0.24579831932773108,-10
ashort,20,39,0.8198863636363637,0.15546218487394958,-634
ashort,20,45,0.11505681818181818,0.018907563025210083,-3115
ashort,20,50,0.07102272727272728,0.01050420168067227,-3270
ashort,20,60,0.017045454545454544,0.0021008403361344537,-3460
ashort,20,75,0.0,0.0,-3520
ashort,20,100,0.0,0.0,-3520
ashort,25,10,1.306024096385542,0.569327731092437,635
ashort,25,15,1.5975903614457831,0.4642857142857143,1240
ashort,25,20,1.725301204819277,0.3760504201680672,1505
ashort,25,25,1.8313253012048192,0.31932773109243695,1725
ashort,25,30,1.7927710843373494,0.2605042016806723,1645
ashort,25,39,1.3908433734939758,0.15546218487394958,811
ashort,25,45,0.19518072289156627,0.018907563025210083,-1670
ashort,25,50,0.12048192771084337,0.01050420168067227,-1825
ashort,25,60,0.02891566265060241,0.0021008403361344537,-2015
ashort,25,75,0.0,0.0,-2075
ashort,25,100,0.0,0.0,-2075
ashort,30,10,2.268292682926829,0.5861344537815126,1560
