arm,n,wr,pf,net,dd,bars,top10,is_pf,oos_pf,yrs_pos,yrs
1H trail3.0 both nopyr,414,35.507246376811594,0.8225055603144781,-25.25199023680579,27.20942079919211,18.094202898550726,-118.58857152549514,0.7392334231088873,0.8957043861329967,1,7
1H trail3.0 both pyr,414,14.251207729468598,0.6980479384501664,-68.9700873072697,71.38924907112127,18.094202898550726,-124.83430707404544,0.733151462836027,0.6551952873824104,2,7
1H trail3.0 long nopyr,247,38.05668016194332,0.8656056905247411,-12.429116987372758,18.101834965736714,19.959514170040485,-221.27715671028267,0.8791993928646656,0.8552640503156521,2,7
1H trail3.0 long pyr,247,16.599190283400812,0.7660582979723334,-35.901187086052616,44.23927938811921,19.959514170040485,-219.28076492298035,0.9190498575484727,0.6103903658813645,2,7
1H trail4.24 both nopyr,284,32.3943661971831,0.8438063702021497,-15.818311252676867,17.761422632018817,31.735915492957748,-181.98828865218235,0.9064315603282161,0.7999908382760336,3,7
1H trail4.24 both pyr,284,17.253521126760564,0.7584270901021293,-53.990925985918395,58.32536139905977,31.735915492957748,-177.8723242212497,0.94679321204273,0.6027768317550092,3,7
1H trail4.24 long nopyr,167,36.52694610778443,0.9121744909240663,-5.610209485543324,12.478805980705502,33.92814371257485,-455.17775477426875,1.1042108086968827,0.7983670715648321,2,7
1H trail4.24 long pyr,167,20.35928143712575,0.8364299499522804,-23.375458051568877,38.273606326929965,33.92814371257485,-366.63220360387203,1.239709686576885,0.5680725809408127,2,7
1H trail6.0 both nopyr,173,34.104046242774565,0.7302699214322024,-15.557594382487638,15.368943775082283,59.75722543352601,-117.48236384552432,0.8342122740427492,0.6580443239550146,2,7
1H trail6.0 both pyr,173,18.497109826589593,0.589294804283203,-55.63915641542094,55.23830821588403,59.75722543352601,-91.9225291795286,0.6482127869850616,0.5377619919779864,2,7
1H trail6.0 long nopyr,98,37.755102040816325,0.9035690627639161,-3.240783824047474,6.720639479130192,58.98979591836735,-544.9220693050246,1.1138186219670008,0.7622583243034051,3,7
1H trail6.0 long pyr,98,21.428571428571427,0.8236043827682288,-13.41446741816599,20.676656653832932,58.98979591836735,-370.19669179595957,1.1664129084247032,0.5941627661008523,2,7
4H trail3.0 both nopyr,164,37.19512195121951,0.7909758430496612,-12.106939986557439,12.185934201134977,18.1890243902439,-161.83211627815032,0.7675411545663928,0.8113028259903642,2,7
4H trail3.0 both pyr,164,15.24390243902439,0.5933083848139477,-39.77560445775751,39.00855489748676,18.1890243902439,-114.26946571610516,0.6795867169336799,0.5078025250008271,2,7
4H trail3.0 long nopyr,94,42.5531914893617,0.8567294135046445,-5.093629449296146,6.4554064863942395,20.51063829787234,-339.21808448054685,0.8544389078027568,0.8586503782707039,4,7
