arm,n,wr,pf,net,maxdd,top10,pf2020,pf2021,pf2022,pf2023,pf2024,pf2025,pf2026,family,matype,fast,slow,longonly
1 SMA5/20 both | A cross-only,2876,33.76216968011126,0.9401102953265409,-2549.899999999996,4993.899999999987,-115.05549237225004,1.53,0.98,0.82,0.99,0.91,0.77,1.02,dual-cross,SMA,5,20,False
1 SMA5/20 long | A cross-only,1439,35.64975677553856,1.0101228060012746,209.70000000000164,1888.4999999999927,958.3214115402883,2.06,1.16,0.76,1.12,1.0,0.83,1.06,dual-cross,SMA,5,20,True
1 SMA8/21 both | A cross-only,2521,34.47044823482745,0.9097986392755234,-3676.3999999999924,5155.399999999995,-73.71613534979889,1.31,0.95,0.85,1.0,0.88,0.85,0.86,dual-cross,SMA,8,21,False
1 SMA8/21 long | A cross-only,1260,36.82539682539683,0.9829788296385064,-340.899999999996,1769.4999999999973,-620.0938691698517,1.76,1.13,0.79,1.13,0.99,0.92,0.9,dual-cross,SMA,8,21,True
1 SMA10/30 both | A cross-only,1776,32.77027027027027,0.8180004871967568,-6350.599999999965,6779.499999999968,-44.08244890246617,0.94,0.56,0.84,1.1,0.91,0.67,0.86,dual-cross,SMA,10,30,False
1 SMA10/30 long | A cross-only,888,35.36036036036036,0.9023313123636143,-1696.299999999982,2476.799999999984,-133.8442492483656,1.28,0.72,0.76,1.27,1.06,0.75,0.89,dual-cross,SMA,10,30,True
1 SMA20/50 both | A cross-only,1050,32.285714285714285,0.7325862693152253,-7903.599999999991,8204.599999999986,-43.396679993926874,0.68,0.39,0.88,1.36,0.56,0.76,0.75,dual-cross,SMA,20,50,False
1 SMA20/50 long | A cross-only,525,35.61904761904762,0.8234476103984564,-2488.399999999995,2862.5999999999913,-104.57723838611174,1.02,0.51,0.72,1.68,0.69,0.85,0.79,dual-cross,SMA,20,50,True
1 SMA50/200 both | A cross-only,302,32.450331125827816,0.8230252849964871,-2620.500000000018,3818.2000000000053,-187.23526044647843,1.17,0.2,1.71,0.82,0.47,1.54,0.81,dual-cross,SMA,50,200,False
1 SMA50/200 long | A cross-only,151,36.423841059602644,1.0192797631343373,139.9999999999909,1191.699999999998,2812.6428571430397,2.06,0.4,1.37,1.02,0.75,2.02,0.91,dual-cross,SMA,50,200,True
1 EMA5/20 both | A cross-only,2578,34.057408844065165,1.1850097378562736,5823.199999999997,2315.2999999999984,47.381164995191654,1.5,1.02,1.11,1.33,1.18,0.83,1.59,dual-cross,EMA,5,20,False
1 EMA5/20 long | A cross-only,1289,35.376260667183864,1.282493419785581,4400.399999999999,1158.899999999997,48.95691300790839,2.01,1.24,1.01,1.5,1.32,0.9,1.63,dual-cross,EMA,5,20,True
1 EMA8/21 both | A cross-only,2068,30.947775628626694,1.0365939343773165,1140.600000000015,3044.699999999989,242.6705242854604,1.22,0.86,1.08,1.14,1.09,0.7,1.37,dual-cross,EMA,8,21,False
1 EMA8/21 long | A cross-only,1034,32.785299806576404,1.1340567688714542,2060.6000000000076,1227.199999999997,104.62971949917461,1.63,1.06,0.97,1.29,1.26,0.77,1.4,dual-cross,EMA,8,21,True
1 EMA10/30 both | A cross-only,1532,29.960835509138384,0.9320367810904583,-1927.5999999999804,3647.29999999998,-201.48889811164352,1.15,0.63,1.12,1.17,0.83,0.66,1.2,dual-cross,EMA,10,30,False
1 EMA10/30 long | A cross-only,766,33.94255874673629,1.0383130578198783,525.00000000001,1211.7999999999965,532.7619047618948,1.56,0.82,0.98,1.34,0.99,0.72,1.26,dual-cross,EMA,10,30,True
1 EMA20/50 both | A cross-only,898,27.171492204899778,0.8150252716649846,-4270.900000000003,4793.099999999995,-93.65473319440859,0.93,0.39,1.07,1.41,0.74,0.65,0.89,dual-cross,EMA,20,50,False
1 EMA20/50 long | A cross-only,449,29.175946547884184,0.9409779577627395,-664.6000000000013,1368.899999999997,-490.21968101113356,1.41,0.56,0.88,1.59,0.95,0.75,0.93,dual-cross,EMA,20,50,True
1 EMA50/200 both | A cross-only,312,26.923076923076923,0.7683799518248272,-3298.200000000008,3924.6999999999935,-140.98902431629344,0.67,0.19,1.08,1.49,0.38,1.8,0.76,dual-cross,EMA,50,200,False
1 EMA50/200 long | A cross-only,156,32.05128205128205,0.9776505356483186,-157.30000000000382,1546.8999999999987,-2576.732358550478,1.29,0.38,0.91,1.72,0.66,2.43,0.87,dual-cross,EMA,50,200,True
