ft,st,fast,slow,side,rise,win,exit,n,wr,pf1,net1,dd1,top10,pf2,net2
EMA,EMA,5,20,long,False,all-day,cross,1296,27.314814814814813,0.7803902347943802,-4704.699999999994,5440.199999999994,-44.89553000191301,0.6871403702846168,-7296.699999999994
EMA,EMA,5,20,long,False,all-day,cross+3ATR,1823,23.368074602303896,0.6500279930690358,-9568.737891140881,9946.940198097516,-22.14712142927479,0.5618170539197183,-13214.737891140881
EMA,EMA,5,20,long,False,cash10-16,cross,1036,29.72972972972973,0.8438871473354239,-2763.8999999999887,3669.3999999999905,-75.80592640833632,0.7478176072423114,-4835.899999999989
EMA,EMA,5,20,long,False,cash10-16,cross+3ATR,1435,26.062717770034844,0.7178662971869315,-6236.473338450293,6554.686763355149,-33.70815340521244,0.6244423908297975,-9106.473338450294
EMA,EMA,5,20,long,True,all-day,cross,2031,23.830625307730184,0.6899866335688369,-8117.700000000004,8658.200000000004,-25.446863027704886,0.5845360367582095,-12179.700000000004
EMA,EMA,5,20,long,True,all-day,cross+3ATR,2452,22.30831973898858,0.6021048208567024,-12432.191833339624,12715.122136769403,-16.6720400375548,0.5061602264538188,-17336.191833339624
EMA,EMA,5,20,long,True,cash10-16,cross,1565,26.389776357827476,0.7415218800800591,-5501.500000000005,6175.000000000005,-36.986276470053596,0.6345588795651032,-8631.500000000004
EMA,EMA,5,20,long,True,cash10-16,cross+3ATR,1883,24.53531598513011,0.6591441519889647,-8483.489425646992,8747.005311478075,-24.06792650471516,0.558861343839366,-12249.489425646992
EMA,EMA,5,20,both,False,all-day,cross,2592,26.543209876543212,0.7183147917367854,-12386.59999999999,12840.19999999999,-22.074661327563657,0.6325041778476818,-17570.59999999999
EMA,EMA,5,20,both,False,all-day,cross+3ATR,3671,22.555162081176793,0.6031168946549014,-22086.57430144163,22185.304023175064,-12.379918961998218,0.5205493236759843,-29428.57430144163
EMA,EMA,5,20,both,False,cash10-16,cross,1984,27.772177419354836,0.7730288074052312,-8420.199999999986,9151.599999999982,-32.49566518610011,0.6901733930567749,-12388.199999999986
EMA,EMA,5,20,both,False,cash10-16,cross+3ATR,3054,24.230517354289457,0.6468261366649806,-17435.589544767332,17615.85353969584,-15.693188882283419,0.5642520196886961,-23543.589544767332
EMA,EMA,5,20,both,True,all-day,cross,4028,22.91459781529295,0.6406340230540202,-19166.99999999999,19271.899999999983,-13.528460374602174,0.5433271376711916,-27222.99999999999
EMA,EMA,5,20,both,True,all-day,cross+3ATR,4865,21.521068859198355,0.5646260900484843,-27474.556341421216,27550.205279402966,-9.43782300895879,0.47473712878013313,-37204.556341421216
EMA,EMA,5,20,both,True,cash10-16,cross,3116,24.229781771501926,0.671471907909155,-14241.199999999986,14349.59999999999,-18.0104204701851,0.5745121266911903,-20473.199999999986
EMA,EMA,5,20,both,True,cash10-16,cross+3ATR,3806,23.331581713084603,0.6029320570969647,-20260.18880911373,20339.705121925057,-12.659803046091147,0.5103578429923016,-27872.18880911373
EMA,EMA,8,21,long,False,all-day,cross,1037,28.929604628736737,0.7705757405238799,-4525.599999999998,5014.399999999994,-46.58829768428495,0.6889050207173532,-6599.599999999998
