fam,rule,win,exit,n,pf1,net1,top10,pf2
2 breakout,"20-bar high, exit 50-bar low",all-day,donchian,374,0.8354502951916188,-2410.899999999994,-159.93612343937983,0.7917282029642916
1 slow-trend,close>EMA200,cash,state,993,0.7854116895779042,-3763.6000000000113,-49.742268041236905,0.6961276035748444
1 slow-trend,close>EMA200 rising,cash,state,993,0.7854116895779042,-3763.6000000000113,-49.742268041236905,0.6961276035748444
1 slow-trend,close>SMA200,cash,state,917,0.785168024018628,-3635.00000000001,-50.445667125171724,0.6993551720915397
2 breakout,"20-bar high, exit 20-bar low",all-day,donchian,603,0.7796549577480424,-3574.8999999999833,-66.5053567931973,0.7189392247004746
2 breakout,"100-bar high, exit 50-bar low",all-day,donchian,190,0.7742859305611625,-1789.1000000000022,-157.20753451456017,0.7348320925172062
1 slow-trend,close>SMA200 rising,cash,state,864,0.7704743979537662,-3329.2000000000107,-51.44479154151125,0.6777211317868972
1 slow-trend,close>SMA100,cash,state,1128,0.7609447647387015,-4498.900000000005,-39.10956011469462,0.6695917159473879
2 breakout,"50-bar high, exit 50-bar low",all-day,donchian,266,0.7575372158429319,-2707.0,-115.97709641669739,0.718892929363061
1 slow-trend,close>SMA100 rising,cash,state,1015,0.7493537725536588,-3898.00000000001,-42.86557208825025,0.651726386661261
1 slow-trend,close>EMA100 rising,cash,state,1235,0.7481632715405095,-4946.3000000000075,-35.06257202353265,0.6544321845935919
1 slow-trend,close>EMA100,cash,state,1235,0.7481632715405095,-4946.3000000000075,-35.06257202353265,0.6544321845935919
1 slow-trend,close>SMA200,all-day,state,729,0.7357158719583764,-3332.2000000000035,-121.69437608786973,0.6545711524871276
1 slow-trend,close>EMA200,all-day,state,855,0.7285546677755661,-3655.5000000000064,-112.05307071536025,0.6407335984894135
1 slow-trend,close>EMA200 rising,all-day,state,855,0.7285546677755661,-3655.5000000000064,-112.05307071536025,0.6407335984894135
1 slow-trend,close>SMA200 rising,all-day,state,731,0.7169449791048915,-3264.7000000000016,-115.35822587067726,0.6289524916004646
1 slow-trend,close>SMA100,all-day,state,1075,0.7099483673914623,-4786.200000000001,-66.82336718064434,0.6209933883394348
1 slow-trend,close>EMA100 rising,all-day,state,1209,0.6915607042076519,-5399.600000000003,-64.62886139714047,0.599883306121822
1 slow-trend,close>EMA100,all-day,state,1209,0.6915607042076519,-5399.600000000003,-64.62886139714047,0.599883306121822
1 slow-trend,close>SMA100 rising,all-day,state,1024,0.687723830613193,-4569.100000000006,-64.46346107548523,0.5935492192970601
2 breakout,"50-bar high, exit 20-bar low",all-day,donchian,408,0.6831851245920968,-3601.8999999999887,-60.956717288098126,0.6293179396390431
2 breakout,"100-bar high, exit 20-bar low",all-day,donchian,283,0.6764432939337705,-2649.799999999992,-76.51143482527002,0.6249883384644097
1 slow-trend,close>EMA200 rising,cash,state+3ATR,1492,0.6607615781963938,-8283.176610593193,-23.837473143755595,0.5776964094098015
1 slow-trend,close>EMA200,cash,state+3ATR,1492,0.6607615781963938,-8283.176610593193,-23.837473143755595,0.5776964094098015
1 slow-trend,close>SMA200,cash,state+3ATR,1423,0.6548651342338616,-8147.5454279309115,-23.754393481074423,0.5736266159887106
1 slow-trend,close>SMA100,cash,state+3ATR,1571,0.6532313457491828,-8523.081699238795,-22.05422951850709,0.5675880900364051
1 slow-trend,close>EMA100 rising,cash,state+3ATR,1663,0.6464552444595033,-8867.724165467807,-20.747149614378444,0.5591396074366592
1 slow-trend,close>EMA100,cash,state+3ATR,1663,0.6464552444595033,-8867.724165467807,-20.747149614378444,0.5591396074366592
1 slow-trend,close>EMA200,all-day,state+3ATR,1051,0.6457126286245666,-5590.2458028190495,-73.27227003031638,0.5625863191093118
1 slow-trend,close>EMA200 rising,all-day,state+3ATR,1051,0.6457126286245666,-5590.2458028190495,-73.27227003031638,0.5625863191093118
1 slow-trend,close>SMA200,all-day,state+3ATR,946,0.6445401857408054,-5363.992607312027,-75.5985381947062,0.5664930599362181
2 breakout,"20-bar high, exit 50-bar low",all-day,donchian+3ATR,997,0.6436903501340472,-7907.292250552145,-51.10219620019535,0.5852269866781453
1 slow-trend,close>SMA200 rising,cash,state+3ATR,1329,0.638648524530172,-7487.486930080525,-25.390361515857126,0.553730414234711
1 slow-trend,close>SMA100 rising,cash,state+3ATR,1421,0.6363557757129928,-7627.230514196838,-23.99822578579485,0.5480120227372257
1 slow-trend,close>SMA100,all-day,state+3ATR,1348,0.6281307415547205,-7402.446898853665,-43.20598369297706,0.5447488944645146
1 slow-trend,close>EMA100,all-day,state+3ATR,1456,0.6185440742017656,-7737.854086391862,-45.099067015713594,0.5316347856168954
1 slow-trend,close>EMA100 rising,all-day,state+3ATR,1456,0.6185440742017656,-7737.854086391862,-45.099067015713594,0.5316347856168954
