cfg,rr,side,n,wr,pf1,net,pf2
20/40,2.0,both,100,33.0,0.6931075142030313,-286.299999999992,0.561061467641491
20/40,2.0,long,48,27.083333333333332,0.5884277243917417,-201.29999999999927,0.538007512072976
20/40,3.0,both,100,30.0,0.9327551020408269,-65.89999999998963,0.8540799149464052
20/40,3.0,long,48,27.083333333333332,0.9225107340012294,-37.89999999999873,0.8226488200070422
30/60,2.0,both,95,25.263157894736842,0.47459740259740574,-505.6999999999989,0.3845147789693994
30/60,2.0,long,47,21.27659574468085,0.5158597662771293,-232.0,0.4649313087490969
30/60,3.0,both,95,21.052631578947366,0.6374628344895984,-365.79999999999654,0.5894736842105306
30/60,3.0,long,47,21.27659574468085,0.8050918196995002,-93.39999999999964,0.7335502530730307
40/80,2.0,both,124,32.25806451612903,0.6597659765976587,-378.0000000000009,0.5188749074759428
40/80,2.0,long,62,29.03225806451613,0.5673528934997571,-266.89999999999964,0.464737056665308
40/80,3.0,both,124,23.387096774193548,0.6822199219683063,-399.100000000004,0.6004530166792477
40/80,3.0,long,62,20.967741935483872,0.6072945656950386,-268.0999999999967,0.5349045728192683
