Model,Sample,Trades,WinRate,AvgWin,AvgLoss,RR,Expectancy,ProfitFactor,NetPoints,MaxDD,AvgMFE,MedMFE,AvgMAE,MedMAE,MFECapturePct,FlipFreqPct,FlipWinPct,t
A only,FULL,419,50.4,11.54,-11.03,1.05,0.335,1.061,140.3,421.4,11.57,5.53,11.15,5.24,62.3,76.4,0.0,0.36
A only,IS,288,49.7,6.44,-6.67,0.97,-0.160,0.952,-46.1,197.1,6.50,4.23,6.71,3.75,60.7,76.0,0.0,-0.27
A only,OOS,131,51.9,22.27,-21.08,1.06,1.423,1.140,186.4,356.4,22.72,15.88,20.90,13.22,65.6,77.1,0.0,0.54
A + C1,FULL,419,50.6,11.34,-11.33,1.00,0.138,1.025,57.8,372.7,7.48,2.47,3.57,1.73,64.3,76.4,50.9,0.15
A + C1,IS,288,51.0,5.98,-6.61,0.90,-0.188,0.942,-54.1,148.2,3.90,1.64,1.92,1.22,62.2,76.0,53.0,-0.32
A + C1,OOS,131,49.6,23.46,-21.41,1.10,0.854,1.079,111.8,372.7,15.35,5.65,7.21,5.61,69.3,77.1,46.5,0.32
A + C2,FULL,419,22.4,14.36,-3.70,3.88,0.351,1.122,147.0,172.0,7.48,2.47,3.57,1.73,64.3,76.4,0.0,0.57
A + C2,IS,288,22.9,6.88,-2.12,3.24,-0.060,0.963,-17.2,68.0,3.90,1.64,1.92,1.22,62.2,76.0,0.0,-0.19
A + C2,OOS,131,21.4,31.98,-7.10,4.51,1.254,1.225,164.3,161.3,15.35,5.65,7.21,5.61,69.3,77.1,0.0,0.69
A + C3A,FULL,419,47.5,11.45,-10.62,1.08,-0.140,0.975,-58.5,405.5,7.48,2.47,3.57,1.73,64.3,76.4,46.9,-0.15
A + C3A,IS,288,48.3,5.99,-5.96,1.01,-0.189,0.939,-54.4,143.5,3.90,1.64,1.92,1.22,62.2,76.0,49.3,-0.34
A + C3A,OOS,131,45.8,24.09,-20.42,1.18,-0.031,0.997,-4.1,405.5,15.35,5.65,7.21,5.61,69.3,77.1,41.6,-0.01
A + C3B,FULL,419,37.0,12.93,-6.47,2.00,0.707,1.174,296.4,216.4,7.48,2.47,3.57,1.73,64.3,76.4,27.8,0.91
A + C3B,IS,288,37.5,7.01,-3.81,1.84,0.249,1.104,71.6,104.9,3.90,1.64,1.92,1.22,62.2,76.0,29.2,0.50
A + C3B,OOS,131,35.9,26.52,-12.16,2.18,1.716,1.220,224.8,216.4,15.35,5.65,7.21,5.61,69.3,77.1,24.8,0.77
A + C3C,FULL,419,47.5,11.41,-10.83,1.05,-0.270,0.953,-113.2,425.2,7.48,2.47,3.57,1.73,64.3,76.4,48.8,-0.30
A + C3C,IS,288,47.9,6.06,-6.09,0.99,-0.271,0.915,-78.0,146.9,3.90,1.64,1.92,1.22,62.2,76.0,52.5,-0.49
A + C3C,OOS,131,46.6,23.51,-20.99,1.12,-0.268,0.976,-35.2,425.2,15.35,5.65,7.21,5.61,69.3,77.1,40.6,-0.10
A + C1 + D,FULL,419,49.4,11.99,-10.05,1.19,0.842,1.166,352.9,275.5,7.48,2.47,3.57,1.73,64.3,76.4,21.9,0.93
A + C1 + D,IS,288,47.2,6.67,-6.01,1.11,-0.023,0.993,-6.5,199.9,3.90,1.64,1.92,1.22,62.2,76.0,21.0,-0.04
A + C1 + D,OOS,131,54.2,22.20,-20.28,1.09,2.743,1.295,359.4,275.5,15.35,5.65,7.21,5.61,69.3,77.1,23.8,1.04
B only,FULL,524,50.0,9.87,-10.61,0.93,-0.370,0.930,-194.1,505.5,10.32,5.86,10.91,5.78,61.1,83.0,0.0,-0.52
B only,IS,377,50.7,6.17,-7.14,0.86,-0.396,0.888,-149.3,322.4,6.46,4.39,7.33,4.47,60.1,83.0,0.0,-0.77
B only,OOS,147,48.3,19.82,-19.11,1.04,-0.305,0.969,-44.8,420.8,20.22,13.94,20.08,14.05,63.8,83.0,0.0,-0.14
B + C1,FULL,524,48.7,9.37,-11.20,0.84,-1.189,0.793,-622.9,718.3,5.05,1.37,2.83,1.48,62.3,83.0,51.0,-1.65
B + C1,IS,377,48.8,6.30,-6.89,0.91,-0.453,0.872,-170.9,224.1,3.30,0.90,1.69,1.13,61.8,83.0,51.1,-0.90
B + C1,OOS,147,48.3,17.32,-22.13,0.78,-3.075,0.731,-452.0,565.4,9.52,4.12,5.76,4.60,63.8,83.0,50.8,-1.40
B + C2,FULL,524,16.4,10.47,-2.84,3.69,-0.655,0.724,-343.2,418.0,5.05,1.37,2.83,1.48,62.3,83.0,0.0,-2.14
B + C2,IS,377,16.4,7.52,-1.84,4.09,-0.300,0.805,-113.2,141.4,3.30,0.90,1.69,1.13,61.8,83.0,0.0,-1.19
B + C2,OOS,147,16.3,18.10,-5.40,3.35,-1.565,0.654,-230.1,331.1,9.52,4.12,5.76,4.60,63.8,83.0,0.0,-1.79
