Model,Year,Trades,NetPoints,WinRate,PF
A only,2022,34,33.0,47.1,1.459
A only,2023,111,27.7,52.3,1.164
A only,2024,104,-101.7,46.2,0.736
A only,2025,96,-117.4,47.9,0.850
A only,2026,74,298.7,58.1,1.337
A + C1,2022,34,-89.2,38.2,0.352
A + C1,2023,111,-23.7,46.8,0.879
A + C1,2024,104,92.3,58.7,1.339
A + C1,2025,96,-82.3,53.1,0.881
A + C1,2026,74,160.6,47.3,1.154
A + C2,2022,34,-23.6,11.8,0.513
A + C2,2023,111,13.7,27.0,1.140
A + C2,2024,104,7.6,21.2,1.047
A + C2,2025,96,-88.6,19.8,0.765
A + C2,2026,74,237.9,25.7,1.462
A + C3A,2022,34,-74.2,38.2,0.379
A + C3A,2023,111,-33.4,45.0,0.830
A + C3A,2024,104,87.4,52.9,1.339
A + C3A,2025,96,-122.7,49.0,0.823
A + C3A,2026,74,84.4,45.9,1.079
A + C3B,2022,34,-75.4,20.6,0.292
A + C3B,2023,111,15.7,35.1,1.120
A + C3B,2024,104,91.2,39.4,1.438
A + C3B,2025,96,-0.1,41.7,1.000
A + C3B,2026,74,265.0,37.8,1.349
A + C3C,2022,34,-79.0,38.2,0.376
A + C3C,2023,111,-27.8,44.1,0.854
A + C3C,2024,104,62.7,52.9,1.220
A + C3C,2025,96,-102.1,49.0,0.848
A + C3C,2026,74,32.9,47.3,1.030
A + C1 + D,2022,34,14.1,50.0,1.190
A + C1 + D,2023,111,-53.2,43.2,0.769
A + C1 + D,2024,104,-64.1,49.0,0.831
A + C1 + D,2025,96,-34.7,49.0,0.949
A + C1 + D,2026,74,490.8,59.5,1.638
B only,2022,48,-11.8,41.7,0.887
B only,2023,130,59.3,56.9,1.307
B only,2024,134,-202.4,44.8,0.637
B only,2025,137,63.7,51.8,1.073
B only,2026,75,-102.9,49.3,0.902
B + C1,2022,48,-51.8,47.9,0.557
B + C1,2023,130,-109.2,43.1,0.622
B + C1,2024,134,97.7,52.2,1.246
B + C1,2025,137,-198.5,54.0,0.798
B + C1,2026,75,-361.1,42.7,0.706
B + C2,2022,48,-25.8,16.7,0.526
B + C2,2023,130,-9.9,21.5,0.908
B + C2,2024,134,-34.5,11.2,0.825
B + C2,2025,137,-50.9,19.0,0.877
B + C2,2026,75,-222.1,12.0,0.527
