group,threshold,p_mfe_reach,p_mae_reach
A_LONG,3,0.9029850746268657,0.8805970149253731
A_LONG,5,0.8805970149253731,0.835820895522388
A_LONG,8,0.8283582089552238,0.7910447761194029
A_LONG,10,0.7910447761194029,0.7313432835820896
A_LONG,12,0.7388059701492538,0.6940298507462687
A_LONG,15,0.7089552238805971,0.582089552238806
A_LONG,20,0.6343283582089553,0.5522388059701493
A_LONG,25,0.5746268656716418,0.48507462686567165
A_LONG,30,0.4626865671641791,0.3656716417910448
A_LONG,40,0.30597014925373134,0.26119402985074625
A_LONG,50,0.22388059701492538,0.22388059701492538
A_LONG,60,0.17164179104477612,0.16417910447761194
A_LONG,75,0.11940298507462686,0.1044776119402985
A_LONG,100,0.05223880597014925,0.05970149253731343
A_SHORT,3,0.9108910891089109,0.9306930693069307
A_SHORT,5,0.8811881188118812,0.8910891089108911
A_SHORT,8,0.7821782178217822,0.8316831683168316
A_SHORT,10,0.7326732673267327,0.7821782178217822
A_SHORT,12,0.693069306930693,0.7425742574257426
A_SHORT,15,0.6435643564356436,0.7227722772277227
A_SHORT,20,0.5544554455445545,0.6138613861386139
A_SHORT,25,0.4752475247524752,0.5544554455445545
A_SHORT,30,0.4158415841584158,0.46534653465346537
A_SHORT,40,0.27722772277227725,0.31683168316831684
A_SHORT,50,0.1782178217821782,0.2376237623762376
A_SHORT,60,0.15841584158415842,0.16831683168316833
A_SHORT,75,0.1188118811881188,0.10891089108910891
A_SHORT,100,0.0594059405940594,0.04950495049504951
A_BOTH,3,0.9063829787234042,0.902127659574468
A_BOTH,5,0.8808510638297873,0.8595744680851064
A_BOTH,8,0.8085106382978723,0.8085106382978723
A_BOTH,10,0.7659574468085106,0.7531914893617021
A_BOTH,12,0.7191489361702128,0.7148936170212766
A_BOTH,15,0.6808510638297872,0.6425531914893617
A_BOTH,20,0.6,0.5787234042553191
A_BOTH,25,0.5319148936170213,0.5148936170212766
A_BOTH,30,0.4425531914893617,0.4085106382978723
A_BOTH,40,0.2936170212765957,0.2851063829787234
A_BOTH,50,0.20425531914893616,0.2297872340425532
A_BOTH,60,0.16595744680851063,0.16595744680851063
A_BOTH,75,0.11914893617021277,0.10638297872340426
A_BOTH,100,0.05531914893617021,0.05531914893617021
FLIP_LONG,3,0.8461538461538461,0.9326923076923077
FLIP_LONG,5,0.7980769230769231,0.8365384615384616
FLIP_LONG,8,0.7307692307692307,0.7884615384615384
FLIP_LONG,10,0.7115384615384616,0.7596153846153846
FLIP_LONG,12,0.6923076923076923,0.7307692307692307
FLIP_LONG,15,0.6442307692307693,0.6538461538461539
FLIP_LONG,20,0.5576923076923077,0.5384615384615384
FLIP_LONG,25,0.46153846153846156,0.47115384615384615
FLIP_LONG,30,0.4326923076923077,0.3942307692307692
FLIP_LONG,40,0.3173076923076923,0.3076923076923077
FLIP_LONG,50,0.23076923076923078,0.23076923076923078
FLIP_LONG,60,0.18269230769230768,0.14423076923076922
FLIP_LONG,75,0.08653846153846154,0.10576923076923077
FLIP_LONG,100,0.057692307692307696,0.057692307692307696
FLIP_SHORT,3,0.896551724137931,0.9310344827586207
FLIP_SHORT,5,0.8620689655172413,0.8620689655172413
FLIP_SHORT,8,0.7844827586206896,0.7844827586206896
FLIP_SHORT,10,0.7327586206896551,0.7586206896551724
FLIP_SHORT,12,0.6982758620689655,0.7327586206896551
FLIP_SHORT,15,0.6551724137931034,0.6551724137931034
FLIP_SHORT,20,0.5775862068965517,0.5517241379310345
FLIP_SHORT,25,0.49137931034482757,0.49137931034482757
FLIP_SHORT,30,0.4482758620689655,0.4482758620689655
FLIP_SHORT,40,0.3275862068965517,0.31896551724137934
FLIP_SHORT,50,0.2413793103448276,0.20689655172413793
FLIP_SHORT,60,0.1896551724137931,0.13793103448275862
FLIP_SHORT,75,0.1206896551724138,0.07758620689655173
FLIP_SHORT,100,0.06896551724137931,0.06896551724137931
FLIP_BOTH,3,0.8727272727272727,0.9318181818181818
FLIP_BOTH,5,0.8318181818181818,0.85
FLIP_BOTH,8,0.759090909090909,0.7863636363636364
FLIP_BOTH,10,0.7227272727272728,0.759090909090909
FLIP_BOTH,12,0.6954545454545454,0.7318181818181818
FLIP_BOTH,15,0.65,0.6545454545454545
FLIP_BOTH,20,0.5681818181818182,0.5454545454545454
FLIP_BOTH,25,0.4772727272727273,0.4818181818181818
FLIP_BOTH,30,0.4409090909090909,0.42272727272727273
FLIP_BOTH,40,0.32272727272727275,0.31363636363636366
FLIP_BOTH,50,0.23636363636363636,0.21818181818181817
FLIP_BOTH,60,0.18636363636363637,0.1409090909090909
FLIP_BOTH,75,0.10454545454545454,0.09090909090909091
FLIP_BOTH,100,0.06363636363636363,0.06363636363636363
