kind,sl,tp,n,exp,net,win,p_tp,p_sl,p_eod,pf
A_S,3,3,101,-0.7830396039603961,-79.087,38.613861386138616,38.613861386138616,61.386138613861384,0.0,0.6082261268446367
F_L,3,3,104,-0.8238749999999999,-85.68299999999999,37.5,37.5,62.5,0.0,0.5876362586327213
A_L,3,3,134,-0.8261194029850746,-110.69999999999999,37.3134328358209,37.3134328358209,62.68656716417911,0.0,0.5837860803326704
F_S,3,3,116,-0.7646206896551724,-88.696,35.3448275862069,35.3448275862069,64.65517241379311,0.0,0.6308747456167
A_S,3,4,101,-0.6772475247524754,-68.40200000000002,34.65346534653465,34.65346534653465,65.34653465346535,0.0,0.6808997989354308
F_L,3,4,104,-1.0013846153846155,-104.144,29.807692307692307,29.807692307692307,70.1923076923077,0.0,0.5525730144954933
A_L,3,4,134,-0.6161641791044774,-82.56599999999997,35.07462686567165,35.07462686567165,64.92537313432835,0.0,0.6998975015083999
F_S,3,4,116,-0.6621293103448276,-76.807,31.896551724137932,31.896551724137932,68.10344827586206,0.0,0.6958909424937837
A_S,3,5,101,-0.4306831683168315,-43.49899999999998,33.663366336633665,33.663366336633665,66.33663366336634,0.0,0.7999181255347138
F_L,3,5,104,-0.930298076923077,-96.751,26.923076923076923,26.923076923076923,73.07692307692307,0.0,0.600453434206614
A_L,3,5,134,-0.49961940298507473,-66.94900000000001,32.08955223880597,32.08955223880597,67.91044776119402,0.0,0.7676293676439453
F_S,3,5,116,-0.4968620689655173,-57.63600000000001,30.17241379310345,30.17241379310345,69.82758620689656,0.0,0.7776997813099036
A_S,3,6,101,-0.43797029702970297,-44.235,29.7029702970297,29.7029702970297,70.29702970297029,0.0,0.8077349363028254
F_L,3,6,104,-1.0295192307692307,-107.07,23.076923076923077,23.076923076923077,76.92307692307693,0.0,0.5793472752059655
A_L,3,6,134,-0.2957164179104478,-39.626000000000005,30.597014925373134,30.597014925373134,69.40298507462687,0.0,0.8654661628353074
F_S,3,6,116,-0.441801724137931,-51.248999999999995,27.586206896551722,27.586206896551722,72.41379310344827,0.0,0.8092002635879987
A_S,3,8,101,-0.2861188118811881,-28.897999999999996,24.752475247524753,24.752475247524753,75.24752475247524,0.0,0.8821615273575442
F_L,3,8,104,-0.995451923076923,-103.52699999999999,19.230769230769234,19.230769230769234,80.76923076923077,0.0,0.6119284935132117
A_L,3,8,134,-0.030238805970149277,-4.052000000000003,27.611940298507463,27.611940298507463,72.38805970149254,0.0,0.9867926988265973
F_S,3,8,116,-0.29677586206896533,-34.42599999999998,24.137931034482758,24.137931034482758,75.86206896551724,0.0,0.8773832547967845
A_S,3,10,101,-0.5203465346534655,-52.555000000000014,19.801980198019802,19.801980198019802,80.19801980198021,0.0,0.7984552904767199
F_L,3,10,104,-0.7352019230769231,-76.461,18.269230769230766,18.269230769230766,81.73076923076923,0.0,0.7165833280821995
A_L,3,10,134,0.11439552238805979,15.329000000000011,24.62686567164179,24.62686567164179,75.3731343283582,0.0,1.0479669810435144
F_S,3,10,116,-0.4601551724137931,-53.378,18.96551724137931,18.96551724137931,81.03448275862068,0.0,0.8218625373358475
A_S,3,12,101,-0.26682178217821784,-26.949,18.81188118811881,18.81188118811881,81.1881188118812,0.0,0.897857776362768
F_L,3,12,104,-0.9675480769230772,-100.62500000000003,14.423076923076922,14.423076923076922,85.57692307692307,0.0,0.6435491698459425
A_L,3,12,134,0.036432835820895584,4.8820000000000086,20.8955223880597,20.8955223880597,79.1044776119403,0.0,1.0145557109251315
F_S,3,12,116,-0.6713103448275862,-77.872,15.517241379310345,15.517241379310345,84.48275862068965,0.0,0.7504494486442835
A_S,3,15,101,-0.11833663366336629,-11.951999999999995,16.831683168316832,16.831683168316832,83.16831683168317,0.0,0.9557620061071526
