date,kind,side,t_entry,t_exit,entry,exit,pnl,why,hold_min
2025-08-21,A_S,short,1755771000000,1755817199919,3344.298,3342.185,2.113,EOD,769.99865
2025-08-22,A_S,short,1755857700000,1755903599873,3336.285,3323.835,12.45,EOD,764.9978833333333
2025-08-25,A_S,short,1756116600000,1756162799988,3365.065,3364.785,0.28,EOD,769.9998
2025-08-26,A_L,long,1756203000000,1756205771174,3360.355,3385.405,25.05,TP,46.186233333333334
2025-08-27,A_L,long,1756289400000,1756304831633,3392.385,3377.365,-15.02,SL,257.19388333333336
2025-08-28,A_L,long,1756376700000,1756421999998,3397.745,3396.905,-0.84,EOD,754.9999666666666
2025-08-29,A_L,long,1756462200000,1756508399209,3417.105,3416.345,-0.76,EOD,769.9868166666666
2025-09-01,A_S,short,1756721400000,1756727962457,3443.515,3458.525,-15.01,SL,109.37428333333334
2025-09-02,A_L,long,1756807800000,1756813636402,3482.265,3507.288,25.023,TP,97.27336666666666
2025-09-04,A_S,short,1756980600000,1756990439700,3554.505,3529.155,25.35,TP,163.995
2025-09-05,A_L,long,1757071500000,1757111588764,3555.125,3581.385,26.26,TP,668.1460666666667
2025-09-08,A_S,short,1757329800000,1757351425207,3587.185,3602.245,-15.06,SL,360.4201166666667
2025-09-09,A_S,short,1757412600000,1757419634889,3633.435,3648.505,-15.07,SL,117.24815
2025-09-10,A_S,short,1757499300000,1757518265739,3630.298,3645.405,-15.107,SL,316.09565
2025-09-11,A_L,long,1757585700000,1757596197997,3646.915,3631.905,-15.01,SL,174.96661666666665
2025-09-12,A_L,long,1757674200000,1757717998906,3636.205,3645.225,9.02,EOD,729.9817666666667
2025-09-15,A_S,short,1757932500000,1757976610126,3635.775,3650.795,-15.02,SL,735.1687666666667
2025-09-16,A_L,long,1758017400000,1758063599818,3678.235,3689.055,10.82,EOD,769.9969666666667
2025-09-17,A_S,short,1758105300000,1758130182913,3692.835,3667.815,25.02,TP,414.71521666666666
2025-09-18,A_S,short,1758190200000,1758211831792,3663.625,3638.094,25.531,TP,360.5298666666667
2025-09-19,A_L,long,1758279900000,1758322799917,3644.375,3649.125,4.75,EOD,714.9986166666666
2025-09-22,A_L,long,1758536100000,1758559448651,3690.865,3716.025,25.16,TP,389.14418333333333
2025-09-23,A_L,long,1758623400000,1758653338450,3749.315,3774.405,25.09,TP,498.9741666666667
2025-09-24,A_S,short,1758708600000,1758728162166,3759.725,3774.725,-15.0,SL,326.0361
2025-09-25,A_L,long,1758795000000,1758801340716,3748.055,3732.948,-15.107,SL,105.6786
2025-09-26,A_L,long,1758884100000,1758927599993,3748.025,3751.785,3.76,EOD,724.9998833333333
2025-09-29,A_L,long,1759140600000,1759148491666,3773.295,3798.345,25.05,TP,131.52776666666668
2025-09-30,A_L,long,1759227300000,1759239924675,3838.915,3863.925,25.01,TP,210.41125
2025-10-01,A_L,long,1759313700000,1759342724901,3865.495,3890.525,25.03,TP,483.74835
2025-10-02,A_S,short,1759399800000,1759421835052,3859.225,3874.365,-15.14,SL,367.25086666666664
2025-10-03,A_S,short,1759486200000,1759532334992,3859.755,3874.802,-15.047,SL,768.9165333333333
2025-10-06,A_L,long,1759755900000,1759777580102,3922.335,3947.335,25.0,TP,361.33503333333334
2025-10-07,A_L,long,1759832400000,1759860062256,3967.205,3951.65,-15.555,SL,461.0376
2025-10-08,A_L,long,1759918800000,1759935738398,3992.235,4017.265,25.03,TP,282.3066333333333
2025-10-09,A_S,short,1760005800000,1760012351894,4013.595,4028.635,-15.04,SL,109.19823333333333
2025-10-10,A_L,long,1760091600000,1760106425535,3977.395,3962.198,-15.197,SL,247.09225
2025-10-13,A_L,long,1760350200000,1760350455571,4060.375,4045.185,-15.19,SL,4.259516666666666
2025-10-14,A_L,long,1760436600000,1760444129325,4116.052,4141.248,25.196,TP,125.48875
2025-10-15,A_L,long,1760523000000,1760539608576,4161.802,4186.948,25.146,TP,276.8096
2025-10-16,A_S,short,1760609400000,1760614024564,4208.958,4224.055,-15.097,SL,77.07606666666666
2025-10-17,A_L,long,1760695800000,1760702610709,4361.352,4346.335,-15.017,SL,113.51181666666666
2025-10-20,A_S,short,1760955000000,1760958788912,4251.925,4226.885,25.04,TP,63.14853333333333
2025-10-22,A_S,short,1761128100000,1761130721002,4116.525,4091.455,25.07,TP,43.683366666666664
2025-10-23,A_S,short,1761214200000,1761218482958,4095.108,4068.157,26.951,TP,71.38263333333333
2025-10-24,A_L,long,1761303000000,1761319496632,4120.075,4104.945,-15.13,SL,274.9438666666667
2025-10-27,A_L,long,1761559800000,1761561485022,4085.702,4070.548,-15.154,SL,28.0837
2025-10-28,A_S,short,1761646200000,1761647491971,3985.008,4000.135,-15.127,SL,21.53285
2025-10-29,A_L,long,1761732600000,1761737371228,3945.592,3970.665,25.073,TP,79.52046666666666
2025-10-30,A_L,long,1761819300000,1761829783778,3946.625,3931.455,-15.17,SL,174.72963333333334
2025-10-31,A_S,short,1761905700000,1761907839110,4027.025,4042.055,-15.03,SL,35.651833333333336
2025-11-03,A_L,long,1762164900000,1762166596138,3996.735,3981.665,-15.07,SL,28.268966666666667
2025-11-05,A_L,long,1762338000000,1762354097341,3938.245,3963.265,25.02,TP,268.28901666666667
2025-11-06,A_S,short,1762431000000,1762435880206,3966.455,3981.455,-15.0,SL,81.33676666666666
2025-11-07,A_L,long,1762510200000,1762537893616,3981.552,4006.605,25.053,TP,461.5602666666667
2025-11-10,A_L,long,1762769400000,1762777250805,4010.402,4035.425,25.023,TP,130.84675
2025-11-11,A_L,long,1762855800000,1762871538261,4120.562,4145.635,25.073,TP,262.30435
2025-11-12,A_L,long,1762942500000,1762955519408,4133.525,4118.485,-15.04,SL,216.99013333333335
2025-11-13,A_L,long,1763028600000,1763029974215,4208.025,4192.915,-15.11,SL,22.903583333333334
2025-11-14,A_L,long,1763115000000,1763127067386,4178.105,4203.135,25.03,TP,201.1231
2025-11-17,A_S,short,1763388600000,1763397345929,4078.005,4052.655,25.35,TP,145.76548333333332
2025-11-19,A_S,short,1763553900000,1763568990910,4067.045,4082.255,-15.21,SL,251.51516666666666
2025-11-20,A_L,long,1763634000000,1763643677002,4090.905,4075.525,-15.38,SL,161.28336666666667
2025-11-21,A_S,short,1763724900000,1763743701180,4072.495,4047.005,25.49,TP,313.353
2025-11-24,A_S,short,1763982600000,1764018189934,4060.305,4075.415,-15.11,SL,593.1655666666667
2025-11-25,A_L,long,1764067500000,1764099486272,4136.642,4121.398,-15.244,SL,533.1045333333333
2025-11-26,A_L,long,1764153600000,1764163540742,4135.952,4161.135,25.183,TP,165.67903333333334
2025-11-27,A_L,long,1764238200000,1764245810023,4169.452,4154.435,-15.017,SL,126.83371666666666
2025-11-28,A_L,long,1764324600000,1764331354061,4162.102,4187.145,25.043,TP,112.56768333333333
2025-12-01,A_L,long,1764588600000,1764593888307,4227.445,4252.505,25.06,TP,88.13845
2025-12-02,A_S,short,1764672300000,1764677391142,4230.495,4204.481,26.014,TP,84.85236666666667
2025-12-03,A_S,short,1764786600000,1764802799682,4202.375,4209.065,-6.69,EOD,269.9947
2025-12-04,A_L,long,1764843000000,1764856945802,4207.865,4192.435,-15.43,SL,232.43003333333334
2025-12-05,A_L,long,1764945900000,1764975599843,4209.665,4223.525,13.86,EOD,494.99738333333335
2025-12-08,A_S,short,1765188900000,1765192353097,4193.385,4208.395,-15.01,SL,57.55161666666667
2025-12-09,A_L,long,1765275000000,1765299885528,4192.202,4177.085,-15.117,SL,414.7588
2025-12-10,A_S,short,1765361700000,1765407599948,4208.125,4197.675,10.45,EOD,764.9991333333334
2025-12-11,A_S,short,1765448100000,1765451520059,4225.225,4240.382,-15.157,SL,57.00098333333333
2025-12-12,A_L,long,1765563000000,1765569796631,4287.535,4312.585,25.05,TP,113.27718333333333
2025-12-15,A_L,long,1765793400000,1765816301359,4308.602,4333.655,25.053,TP,381.6893166666667
2025-12-16,A_L,long,1765880700000,1765893273753,4308.455,4293.318,-15.137,SL,209.56255
2025-12-17,A_L,long,1765966200000,1765986134198,4304.571,4329.735,25.164,TP,332.2366333333333
2025-12-18,A_S,short,1766052600000,1766098799243,4337.198,4326.002,11.196,EOD,769.9873833333334
2025-12-19,A_L,long,1766141400000,1766145693832,4336.255,4320.065,-16.19,SL,71.56386666666667
2025-12-22,A_L,long,1766398200000,1766404810532,4343.302,4368.305,25.003,TP,110.17553333333333
2025-12-23,A_L,long,1766484600000,1766491472802,4453.305,4478.405,25.1,TP,114.5467
2025-12-24,A_L,long,1766571000000,1766577636723,4493.552,4518.565,25.013,TP,110.61205
2025-12-26,A_S,short,1766743800000,1766747239183,4488.198,4503.255,-15.057,SL,57.319716666666665
2025-12-30,A_L,long,1767089400000,1767089885449,4346.202,4331.125,-15.077,SL,8.090816666666667
2025-12-31,A_L,long,1767175800000,1767177316006,4344.502,4328.978,-15.524,SL,25.266766666666665
2026-01-02,A_L,long,1767348600000,1767361917184,4334.512,4359.648,25.136,TP,221.95306666666667
2026-01-06,A_L,long,1767694200000,1767695539553,4458.322,4442.925,-15.397,SL,22.325883333333334
2026-01-07,A_L,long,1767781200000,1767786805333,4499.155,4484.065,-15.09,SL,93.42221666666667
2026-01-08,A_L,long,1767867600000,1767872947734,4462.425,4447.375,-15.05,SL,89.1289
2026-01-09,A_S,short,1767953700000,1767999599947,4476.655,4475.835,0.82,EOD,764.9991166666666
2026-01-12,A_L,long,1768212600000,1768216571521,4530.075,4555.108,25.033,TP,66.19201666666666
2026-01-13,A_S,short,1768299000000,1768345199883,4593.348,4588.922,4.426,EOD,769.99805
2026-01-14,A_L,long,1768385400000,1768394437942,4593.552,4618.585,25.033,TP,150.63236666666666
2026-01-15,A_S,short,1768471800000,1768480311441,4611.948,4586.555,25.393,TP,141.85735
2026-01-16,A_L,long,1768558200000,1768561616332,4619.702,4603.915,-15.787,SL,56.93886666666667
2026-01-19,A_L,long,1768817400000,1768818530005,4655.752,4680.955,25.203,TP,18.83341666666667
2026-01-20,A_S,short,1768904700000,1768921563201,4667.685,4682.695,-15.01,SL,281.05335
2026-01-21,A_S,short,1768990200000,1768992298247,4759.248,4774.302,-15.054,SL,34.97078333333334
2026-01-22,A_S,short,1769076600000,1769083394171,4802.548,4777.545,25.003,TP,113.23618333333333
2026-01-23,A_L,long,1769163000000,1769163366376,4956.702,4941.665,-15.037,SL,6.1062666666666665
2026-01-26,A_L,long,1769422200000,1769427533709,5024.452,5049.485,25.033,TP,88.89515
2026-01-27,A_L,long,1769508600000,1769514540542,5038.652,5023.625,-15.027,SL,99.00903333333333
2026-01-28,A_L,long,1769601900000,1769604250724,5186.575,5211.615,25.04,TP,39.178733333333334
2026-01-29,A_L,long,1769681400000,1769681754252,5453.102,5478.635,25.533,TP,5.9042
2026-01-30,A_L,long,1769767800000,1769767917630,5439.602,5424.398,-15.204,SL,1.9605
2026-02-03,A_L,long,1770113400000,1770114099453,4718.202,4743.985,25.783,TP,11.65755
2026-02-04,A_L,long,1770203400000,1770203869004,4970.355,4995.485,25.13,TP,7.8167333333333335
2026-02-05,A_L,long,1770286200000,1770287726297,4996.452,5021.605,25.153,TP,25.438283333333334
2026-02-06,A_S,short,1770372900000,1770374305978,4768.355,4740.612,27.743,TP,23.432966666666665
2026-02-09,A_L,long,1770632400000,1770632792397,4989.252,5014.815,25.563,TP,6.53995
2026-02-10,A_L,long,1770754200000,1770756913351,5058.085,5042.995,-15.09,SL,45.222516666666664
2026-02-11,A_L,long,1770804600000,1770827721507,5035.882,5061.305,25.423,TP,385.35845
2026-02-16,A_S,short,1771239000000,1771244365038,5014.398,5029.405,-15.007,SL,89.4173
2026-02-17,A_S,short,1771323000000,1771327515549,4996.775,4971.732,25.043,TP,75.25915
