date,split,kind,hhmm,signal_mel,entry_mel,entry,spread,pnl,why
2025-08-26,DEV,A_LONG,1005,2025-08-26 10:05:00,2025-08-26 10:10:00,3360.355,0.67,11.25,EOD
2025-08-27,DEV,A_LONG,1005,2025-08-27 10:05:00,2025-08-27 10:10:00,3392.385,0.55,-15.02,SL
2025-08-28,DEV,FLIP_SHORT,1005,2025-08-28 10:05:00,2025-08-28 10:10:00,3394.758,0.497,-2.657,EOD
2025-08-29,DEV,A_LONG,1005,2025-08-29 10:05:00,2025-08-29 10:10:00,3417.105,0.597,-0.76,EOD
2025-09-02,DEV,A_LONG,1005,2025-09-02 10:05:00,2025-09-02 10:10:00,3482.265,0.61,-0.536,EOD
2025-09-05,DEV,FLIP_SHORT,1005,2025-09-05 10:05:00,2025-09-05 10:10:00,3551.475,0.77,-20.93,SL
2025-09-11,DEV,A_LONG,1010,2025-09-11 10:10:00,2025-09-11 10:15:00,3646.915,0.54,-15.01,SL
2025-09-12,DEV,FLIP_SHORT,1025,2025-09-12 10:25:00,2025-09-12 10:30:00,3630.925,0.52,-15.01,SL
2025-09-16,DEV,A_LONG,1005,2025-09-16 10:05:00,2025-09-16 10:10:00,3678.235,0.54,10.82,EOD
2025-09-19,DEV,FLIP_SHORT,1005,2025-09-19 10:05:00,2025-09-19 10:10:00,3639.675,0.6,-15.0,SL
2025-09-22,DEV,A_LONG,1010,2025-09-22 10:10:00,2025-09-22 10:15:00,3690.865,0.567,27.0,TP
2025-09-23,DEV,FLIP_SHORT,1010,2025-09-23 10:10:00,2025-09-23 10:15:00,3746.648,0.547,-15.004,SL
2025-09-25,DEV,A_LONG,1005,2025-09-25 10:05:00,2025-09-25 10:10:00,3748.055,0.58,-15.107,SL
2025-09-26,DEV,FLIP_SHORT,1025,2025-09-26 10:25:00,2025-09-26 10:30:00,3741.548,0.657,-15.027,SL
2025-09-29,DEV,A_LONG,1005,2025-09-29 10:05:00,2025-09-29 10:10:00,3773.295,0.62,27.05,TP
2025-09-30,DEV,A_LONG,1010,2025-09-30 10:10:00,2025-09-30 10:15:00,3838.915,0.55,27.04,TP
2025-10-01,DEV,A_LONG,1010,2025-10-01 10:10:00,2025-10-01 10:15:00,3865.495,0.58,27.14,TP
2025-10-07,DEV,FLIP_SHORT,1005,2025-10-07 10:05:00,2025-10-07 10:10:00,3962.548,0.934,-15.017,SL
2025-10-08,DEV,A_LONG,1015,2025-10-08 10:15:00,2025-10-08 10:20:00,3992.235,0.59,27.0,TP
2025-10-10,DEV,FLIP_SHORT,1005,2025-10-10 10:05:00,2025-10-10 10:10:00,3974.578,1.124,-15.137,SL
2025-10-13,DEV,A_LONG,1005,2025-10-13 10:05:00,2025-10-13 10:10:00,4060.375,0.827,-15.19,SL
2025-10-14,DEV,A_LONG,1005,2025-10-14 10:05:00,2025-10-14 10:10:00,4116.052,0.954,27.746,TP
2025-10-15,DEV,A_LONG,1005,2025-10-15 10:05:00,2025-10-15 10:10:00,4161.802,1.004,27.003,TP
2025-10-17,DEV,A_LONG,1005,2025-10-17 10:05:00,2025-10-17 10:10:00,4361.352,1.304,-15.017,SL
2025-10-21,DEV,FLIP_SHORT,1005,2025-10-21 10:05:00,2025-10-21 10:10:00,4366.895,1.007,27.14,TP
2025-10-24,DEV,FLIP_SHORT,1005,2025-10-24 10:05:00,2025-10-24 10:10:00,4114.375,1.177,-15.15,SL
2025-10-27,DEV,A_LONG,1005,2025-10-27 10:05:00,2025-10-27 10:10:00,4085.702,1.164,-15.154,SL
2025-10-29,DEV,A_LONG,1005,2025-10-29 10:05:00,2025-10-29 10:10:00,3945.592,1.244,27.063,TP
2025-10-30,DEV,A_LONG,1010,2025-10-30 10:10:00,2025-10-30 10:15:00,3946.625,0.86,-15.17,SL
2025-11-03,DEV,A_LONG,1010,2025-11-03 10:10:00,2025-11-03 10:15:00,3996.735,1.03,-15.07,SL
2025-11-04,DEV,FLIP_SHORT,1005,2025-11-04 10:05:00,2025-11-04 10:10:00,3997.785,1.367,27.13,TP
2025-11-05,DEV,A_LONG,1015,2025-11-05 10:15:00,2025-11-05 10:20:00,3938.245,0.76,27.05,TP
2025-11-07,DEV,A_LONG,1005,2025-11-07 10:05:00,2025-11-07 10:10:00,3981.552,0.687,27.003,TP
2025-11-10,DEV,A_LONG,1005,2025-11-10 10:05:00,2025-11-10 10:10:00,4010.402,1.604,27.013,TP
2025-11-11,DEV,A_LONG,1005,2025-11-11 10:05:00,2025-11-11 10:10:00,4120.562,0.714,27.013,TP
2025-11-12,DEV,A_LONG,1010,2025-11-12 10:10:00,2025-11-12 10:15:00,4133.525,0.75,-15.04,SL
2025-11-13,DEV,A_LONG,1005,2025-11-13 10:05:00,2025-11-13 10:10:00,4208.025,1.227,-15.11,SL
2025-11-14,DEV,A_LONG,1005,2025-11-14 10:05:00,2025-11-14 10:10:00,4178.105,1.17,27.28,TP
2025-11-18,DEV,FLIP_SHORT,1040,2025-11-18 10:40:00,2025-11-18 10:45:00,4036.985,0.89,27.133,TP
2025-11-20,DEV,A_LONG,1015,2025-11-20 10:15:00,2025-11-20 10:20:00,4090.905,0.77,-15.38,SL
2025-11-25,DEV,FLIP_SHORT,1010,2025-11-25 10:10:00,2025-11-25 10:15:00,4128.415,1.37,-15.04,SL
2025-11-26,DEV,A_LONG,1035,2025-11-26 10:35:00,2025-11-26 10:40:00,4135.952,1.077,27.053,TP
