cfg,n,pf,exp,net,mdd,wr,dev,val,hold,minPF,pf_m1,pf_m3,pf_m5
SL15/TP25 no BE,131,1.5793556546321657,4.413190839694657,578.128,75.108,48.854961832061065,1.4573653617336695,1.6322194359554707,1.9332747542424071,1.4573653617336695,1.552768316061735,1.5014996778172949,1.4503352604168234
SL15/TP25 BE+10,131,1.503825366058482,3.150900763358779,412.76800000000003,86.168,37.404580152671755,1.3773485286985907,1.618129603873693,1.8113776379604145,1.3773485286985907,1.4714415795563847,1.4091225337740523,1.3470878882124047
SL15/TP25 BE+11,131,1.5200976348953639,3.3116641221374046,433.828,75.18799999999999,38.93129770992366,1.448070670991014,1.618129603873693,1.648946960205239,1.448070670991014,1.4882907659256135,1.4270819346671015,1.3661524370360425
SL15/TP25 BE+12,131,1.6126256715939478,3.9682290076335875,519.838,75.18799999999999,41.98473282442748,1.550585022733453,1.7837785545680862,1.648946960205239,1.550585022733453,1.5813590622020621,1.521189901254035,1.461295329276959
SL15/TP25 BE+13,131,1.5579969586510722,3.8094580152671753,499.039,75.18799999999999,42.74809160305343,1.5070090910267004,1.4879839894123534,1.8005735452264309,1.4879839894123534,1.5283315070331194,1.4712435986313932,1.4144162175458999
SL15/TP25 BE+14,131,1.5605769653776782,3.890832061068702,509.699,75.18799999999999,43.51145038167939,1.466463924552598,1.4879839894123534,1.9539803968443694,1.466463924552598,1.5313976507852711,1.4752045664511022,1.4191324622761867
SL15/TP25 BE+15,131,1.5620888194108065,3.897549618320611,510.579,75.18799999999999,43.51145038167939,1.4687884459158846,1.4879839894123534,1.9539803968443694,1.4687884459158846,1.5328812365141573,1.4766337135056589,1.4205072878594391
SL15/TP27 no BE,131,1.606805654741942,4.696045801526719,615.1820000000001,92.241,47.32824427480916,1.4198568592375234,1.7589026208079286,2.0872260969850074,1.4198568592375234,1.5794374455022862,1.5252228241356311,1.4711255824597256
SL15/TP27 BE+10,131,1.5369813876027159,3.3596793893129777,440.11800000000005,102.875,35.87786259541985,1.3472840222695126,1.7478815742028535,1.9585332284703103,1.3472840222695126,1.5031289080848935,1.43606937403537,1.3691550301055981
SL15/TP27 BE+11,131,1.5551011114772764,3.536015267175573,463.2180000000001,91.895,37.404580152671755,1.421935995902737,1.7478815742028535,1.78290674780741,1.421935995902737,1.5218514634950122,1.4559860990443094,1.3902633392252615
SL15/TP27 BE+12,131,1.6567862898285757,4.256015267175574,557.5380000000001,91.895,40.458015267175576,1.5371210739152907,1.9265739677789673,1.78290674780741,1.5371210739152907,1.624101177069295,1.5593541197425336,1.4947472458086344
SL15/TP27 BE+13,131,1.6023659670924022,4.11396183206107,538.9290000000001,91.895,41.221374045801525,1.4939512032949782,1.6071003943467992,1.9478014099653485,1.4939512032949782,1.5713540042495306,1.509921346795024,1.448621696749813
SL15/TP27 BE+14,131,1.6058123082234024,4.206404580152672,551.039,91.895,41.98473282442748,1.4537824188069524,1.6071003943467992,2.1099270858235712,1.4537824188069524,1.5753083542310962,1.5148820288768419,1.454586532129417
SL15/TP27 BE+15,131,1.6073673912493245,4.213122137404581,551.9190000000001,91.895,41.98473282442748,1.4560853990027185,1.6071003943467992,2.1099270858235712,1.4560853990027185,1.576833896954684,1.5163490542055909,1.4559951667589222
SL15/TP32 no BE,131,1.5943498182907743,4.815190839694656,630.79,87.13099999999999,44.274809160305345,1.5344518615112337,1.9232592974694218,1.4696198101238136,1.4696198101238136,1.5625730817828136,1.5003114073066235,1.4385481729672074
SL15/TP32 BE+10,131,1.6411199760172268,4.016,526.096,97.76499999999999,32.82442748091603,1.445703317025211,1.8737792198595258,2.0606761449256368,1.445703317025211,1.6000214480086863,1.5200142824239662,1.4409844635987075
SL15/TP32 BE+11,131,1.6634959165670198,4.231427480916031,554.317,86.785,34.35114503816794,1.5302502839257068,1.8737792198595258,1.8759453656208989,1.5302502839257068,1.6231284016139824,1.5445443109034782,1.4669201830392997
SL15/TP32 BE+12,131,1.7887551155364048,5.117045801526718,670.3330000000001,86.785,37.404580152671755,1.6738244160259221,2.085142602897841,1.8759453656208989,1.6738244160259221,1.7490722023104928,1.671319578943405,1.5941894095747309
SL15/TP32 BE+13,131,1.6972694214728399,4.7673587786259555,624.5240000000001,86.785,37.404580152671755,1.6268929999797173,1.7394246492813499,1.8784101767797419,1.6268929999797173,1.6596160867104106,1.5858401131665536,1.5126547582761973
SL15/TP32 BE+14,131,1.692987147624952,4.816900763358779,631.0140000000001,86.785,38.16793893129771,1.5832201361237568,1.7394246492813499,2.0068765682877285,1.5832201361237568,1.6559499478898405,1.5833811970730458,1.5113934004048009
SL15/TP32 BE+15,131,1.6946248781179545,4.823618320610687,631.894,86.785,38.16793893129771,1.5857241192148916,1.7394246492813499,2.0068765682877285,1.5857241192148916,1.6575518500237993,1.5849128989953736,1.5128554641081422
SL16/TP25 no BE,131,1.5479781450352081,4.326404580152672,566.759,81.161,49.61832061068702,1.4650780150863612,1.5485051860890788,1.8164883873331366,1.4650780150863612,1.522326310364865,1.4728616139065798,1.4234974711705712
SL16/TP25 BE+10,131,1.4990757921951547,3.1946793893129772,418.50300000000004,92.221,38.16793893129771,1.4229580668698225,1.530080795903581,1.7088235839665633,1.4229580668698225,1.4674368795882449,1.4065512619312248,1.3459435028787583
SL16/TP25 BE+11,131,1.512316279243853,3.343610687022901,438.01300000000003,81.241,39.69465648854962,1.4935305459711794,1.530080795903581,1.5499363493104978,1.4935305459711794,1.4812846358802576,1.4215676412863203,1.3621231721495357
SL16/TP25 BE+12,131,1.6008589065600196,3.992312977099237,522.993,81.241,42.74809160305343,1.5914380014429061,1.6865681653261457,1.5499363493104978,1.5499363493104978,1.5703778338689052,1.5117203521562852,1.453330560690434
SL16/TP25 BE+13,131,1.5453830330605167,3.8211450381679395,500.57000000000005,81.241,43.51145038167939,1.5446680794205383,1.413628139470698,1.6923189227737003,1.413628139470698,1.5164768715843422,1.4608501337935482,1.405477255096793
SL16/TP25 BE+14,131,1.546292548258662,3.894198473282443,510.14,81.241,44.274809160305345,1.5004079330025835,1.413628139470698,1.8364630084200706,1.413628139470698,1.5178813521206398,1.4631674987310217,1.4085714408099188
