sl,tp,n,pf,exp,net,mdd,wr,dev,val,hold,minPF,green,worst,best,m1,m3,m5
15,25,131,1.5793556546321657,4.413190839694657,578.128,75.108,48.854961832061065,1.4573653617336695,1.6322194359554707,1.9332747542424071,1.4573653617336695,10/13,-59.214,135.028,1.552768316061735,1.5014996778172949,1.4503352604168234
15,27,131,1.606805654741942,4.696045801526719,615.1820000000001,92.241,47.32824427480916,1.4198568592375234,1.7589026208079286,2.0872260969850074,1.4198568592375234,9/13,-55.181,153.071,1.5794374455022862,1.5252228241356311,1.4711255824597256
15,30,131,1.5501676699855178,4.4572442748091605,583.899,89.24099999999999,44.274809160305345,1.5200981735847148,1.7988433342922616,1.4138469615435094,1.4138469615435094,8/13,-80.344,171.772,1.5205128374246568,1.4622650665073667,1.4046636659753833
15,32,131,1.5943498182907743,4.815190839694656,630.79,87.13099999999999,44.274809160305345,1.5344518615112337,1.9232592974694218,1.4696198101238136,1.4696198101238136,8/13,-78.42399999999999,166.85,1.5625730817828136,1.5003114073066235,1.4385481729672074
16,25,131,1.5479781450352081,4.326404580152672,566.759,81.161,49.61832061068702,1.4650780150863612,1.5485051860890788,1.8164883873331366,1.4650780150863612,10/13,-64.681,129.131,1.522326310364865,1.4728616139065798,1.4234974711705712
16,27,131,1.5754276516686552,4.617503816793893,604.893,99.284,48.091603053435115,1.4291864428819558,1.668690967738884,1.9611397493253246,1.4291864428819558,9/13,-60.647999999999996,147.174,1.5490332056704397,1.496747545200465,1.444575088041735
14,27,131,1.5381058637020988,4.132755725190839,541.391,97.121,45.038167938931295,1.4795668175221295,1.3791824822911183,1.918065147642613,1.3791824822911183,8/13,-48.977999999999994,159.387,1.5105282251852443,1.4558987382032693,1.401387529134633
18,27,131,1.5121962218504514,4.421793893129772,579.2550000000001,106.328,49.61832061068702,1.365630479146906,1.5003487076554085,2.0361740435108775,1.365630479146906,8/13,-72.428,134.834,1.487662300915004,1.4390622181508217,1.390567359079832
15,22,131,1.457805325473287,3.434801526717557,449.95899999999995,78.05799999999999,49.61832061068702,1.3176312247644688,1.439684525916435,1.9957263422517504,1.3176312247644688,9/13,-65.281,109.084,1.4338141405549718,1.3872867068690284,1.340938342247785
13,27,131,1.5046895092307238,3.754,491.774,90.10400000000004,42.74809160305343,1.4990590528431096,1.2942474291650388,1.7612974786278541,1.2942474291650388,8/13,-51.666999999999994,163.567,1.4762148132868234,1.4198083145783755,1.3635239411787046
