date,kind,split,hhmm,entry,spread,pnl,why,q90,mic,ny
2025-08-26,A_LONG,DEV,1005,3360.355,0.67,25.05,TP,2,2,2005
2025-08-27,A_LONG,DEV,1005,3392.385,0.55,-15.02,SL,2,2,2005
2025-08-28,FLIP_SHORT,DEV,1005,3394.758,0.497,-2.657,EOD,2,2,2005
2025-08-29,A_LONG,DEV,1005,3417.105,0.597,-0.76,EOD,2,2,2005
2025-09-02,A_LONG,DEV,1005,3482.265,0.61,25.023,TP,2,2,2005
2025-09-05,FLIP_SHORT,DEV,1005,3551.475,0.77,-20.93,SL,2,2,2005
2025-09-11,A_LONG,DEV,1010,3646.915,0.54,-15.01,SL,2,2,2010
2025-09-12,FLIP_SHORT,DEV,1025,3630.925,0.52,-15.01,SL,2,3,2025
2025-09-16,A_LONG,DEV,1005,3678.235,0.54,10.82,EOD,2,2,2005
2025-09-19,FLIP_SHORT,DEV,1005,3639.675,0.6,-15.0,SL,2,2,2005
2025-09-22,A_LONG,DEV,1010,3690.865,0.567,25.16,TP,2,2,2010
2025-09-23,FLIP_SHORT,DEV,1010,3746.648,0.547,-15.004,SL,2,2,2010
2025-09-25,A_LONG,DEV,1005,3748.055,0.58,-15.107,SL,2,2,2005
2025-09-26,FLIP_SHORT,DEV,1025,3741.548,0.657,-15.027,SL,2,3,2025
2025-09-29,A_LONG,DEV,1005,3773.295,0.62,25.05,TP,2,2,2005
2025-09-30,A_LONG,DEV,1010,3838.915,0.55,25.01,TP,2,2,2010
2025-10-01,A_LONG,DEV,1010,3865.495,0.58,25.03,TP,2,2,2010
2025-10-06,A_LONG,DEV,1300,3922.335,0.57,25.0,TP,3,3,2200
2025-10-07,FLIP_SHORT,DEV,1005,3962.548,0.934,-15.017,SL,1,3,1905
2025-10-08,A_LONG,DEV,1015,3992.235,0.59,25.03,TP,1,4,1915
2025-10-10,FLIP_SHORT,DEV,1005,3974.578,1.124,-15.137,SL,1,3,1905
2025-10-13,A_LONG,DEV,1005,4060.375,0.827,-15.19,SL,1,3,1905
2025-10-14,A_LONG,DEV,1005,4116.052,0.954,25.196,TP,1,3,1905
2025-10-15,A_LONG,DEV,1005,4161.802,1.004,25.146,TP,1,3,1905
2025-10-17,A_LONG,DEV,1005,4361.352,1.304,-15.017,SL,1,3,1905
2025-10-21,FLIP_SHORT,DEV,1005,4366.895,1.007,25.1,TP,1,3,1905
2025-10-24,FLIP_SHORT,DEV,1005,4114.375,1.177,-15.15,SL,1,3,1905
2025-10-27,A_LONG,DEV,1005,4085.702,1.164,-15.154,SL,1,3,1905
2025-10-29,A_LONG,DEV,1005,3945.592,1.244,25.073,TP,1,3,1905
2025-10-30,A_LONG,DEV,1010,3946.625,0.86,-15.17,SL,1,4,1910
2025-11-03,A_LONG,DEV,1010,3996.735,1.03,-15.07,SL,1,1,1810
2025-11-04,FLIP_SHORT,DEV,1005,3997.785,1.367,25.01,TP,1,1,1805
2025-11-05,A_LONG,DEV,1015,3938.245,0.76,25.02,TP,1,1,1815
2025-11-07,A_LONG,DEV,1005,3981.552,0.687,25.053,TP,1,1,1805
2025-11-10,A_LONG,DEV,1005,4010.402,1.604,25.023,TP,1,1,1805
2025-11-11,A_LONG,DEV,1005,4120.562,0.714,25.073,TP,1,1,1805
2025-11-12,A_LONG,DEV,1010,4133.525,0.75,-15.04,SL,1,1,1810
2025-11-13,A_LONG,DEV,1005,4208.025,1.227,-15.11,SL,1,1,1805
2025-11-14,A_LONG,DEV,1005,4178.105,1.17,25.03,TP,1,1,1805
2025-11-18,FLIP_SHORT,DEV,1040,4036.985,0.89,25.25,TP,1,2,1840
2025-11-20,A_LONG,DEV,1015,4090.905,0.77,-15.38,SL,1,1,1815
2025-11-25,FLIP_SHORT,DEV,1010,4128.415,1.37,-15.04,SL,1,1,1810
2025-11-26,A_LONG,DEV,1035,4135.952,1.077,25.183,TP,1,2,1835
2025-11-27,A_LONG,DEV,1005,4169.452,1.427,-15.017,SL,1,1,1805
2025-11-28,A_LONG,DEV,1005,4162.102,1.154,25.043,TP,1,1,1805
2025-12-01,FLIP_SHORT,DEV,1005,4208.098,2.354,-15.087,SL,1,1,1805
2025-12-04,A_LONG,DEV,1005,4207.865,1.416,-15.43,SL,1,1,1805
2025-12-05,FLIP_SHORT,DEV,1005,4207.298,1.054,-15.243,SL,1,1,1805
2025-12-09,A_LONG,DEV,1005,4192.202,0.617,-15.117,SL,1,1,1805
2025-12-12,FLIP_SHORT,DEV,1020,4278.325,0.68,-15.0,SL,1,1,1820
2025-12-15,A_LONG,DEV,1005,4308.602,2.104,25.053,TP,1,1,1805
2025-12-16,FLIP_SHORT,DEV,1005,4305.298,1.304,25.003,TP,1,1,1805
2025-12-17,A_LONG,DEV,1005,4304.571,1.646,25.164,TP,1,1,1805
2025-12-19,FLIP_SHORT,DEV,1025,4333.635,0.89,5.99,EOD,1,2,1825
2025-12-22,A_LONG,DEV,1005,4343.302,1.204,25.003,TP,1,1,1805
2025-12-23,A_LONG,DEV,1005,4453.305,1.68,25.1,TP,1,1,1805
2025-12-24,A_LONG,DEV,1005,4493.552,1.304,25.013,TP,1,1,1805
2025-12-29,FLIP_SHORT,DEV,1010,4533.475,1.167,26.531,TP,1,1,1810
