n,pf,exp,net,wr,mdd,pf_dev,pf_val,pf_hold,n_dev,n_val,n_hold,minPF,phase
59,1.8128877959579657,5.9221355932203394,349.406,52.54237288135594,70.946,1.281654995863872,1.459947103066369,14.984095427435388,34,15,10,1.281654995863872,0
61,1.69151254667014,5.222393442622949,318.5659999999999,50.81967213114754,91.29299999999998,1.0344637757955784,1.6674022646499713,inf,36,16,9,1.0344637757955784,1
63,1.354948870573871,2.9531746031746033,186.05,46.03174603174603,116.326,0.8664082541651397,1.1452018402125317,14.975496688741721,36,17,10,0.8664082541651397,2
64,1.4946761531395258,3.929375000000001,251.48000000000008,48.4375,89.25999999999998,1.128655850688759,0.8171645175921727,16.635099337748343,38,15,11,0.8171645175921727,3
64,1.5903934591694655,4.5515,291.296,50.0,89.25999999999998,1.3203550253705194,0.6512862048856348,9.140873015873016,37,14,13,0.6512862048856348,4
61,1.5356428127803468,4.199114754098361,256.146,49.18032786885246,139.964,1.3880456215752313,0.48916607270135426,8.30952380952381,36,13,12,0.48916607270135426,5
60,1.4812806750067877,3.8407,230.442,48.333333333333336,120.09099999999998,1.3031685306752334,0.7183772077165546,4.9869929453262785,35,13,12,0.7183772077165546,6
60,1.5855792819874919,4.519266666666667,271.156,50.0,84.317,1.5510848756798312,0.7183772077165546,3.7443708609271527,34,13,13,0.7183772077165546,7
65,1.4482828344486074,3.6154769230769235,235.00600000000003,47.69230769230769,84.317,1.5574349502608467,0.7183772077165546,2.1219741039594675,36,13,16,0.7183772077165546,8
63,1.4576059850374068,3.658349206349207,230.47600000000003,47.61904761904761,69.28699999999999,1.5891902615365963,0.8048399625231227,1.886376430850066,36,12,15,0.8048399625231227,9
66,1.3717855453095285,3.012212121212121,198.80599999999998,45.45454545454545,84.54,1.6761439792212123,0.6021993325169873,1.4416256157635465,40,11,15,0.6021993325169873,10
63,1.3139502446213132,2.5902539682539683,163.186,44.44444444444444,84.98000000000002,1.6752963798624516,0.6021993325169873,1.2827087442472054,36,11,16,0.6021993325169873,11
62,1.5445698772884582,4.167241935483871,258.36899999999997,48.38709677419355,63.440000000000026,1.9847863043809353,1.0594607734339496,1.09861932938856,37,10,15,1.0594607734339496,12
65,1.500600487116732,3.8925384615384617,253.01500000000001,47.69230769230769,56.65599999999998,1.6690481753530275,1.5945231829375273,1.09861932938856,38,12,15,1.09861932938856,13
64,1.6505938372283944,4.82909375,309.062,50.0,51.43000000000001,1.6705051530949626,2.738628427766656,1.09861932938856,38,11,15,1.09861932938856,14
66,1.6515382999251405,4.839636363636364,319.41600000000005,50.0,51.29000000000002,1.5839776825579224,3.1269146608315106,1.099642048359997,39,12,15,1.099642048359997,15
68,1.7549845976086997,5.438764705882353,369.836,51.470588235294116,45.894000000000005,1.9671512483920461,1.8591334043024126,1.2827817956023084,39,13,16,1.2827817956023084,16
66,1.8075024929973769,5.778818181818181,381.402,51.515151515151516,45.894000000000005,1.7360655510802914,2.86638932674651,1.4419903111913952,40,11,15,1.4419903111913952,17
61,1.6482205397553886,4.857754098360656,296.32300000000004,49.18032786885246,45.894,1.5576977860236807,2.86638932674651,1.2362262911569095,36,11,14,1.2362262911569095,18
59,1.5186915685969553,4.0698474576271195,240.12100000000007,47.45762711864407,66.824,1.3450212534722352,2.303720924157927,1.4105954055321144,34,12,13,1.3450212534722352,19
60,1.5740403892018944,4.428683333333335,265.72100000000006,48.333333333333336,66.824,1.2314815864343769,2.4764078316607883,1.6493202062822319,31,15,14,1.2314815864343769,20
60,1.688176784203482,5.124416666666666,307.465,50.0,66.824,1.3464024712898477,2.670314981471678,1.921774281656288,34,13,13,1.3464024712898477,21
61,1.6332531622825153,4.7953770491803285,292.51800000000003,49.18032786885246,66.824,1.2576256756418376,1.9054584946642743,2.629232579422147,33,15,13,1.2576256756418376,22
57,1.882524971989949,6.204754385964913,353.67100000000005,52.63157894736842,51.824,1.3288313318137663,1.9054584946642743,6.635103926096997,32,15,10,1.3288313318137663,23
62,1.6911515503934844,5.137741935483871,318.54,50.0,66.834,1.2785744118056521,1.4828323656941282,6.635103926096997,35,17,10,1.2785744118056521,24
