variant,n,tp_mean,pf,exp,net,wr,mdd,pf_dev,pf_val,pf_hold,minPF
FIXED 27,131,27.0,1.606805654741942,4.696045801526719,615.1820000000001,47.32824427480916,92.241,1.4198568592375234,1.7589026208079286,2.0872260969850074,1.4198568592375234
snap  5  on level,131,29.615587786259567,1.5718747850535797,4.633106870229008,606.937,44.274809160305345,90.05099999999999,1.5644680072315085,1.7237741426686637,1.4583409896311854,1.4583409896311854
snap  5  0.5 short of it,131,29.115587786259567,1.5938040991825915,4.741870229007634,621.1850000000001,45.038167938931295,90.53099999999999,1.5383940157844622,1.6916186375946116,1.6652762806392651,1.5383940157844622
snap  5  1 short of it,131,28.615587786259567,1.6176907312881454,4.8617022900763365,636.883,45.80152671755725,90.951,1.514167513036204,1.6588728957314471,1.905258911914486,1.514167513036204
snap 10  on level,131,32.28734351145041,1.513280363633736,4.337603053435115,568.226,41.98473282442748,90.05099999999999,1.472501564214402,1.9481186822343686,1.264317361339022,1.264317361339022
snap 10  0.5 short of it,131,31.78734351145041,1.5957372096782285,4.895404580152672,641.298,43.51145038167939,90.53099999999999,1.5344781167703871,1.9186762824010237,1.4840967756048475,1.4840967756048475
snap 10  1 short of it,131,31.28734351145041,1.623882883409111,5.055061068702289,662.213,44.274809160305345,90.951,1.5146697942422496,1.8900423581695716,1.70313304922025,1.5146697942422496
snap 25  on level,131,38.623221374045826,1.4219175511084723,3.6722061068702287,481.05899999999997,39.69465648854962,121.38000000000011,1.4212333146289695,1.8257285718239435,1.0852116760100523,1.0852116760100523
snap 25  0.5 short of it,131,38.123221374045826,1.4037676738530032,3.514236641221374,460.365,39.69465648854962,121.38000000000011,1.4029130668287382,1.8024068931797004,1.0718345254204524,1.0718345254204524
snap 25  1 short of it,131,37.623221374045826,1.4420366303361472,3.7965648854961835,497.35,40.458015267175576,86.04099999999998,1.388094998112013,1.8295063516517982,1.244407044045811,1.244407044045811
snap 50  on level,131,50.83696183206109,1.3779477363374963,3.4214656488549626,448.2120000000001,37.404580152671755,126.54000000000002,1.3921737554582638,1.973103499174331,0.8706543967280165,0.8706543967280165
snap 50  0.5 short of it,131,50.33696183206109,1.3649307283014736,3.3036259541984734,432.77500000000003,37.404580152671755,126.54000000000002,1.3782785541281446,1.9552247755934202,0.8637160385626643,0.8637160385626643
snap 50  1 short of it,131,49.83696183206109,1.4091683961498718,3.65712213740458,479.08299999999997,38.16793893129771,96.166,1.388336430424752,1.9427936197496238,1.0181221020092737,1.0181221020092737
snap 10  SHIFTED control,131,35.62067684478375,1.3403732259632926,3.0407099236641226,398.3330000000001,38.16793893129771,110.15299999999998,1.2516313759700803,1.8378691292194433,1.161843681180698,1.161843681180698
snap 25  SHIFTED control,131,46.956554707379155,1.4106994742376449,3.7268625954198478,488.21900000000005,36.6412213740458,121.38000000000011,1.3132616928991747,2.1632978772475253,1.0632851300029214,1.0632851300029214
