hour_utc,status,ticks,bytes,first_ms_in_hour,last_ms_in_hour,retries,errors,sha256_raw_bi5,source_url
2025-08-20T14:00:00+00:00,ok,12102,49177,1,3599005,1,"ProxyError: HTTPSConnectionPool(host='datafeed.dukascopy.com', port=443): Max retries exceeded with url: /datafeed/XAUUSD/2025/07/20/14h_ticks.bi5 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",8baea72ed729bb970efddc2a719584f989f535a4b10bde8a67e5a3dd8f1b2a59,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/14h_ticks.bi5
2025-08-20T15:00:00+00:00,ok,8851,36526,215,3599543,0,,d85637fd3d9ad3f768671cb97f2bf47709a386565044dcb0c31afad41fcc6664,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/15h_ticks.bi5
2025-08-20T16:00:00+00:00,ok,7757,30158,48,3594389,0,,a67b4060a721400cb3978cf9cdd1c41cddff882ec4564885df94c3c50a1e0e8e,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/16h_ticks.bi5
2025-08-20T17:00:00+00:00,ok,6618,26444,639,3599647,0,,c7d0c52c5127ad456904101ca1f89845adbd84ee2cbb0d79a96972ac6a68d3e0,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/17h_ticks.bi5
2025-08-20T18:00:00+00:00,ok,6293,23822,271,3599949,0,,dc915fc8f839729ba627dc05ba8aabda572af31775d75542c010e4914e686c11,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/18h_ticks.bi5
2025-08-20T19:00:00+00:00,ok,4913,19273,50,3599756,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",00f7856c75a7fb84cc0ed7fe2f7acd9659edfe70c0bc20258bf197d74e6e8502,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/19h_ticks.bi5
2025-08-20T20:00:00+00:00,ok,3262,13607,59,3599122,0,,45dab820e726140c817f606aea19b2a66b33e8ccc4ecc9495614883f510847c0,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/20h_ticks.bi5
2025-08-20T21:00:00+00:00,empty,0,0,,,0,,,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/21h_ticks.bi5
2025-08-20T22:00:00+00:00,ok,2837,12175,1104,3596648,0,,7dd6d3d5e8a7db769dc053e49ab5a5b24c6e506bdefc28c799c129a353cbb046,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/22h_ticks.bi5
2025-08-20T23:00:00+00:00,ok,2260,9835,68,3599415,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",605da603c1f8fa05df91b5784f149ac544bd3c534e71f68e1cb525219606db9c,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/20/23h_ticks.bi5
2025-08-21T00:00:00+00:00,ok,4540,18945,169,3597752,0,,588fe98f682d6eee93d0b7169c907f91fa31b694a30bdb895143ee65e2875217,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/00h_ticks.bi5
2025-08-21T01:00:00+00:00,ok,6140,25905,118,3590257,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",8071b033c0127ea566133d10d7d33f0061bd7c735e2e80da736c059feb8dbb13,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/01h_ticks.bi5
2025-08-21T02:00:00+00:00,ok,4669,19517,93,3599746,0,,b9ec5e946ab5e593e2fc1043d2071637b6ff948838a4f0098a09442fe636293d,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/02h_ticks.bi5
2025-08-21T03:00:00+00:00,ok,3638,15557,2312,3598314,0,,409f1520b3aae9c2afe274f001c158dfdc8b91ac7543a14770a6ad36245cbeb7,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/03h_ticks.bi5
2025-08-21T04:00:00+00:00,ok,2642,11314,322,3599921,0,,43f96d10c84c440e366af6bb7cda81f203630810ca2ef66b300b9122dbb35684,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/04h_ticks.bi5
2025-08-21T05:00:00+00:00,ok,4106,17433,325,3599741,0,,bb5ed62cbdd899e311e4a18789b8c54b4b9601908660b4fccad291ec67521674,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/05h_ticks.bi5
2025-08-21T06:00:00+00:00,ok,6308,25712,45,3599970,0,,879ba0642f0ce51c8cc115b385f1356aa0929b1b96f35e18bd9b4d2afeec4966,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/06h_ticks.bi5
2025-08-21T07:00:00+00:00,ok,5610,23251,21,3599834,0,,a684eeaee23bb04a1653c8a3ee968bb76ee1d56fca95c93457855db45a270329,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/07h_ticks.bi5
2025-08-21T08:00:00+00:00,ok,4391,18275,86,3599931,0,,25122f6f8d961daf09b3aedb53ec2accdf8f55a569ac74d9974aaee5cf4d2ab7,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/08h_ticks.bi5
2025-08-21T09:00:00+00:00,ok,4598,19049,82,3598047,0,,680d78104f444008e5062033c961c686a38d458d07bc9056120068aacb23f627,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/09h_ticks.bi5
2025-08-21T10:00:00+00:00,ok,7183,29556,56,3599710,0,,0abadae41e12ebd38490e91fdf6f7ccb6dfcbe1dda0f0ba2f9b43eadd0e9db85,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/10h_ticks.bi5
2025-08-21T11:00:00+00:00,ok,8651,35404,112,3598382,0,,98c451a24e8b99480a85ad80417f523d0e2645dc489b6b819e5ac5afc5d6a42c,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/11h_ticks.bi5
2025-08-21T12:00:00+00:00,ok,13074,53434,92,3599919,0,,b2aa08c032e87c853d3325722d00d4f39bdeb12d90d133508cb2ed87849e8014,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/12h_ticks.bi5
2025-08-21T13:00:00+00:00,ok,17823,73038,71,3599872,0,,37b354fa4581a71ac489ad5b14b51c3ff67fbde4a3e368b2e29c074a76d8252f,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/13h_ticks.bi5
2025-08-21T14:00:00+00:00,ok,15510,64131,74,3599455,0,,a9ccaa82e0d357748d190e777733f6367d367b76d4cae9d3d9d848a64e2485f0,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/14h_ticks.bi5
2025-08-21T15:00:00+00:00,ok,12480,50769,361,3598933,0,,18932a4607a78c9c926da46fd16aafbe43b7aa64dcb74161d6d9172201bf8061,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/15h_ticks.bi5
2025-08-21T16:00:00+00:00,ok,7149,28579,67,3599458,0,,ed7645ddb4424e6576088688e2555f78b650959f95a37a1cf0c0a87ba341a465,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/16h_ticks.bi5
2025-08-21T17:00:00+00:00,ok,6143,24142,60,3599986,0,,c6e651fac14a5a0397a02fd3d65e59e9c637e87d62d124b92c03a882dd5093ee,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/17h_ticks.bi5
2025-08-21T18:00:00+00:00,ok,4420,17519,87,3599846,0,,28e500dbdbd2464bb97cc53ff9f0f415d40fd8029d2f0feab2428d48bfff2d94,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/18h_ticks.bi5
2025-08-21T19:00:00+00:00,ok,4966,19916,98,3599968,0,,5f942ed5f43f12469deb09af39dfbbb611e01da65c285217ed8576cfdb547f91,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/19h_ticks.bi5
2025-08-21T20:00:00+00:00,ok,1794,8057,70,3599922,0,,6cd5fac1219310ae114190773a92cc58a66d45c0b066ab8c68fe124e5debd848,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/20h_ticks.bi5
2025-08-21T21:00:00+00:00,empty,0,0,,,0,,,https://datafeed.dukascopy.com/datafeed/XAUUSD/2025/07/21/21h_ticks.bi5
