n,pf,exp,net,wr,q2_eff_max,dfr_max,q1_eff_min,rr_max,sweep_max,act,cyc,swp,act0,act1
13,inf,0.20527999132455677,2.668639887219238,100.0,0.5,0.85,0.3,0.75,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.17329699999250903,1.9062669999175994,100.0,9.0,0.9,0.2,0.75,9.0,"(0.3, 0.8)",D123,both,0.3,0.8
11,inf,0.2503762352235613,2.7541385874591744,100.0,0.6,0.9,0.2,1.0,9.0,"(0.3, 0.8)",D123,both,0.3,0.8
12,inf,0.23065234326756448,2.767828119210774,100.0,9.0,0.9,0.2,1.0,9.0,"(0.3, 0.8)",D123,both,0.3,0.8
10,inf,0.2534934970028024,2.534934970028024,100.0,9.0,0.8,0.0,1.0,9.0,"(0.3, 0.8)",D123,both,0.3,0.8
10,inf,0.1839040109161303,1.839040109161303,100.0,9.0,0.9,0.3,0.75,9.0,"(0.3, 0.8)",D123,both,0.3,0.8
14,inf,0.24351752491821357,3.40924534885499,100.0,0.5,0.9,0.4,1.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
14,inf,0.3180563183407234,4.4527884567701275,100.0,0.5,0.9,0.5,2.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.17640926525917025,1.9405019178508727,100.0,0.5,0.85,0.4,0.75,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
13,inf,0.25357424513219945,3.2964651867185926,100.0,0.5,0.85,0.4,1.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
10,inf,0.17797733937835608,1.779773393783561,100.0,0.5,0.85,0.5,0.75,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.3659388507677494,4.025327358445243,100.0,9.0,0.9,0.2,1.5,0.5,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.24764200352213897,2.724062038743529,100.0,0.375,0.85,0.5,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
12,inf,0.3273611392271648,3.9283336707259777,100.0,0.375,0.85,0.5,1.5,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
12,inf,0.3273611392271648,3.9283336707259777,100.0,0.375,0.85,0.5,2.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
12,inf,0.1880804386092905,2.256965263311486,100.0,0.375,0.85,0.3,0.75,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
14,inf,0.25806632372708616,3.612928532179206,100.0,0.375,0.85,0.3,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
10,inf,0.2913264760530901,2.9132647605309008,100.0,0.375,0.75,0.3,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
13,inf,0.24988590959905216,3.248516824787678,100.0,0.5,0.9,0.5,1.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
15,inf,0.24838057962104024,3.7257086943156037,100.0,0.375,0.9,0.3,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
10,inf,0.3237673330906828,3.2376733309068277,100.0,0.375,0.75,0.4,2.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
11,inf,0.1492370414617744,1.6416074560795184,100.0,0.375,0.9,0.4,0.75,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
13,inf,0.23058236345747987,2.9975707249472383,100.0,0.375,0.9,0.4,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
11,inf,0.31005933220137033,3.4106526542150735,100.0,0.375,0.8,0.4,2.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
10,inf,0.15288272939431208,1.528827293943121,100.0,0.375,0.85,0.4,0.75,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
12,inf,0.24039921356757007,2.884790562810841,100.0,0.375,0.85,0.4,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
10,inf,0.14808789320122068,1.4808789320122067,100.0,0.375,0.9,0.5,0.75,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
12,inf,0.45016831074962566,5.402019728995508,100.0,0.4375,0.7,0.2,0.75,9.0,"(0.2, 0.8)",ALL,any,0.2,0.8
10,inf,0.28210557264627945,2.8210557264627947,100.0,9.0,0.9,0.2,1.0,0.5,"(0.0, 1.0)",D123,both,0.0,1.0
12,inf,0.23640351673999385,2.8368422008799263,100.0,0.375,0.9,0.5,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
13,inf,0.31085491022018275,4.041113832862376,100.0,0.375,0.9,0.5,1.5,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
13,inf,0.31085491022018275,4.041113832862376,100.0,0.375,0.9,0.5,2.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
13,inf,0.1822881096498372,2.3697454254478836,100.0,0.375,0.9,0.3,0.75,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
10,inf,0.14808789320122068,1.4808789320122067,100.0,0.35,0.9,0.5,0.75,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
13,inf,0.31085491022018275,4.041113832862376,100.0,0.35,0.9,0.5,2.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
12,inf,0.140149715114587,1.6817965813750437,100.0,0.35,0.9,0.3,0.75,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
14,inf,0.21698284644591168,3.0377598502427636,100.0,0.35,0.9,0.3,1.0,9.0,"(0.0, 1.0)",ALL,both,0.0,1.0
12,inf,0.45016831074962566,5.402019728995508,100.0,0.4375,0.7,0.2,0.75,9.0,"(0.3, 0.8)",ALL,any,0.3,0.8
13,inf,0.46351915497002616,6.02574901461034,100.0,0.4375,0.7,0.0,0.75,9.0,"(0.3, 0.8)",ALL,any,0.3,0.8
10,inf,0.2704070950274558,2.704070950274558,100.0,0.4375,0.9,0.2,1.0,9.0,"(0.2, 0.7)",D123,both,0.2,0.7
10,inf,0.3237673330906828,3.2376733309068277,100.0,0.475,0.75,0.4,2.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.31005933220137033,3.4106526542150735,100.0,0.475,0.8,0.4,2.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
15,inf,0.2683068770724638,4.0246031560869575,100.0,0.475,0.85,0.3,1.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
10,inf,0.2913264760530901,2.9132647605309008,100.0,0.475,0.75,0.3,1.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.3568747431799698,3.925622174979668,100.0,0.475,0.75,0.3,1.5,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.3568747431799698,3.925622174979668,100.0,0.475,0.75,0.3,2.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
13,inf,0.20527999132455677,2.668639887219238,100.0,0.475,0.85,0.3,0.75,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
11,inf,0.280567643985377,3.086244083839147,100.0,0.475,0.8,0.3,1.0,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
10,inf,0.3237673330906828,3.2376733309068277,100.0,0.475,0.75,0.4,1.5,9.0,"(0.0, 1.0)",D123,both,0.0,1.0
10,inf,0.2689731370301291,2.689731370301291,100.0,0.6,0.9,0.3,1.5,9.0,"(0.2, 0.7)",D123,both,0.2,0.7
10,inf,0.2704070950274558,2.704070950274558,100.0,0.45,0.9,0.2,1.0,9.0,"(0.2, 0.7)",D123,both,0.2,0.7
10,inf,0.2704070950274558,2.704070950274558,100.0,0.45,0.9,0.2,1.5,9.0,"(0.2, 0.7)",D123,both,0.2,0.7
10,inf,0.2704070950274558,2.704070950274558,100.0,0.45,0.9,0.2,2.0,9.0,"(0.2, 0.7)",D123,both,0.2,0.7
10,inf,0.2704070950274558,2.704070950274558,100.0,0.4375,0.9,0.2,2.0,9.0,"(0.2, 0.7)",D123,both,0.2,0.7
10,inf,0.7468494096143117,7.468494096143117,100.0,0.4375,0.75,0.2,2.0,0.5,"(0.5, 0.75)",ALL,any,0.5,0.75
