family,event,tol,n,pct_of_bars
PDH,touch,0.25,2048,2.602452506512485
PDH,sweep,0.25,1943,2.469025986403202
PDH,break,0.25,1939,2.46394307135142
PDH,retest,0.25,3356,4.264565728445263
PDL,touch,0.25,1763,2.2402948090730033
PDL,sweep,0.25,1819,2.311455619797954
PDL,break,0.25,1570,1.9950441578245124
PDL,retest,0.25,2928,3.7206938179045683
DO,touch,0.25,3793,4.819874197852468
DO,sweep,0.25,4320,5.489548255924773
DO,break,0.25,4169,5.297668212719995
DO,retest,0.25,8199,10.418705127390558
PWH,touch,0.25,390,0.4955842175487642
PWH,sweep,0.25,694,0.8818857614842113
PWH,break,0.25,703,0.8933223203507211
PWH,retest,0.25,1619,2.0573098672088443
PWL,touch,0.25,292,0.3710527987801004
PWL,sweep,0.25,577,0.7332104962195819
PWL,break,0.25,507,0.6442594828133935
PWL,retest,0.25,1183,1.5032721265645848
WO,touch,0.25,910,1.1563631742804499
WO,sweep,0.25,1773,2.253002096702459
WO,break,0.25,1620,2.0585805959717898
WO,retest,0.25,4248,5.398055784992693
R50,touch,0.25,1137,1.4448186034690895
R50,sweep,0.25,2143,2.723171738992312
R50,break,0.25,2209,2.8070398373467182
R50,retest,0.25,5521,7.015693500222378
R100,touch,0.25,507,0.6442594828133935
R100,sweep,0.25,1040,1.3215579134633713
R100,break,0.25,1161,1.4753160937797827
R100,retest,0.25,2814,3.575830738928776
R500,touch,0.25,91,0.11563631742804498
R500,sweep,0.25,227,0.28845542918863964
R500,break,0.25,253,0.321494377025224
R500,retest,0.25,642,0.8158078658110426
PDH,touch,0.5,5637,7.163098036724061
PDH,sweep,0.5,1186,1.5070843128534215
PDH,break,0.5,1216,1.5452061757417879
PDH,retest,0.5,4523,5.747506194802719
PDL,touch,0.5,4772,6.0639176567761615
PDL,sweep,0.5,1120,1.423216214499015
PDL,break,0.5,931,1.1830484783023063
PDL,retest,0.5,3889,4.941864159095241
DO,touch,0.5,10428,13.251159539996188
DO,sweep,0.5,2602,3.3064362411843193
DO,break,0.5,2363,3.002732066840333
DO,retest,0.5,10824,13.754368130122627
PWH,touch,0.5,1096,1.392718724188322
PWH,sweep,0.5,444,0.5642035707478238
PWH,break,0.5,450,0.5718279433254971
PWH,retest,0.5,2605,3.310248427473156
PWL,touch,0.5,941,1.195755765931762
PWL,sweep,0.5,367,0.4663574560010166
PWL,break,0.5,302,0.38376008640955583
PWL,retest,0.5,1829,2.3241629074274095
WO,touch,0.5,2917,3.706715801512167
WO,sweep,0.5,1025,1.302496982019188
WO,break,0.5,929,1.1805070207764152
WO,retest,0.5,6451,8.197471249761739
R50,touch,0.5,3342,4.246775525764026
R50,sweep,0.5,1345,1.7091301861617638
R50,break,0.5,1372,1.7434398627612937
R50,retest,0.5,8799,11.181142385157889
R100,touch,0.5,1521,1.9327784484401804
R100,sweep,0.5,681,0.865366287565919
R100,break,0.5,729,0.9263612681873054
R100,retest,0.5,4635,5.8898278162526205
R500,touch,0.5,302,0.38376008640955583
R500,sweep,0.5,184,0.2338140923819811
R500,break,0.5,138,0.1753605692864858
R500,retest,0.5,1047,1.3304530148039901
PDH,touch,0.75,10074,12.801321557913464
PDH,sweep,0.75,773,0.9822733337569096
PDH,break,0.75,748,0.9505051146832708
PDH,retest,0.75,4234,5.380265582311456
PDL,touch,0.75,8530,10.839316347925536
PDL,sweep,0.75,693,0.8806150327212656
PDL,break,0.75,580,0.7370226825084185
PDL,retest,0.75,3654,4.643242899803037
DO,touch,0.75,19591,24.89484719486626
DO,sweep,0.75,1528,1.9416735497807993
DO,break,0.75,1329,1.6887985259546352
DO,retest,0.75,9135,11.608107249507594
PWH,touch,0.75,2307,2.931571256115382
PWH,sweep,0.75,280,0.35580405362475376
PWH,break,0.75,285,0.3621576974394815
PWH,retest,0.75,2877,3.6558866509943453
PWL,touch,0.75,1942,2.4677552576402566
PWL,sweep,0.75,223,0.2833725141368575
PWL,break,0.75,205,0.26049939640383757
PWL,retest,0.75,1969,2.5020649342397867
WO,touch,0.75,6296,8.000508291505177
WO,sweep,0.75,621,0.789122561789186
WO,break,0.75,535,0.6798398881758688
WO,retest,0.75,6506,8.267361331723745
R50,touch,0.75,7274,9.243281021665926
R50,sweep,0.75,900,1.1436558866509943
R50,break,0.75,830,1.0547048732448059
R50,retest,0.75,9536,12.117669483448758
R100,touch,0.75,3363,4.273460829785882
R100,sweep,0.75,458,0.5819937734290616
R100,break,0.75,452,0.5743694008513883
R100,retest,0.75,5369,6.822542728254655
R500,touch,0.75,658,0.8361395260181713
R500,sweep,0.75,97,0.12326069000571829
R500,break,0.75,93,0.11817777495393608
R500,retest,0.75,1233,1.5668085647118621
