level,touches,touch/yr,mfe,mae,ratio,hold%,sweeps,sweep%,sw_mfe,sw_mae,sw_ratio
NYL,2593,389.33933933933935,3.1005651117177306,2.7930388093743335,1.1101045575561788,50.597763208638646,1307,50.404936367142305,3.1048705861516774,2.880830920248453,1.0777691131848524
ASIAL,2577,386.93693693693695,3.760042688643989,3.4189687369156703,1.0997593069645935,51.49398525417151,1317,51.105937136204886,3.876049978511301,3.462926604463202,1.119298911364637
MO,977,146.6966966966967,3.117528199704193,2.8477915790466963,1.0947178236785824,52.30296827021495,505,51.68884339815762,3.1546273886398772,3.019646576821889,1.0447008642846052
PNYL,1949,292.6426426426426,3.167676894865616,3.0033725341435296,1.0547066202591284,53.309389430477175,1033,53.0015392508979,3.299923999490337,2.9582341047919143,1.1155046837384959
PDL,2443,366.8168168168168,3.0743968710203076,2.943022449539853,1.0446392862212095,52.39459680720425,1273,52.10806385591486,2.9930577052402554,2.958771609212095,1.0115879495130382
LDNL,2080,312.3123123123123,3.6592768931384567,3.515507801053689,1.040895682848912,50.625,1048,50.38461538461539,3.8023357441936945,3.4905410558024528,1.0893256040844825
PWL,738,110.8108108108108,2.860026011527112,2.797747202451298,1.0222603418283278,51.8970189701897,382,51.76151761517615,2.897454928630623,2.875176853128155,1.0077484191896682
PLDNH,2200,330.3303303303303,3.1350879317024356,3.148788860150196,0.9956488259275958,52.63636363636364,1153,52.40909090909091,3.209144935540287,3.172890483213276,1.011426316955729
PWH,996,149.54954954954954,3.18489666333284,3.200949230309268,0.9949850604238177,49.497991967871485,487,48.89558232931727,3.3496284880157563,3.1473368649182394,1.0642739025975765
PML,245,36.786786786786784,2.579182422441343,2.621172613690563,0.9839803792280211,53.06122448979592,130,53.06122448979592,2.6632768270130676,2.631480656857898,1.0120829959636244
PLDNL,2062,309.6096096096096,3.296563940807636,3.3647664063174014,0.9797304010817173,53.29776915615907,1096,53.15227934044617,3.279164729550022,3.5781494205027826,0.9164415300156054
DO,6393,959.9099099099099,3.236328049489543,3.3581212894408994,0.9637317328786436,51.35304239011419,3224,50.43015798529642,3.2732944834726316,3.3189032873067434,0.9862578689748074
PASIAL,1887,283.3333333333333,3.1588402852143678,3.2835823090686302,0.9620103861840927,52.94117647058824,994,52.67620561738209,3.2333395715891795,3.263233057365728,0.9908393040732799
PASIAH,1980,297.2972972972973,3.182563612599988,3.3308317374749707,0.9554861558430504,54.141414141414145,1065,53.78787878787879,3.1902168996206157,3.3190179232686474,0.9611930316058115
Q25,6274,942.042042042042,2.933803941610266,3.127893750657475,0.9379487206026701,54.82945489321007,3423,54.558495377749445,2.973474644083876,3.1225965730502976,0.9522442539476842
WO,2554,383.4834834834835,2.8732445162944362,3.0880119454685646,0.9304512310940752,51.64447924823806,1302,50.9788566953798,2.9261657147003604,3.2126326096174145,0.9108311065325428
PDH,2817,422.97297297297297,2.9791629054296798,3.259600324067937,0.9139657041485764,50.514731984380546,1418,50.337238196663115,3.095136434848345,3.1837509165902187,0.9721666411527007
LDNH,2317,347.8978978978979,3.4100756320431707,3.735413593821654,0.9129044338445976,51.618472162278806,1192,51.44583513163574,3.419244768974438,3.9483957124113584,0.8659833051247646
PNYH,2323,348.79879879879877,3.1524933259820407,3.4984845155455835,0.9011025522548051,51.95867412828239,1205,51.87257856220405,3.1648579815034292,3.46389025348317,0.913671551320356
ASIAH,2716,407.8078078078078,3.258883700844587,3.6669823923221445,0.8887099397226377,46.759941089837994,1262,46.46539027982327,3.2700841517349675,3.6966223033405003,0.884614083721757
Q50,3221,483.6336336336336,2.837344672191814,3.195326314615551,0.8879671097169906,51.94039118286247,1667,51.75411362930767,2.8757454376663425,3.2042358622506333,0.8974824455171158
Q100,1692,254.05405405405403,2.8176948988294814,3.2061025940434087,0.8788536287218174,51.30023640661938,866,51.182033096926716,2.7960516582351076,3.2431448942804133,0.8621420717792178
NYH,2699,405.25525525525524,2.7421252038274897,3.1500830600691963,0.8704929843238022,49.573916265283444,1335,49.46276398666173,2.833338201814724,3.157338205870721,0.8973819138369291
PMH,332,49.849849849849846,2.8024702450500665,3.611503111233868,0.7759844471219642,49.39759036144578,163,49.096385542168676,2.6713276308313643,3.7039047092047617,0.7212193186808269
