family,event,tol,horizons,n,edge_mm,edge_wr,edge_ret
R500,sweep,0.25,3,226,0.29588871773525705,0.06783727086184421,0.5889446866257958
PWL,sweep,0.75,3,223,0.19241879485590166,0.05754840702203878,0.42455178605734084
PDL,retest,0.5,3,3888,0.08262278039627269,0.015884174724397997,0.1911505122090799
PWH,break,0.25,3,703,0.08218450727023556,0.041813789533237944,0.21483580717095205
DO,retest,0.75,3,9132,0.06869558489191567,0.022285026816466342,0.20161154348076626
PWH,break,0.5,3,450,0.06789428270721087,0.04217818708839438,0.14153575048782616
PWL,retest,0.75,3,1969,0.04843593444620642,0.02172036203181506,0.14713296355821934
DO,retest,0.25,3,8194,0.03890659215958151,0.004240907731285937,0.04654960261689208
DO,touch,0.75,3,19586,0.0373118501866219,0.004459050038429724,0.06680958788508169
DO,break,0.75,3,1328,0.035982870816018066,0.024009126600028314,0.13309763402920144
PDH,sweep,0.75,3,772,0.028189858782042203,0.01708574060324079,0.11882836863463216
R100,sweep,0.5,3,681,0.027841047536479535,0.01872018561515328,0.06125534541652777
DO,break,0.5,3,2362,0.026105445957398093,0.01597496016996262,0.06105115679830189
WO,retest,0.5,3,6446,0.02122409228726374,0.008132489061861462,0.1101344987847613
DO,break,0.25,3,4167,0.014386785621221124,0.014431151737608875,0.030322953146462907
