family,tol,mean_depth_atr,med_depth_atr
PDH,0.25,0.2843094182789188,0.1775478819980737
PDL,0.25,0.2936710438379445,0.18984476092912045
DO,0.25,0.24938478990193352,0.16567066096469613
PWH,0.25,0.2811560797143588,0.1833717588570828
PWL,0.25,0.3059809957776541,0.1836116141561397
WO,0.25,0.246087916614816,0.16034625106658912
R50,0.25,0.2725106745841544,0.17412011556850668
R100,0.25,0.2860436367751081,0.1826233399873771
R500,0.25,0.2979907452439021,0.19132738570585126
PDH,0.5,0.30716616157501925,0.18951636158009738
PDL,0.5,0.31765322767824333,0.1945118790727789
DO,0.5,0.261745284431317,0.16560291212740472
PWH,0.5,0.27515704745363195,0.17706227183973683
PWL,0.5,0.33262663376396906,0.21200486287296508
WO,0.5,0.271538593744024,0.17760447400622428
R50,0.5,0.29065220749375154,0.17796801592875883
R100,0.5,0.30489883131006956,0.18017712814109862
R500,0.5,0.30134826119099567,0.15762762691327417
PDH,0.75,0.33214275841484964,0.20436032628911388
PDL,0.75,0.34645551577023176,0.20905561352854724
DO,0.75,0.2968325675639315,0.1840180874541558
PWH,0.75,0.31453251168691043,0.1857565418082737
PWL,0.75,0.3841246021410777,0.22353327424080813
WO,0.75,0.29688411821695637,0.1754936673425851
R50,0.75,0.33048506433198344,0.19464758038974395
R100,0.75,0.3439597575499681,0.19656135684177065
R500,0.75,0.36104970062198094,0.20389452539788197
