inst,tf,fam,n_ma,ent,side,trend,stop,n,wr,pf,net,maxdd,top10,yrs_pos,yrs,is_pf,oos_pf
AU200,4H,zrev,10,1.5,long,False,0.0,185,68.64864864864865,1.3996906578676027,1938.100000000005,1640.6000000000013,73.78360249729089,4,7,1.318439838307389,1.474560152163577
AU200,4H,zrev,10,1.5,long,False,4.0,215,69.30232558139535,1.178011122542676,1245.7940917388614,1734.871720292942,138.50603494126153,4,7,1.1250795286243023,1.2229897498029032
AU200,4H,zrev,10,1.5,long,True,0.0,121,57.85123966942148,1.1308405051604193,396.8000000000029,1112.3999999999987,289.9193548387072,3,7,1.6648632697226082,0.8615644065274547
AU200,4H,zrev,10,1.5,long,True,4.0,129,57.36434108527132,1.0256746053772616,90.55046991004019,1244.142922176623,1270.451717305161,4,7,1.3534461298257414,0.8446712724192204
AU200,4H,zrev,10,1.5,both,False,0.0,380,66.57894736842105,1.2151846963246646,2315.000000000008,1608.999999999999,66.15550755939502,4,7,1.1790112613931345,1.2480788002484704
AU200,4H,zrev,10,1.5,both,False,4.0,435,67.35632183908045,1.0907665700862919,1276.1298800211835,1943.6634278561378,137.50951431141718,4,7,1.0839232931296303,1.0960351000773758
AU200,4H,zrev,10,1.5,both,True,0.0,197,57.360406091370564,0.9402242479165572,-336.39999999999054,1495.299999999993,-349.8513674197479,2,7,1.0189093429869849,0.8728184487479808
AU200,4H,zrev,10,1.5,both,True,4.0,208,56.25,0.8911814649561589,-675.5265959808294,1662.9710401108741,-174.21963946381732,2,7,0.9169425526996205,0.869136073162267
AU200,4H,zrev,10,2.0,long,False,0.0,121,71.900826446281,1.7431573967696177,2199.300000000004,1561.1000000000004,76.43341063065508,5,7,1.3808342195438996,2.2272655509946344
AU200,4H,zrev,10,2.0,long,False,4.0,136,71.32352941176471,1.5643496041604834,2084.488300522601,1283.8908942478201,84.99448039865791,5,7,1.349394950810023,1.8054613624571614
AU200,4H,zrev,10,2.0,long,True,0.0,74,63.51351351351351,1.6131892311674934,947.5000000000073,537.7999999999975,119.6728232189963,4,7,2.440022632968703,1.1812807881773442
AU200,4H,zrev,10,2.0,long,True,4.0,77,62.33766233766234,1.4900173788163604,848.3450249411308,554.6959642795573,133.66024042855483,4,7,2.018328367496601,1.1772442485166401
AU200,4H,zrev,10,2.0,both,False,0.0,239,70.7112970711297,1.6322052437932977,3814.5999999999985,1216.3999999999996,46.61825617364866,5,7,1.453811659192827,1.7971800433839464
AU200,4H,zrev,10,2.0,both,False,4.0,265,70.18867924528301,1.5050897367566614,3620.555977405893,1003.3565300176351,49.365346404078835,6,7,1.421126063612462,1.5706913082246965
AU200,4H,zrev,10,2.0,both,True,0.0,112,61.60714285714286,1.378513939111167,973.5000000000082,605.9999999999991,118.68515665125722,4,7,1.8303737859315288,1.081862681952855
AU200,4H,zrev,10,2.0,both,True,4.0,115,60.0,1.2859898500113844,801.8898447463807,597.2548774505294,144.08462802835783,4,7,1.5649927813345708,1.0835941754549194
AU200,4H,zrev,10,2.5,both,False,0.0,55,70.9090909090909,2.836791024841951,2062.899999999996,269.00000000000273,71.06985311939509,5,7,3.1575710991544965,2.55981416957026
AU200,4H,zrev,10,2.5,both,False,4.0,60,70.0,2.2041141756161333,1781.8218487214872,340.37880642995606,82.28095311840356,5,7,2.204059899824101,2.204174460598804
AU200,4H,zrev,20,1.5,long,False,0.0,119,73.94957983193278,1.7006582713222664,2448.0999999999995,1185.499999999999,58.85788979208366,5,7,1.6773092128908604,1.7220212649347781
AU200,4H,zrev,20,1.5,long,False,4.0,145,74.48275862068967,1.4271603723724662,2415.0855050063383,1191.9992769937871,77.02418801089685,5,7,1.6491063353059583,1.2892941429973444
AU200,4H,zrev,20,1.5,long,True,0.0,80,61.25000000000001,1.2255299577706247,539.4000000000024,567.2999999999975,226.14015572858636,4,7,1.6206672724912383,1.0378068336005934
AU200,4H,zrev,20,1.5,long,True,4.0,84,59.523809523809526,1.217668083485053,541.136645743446,565.5633542565538,226.35687485499295,3,7,1.7241316851687358,1.009541076216792
AU200,4H,zrev,20,1.5,both,False,0.0,232,69.82758620689656,1.248100087285424,2131.8000000000065,1905.0999999999995,72.14560465334436,4,7,1.1363783683674424,1.361042851459197
AU200,4H,zrev,20,1.5,both,False,4.0,290,69.6551724137931,1.148574435179171,1861.089506457064,1667.1092668734782,102.54745907590387,4,7,1.113885245353402,1.17803490655405
AU200,4H,zrev,20,1.5,both,True,0.0,130,54.61538461538461,0.8429007978014321,-765.9999999999964,1233.9999999999982,-162.5979112271548,3,7,0.701386675167358,0.992984828635423
AU200,4H,zrev,20,1.5,both,True,4.0,137,53.284671532846716,0.8304943092963767,-862.9439747782335,1234.909751917662,-144.63279615814523,2,7,0.6896911373874076,0.9756316543046187
AU200,4H,zrev,20,2.0,long,False,0.0,85,69.41176470588235,1.5687884280484778,1600.4000000000015,1052.199999999999,90.40864783804034,5,7,1.698835784313728,1.45620316955109
AU200,4H,zrev,20,2.0,long,False,4.0,108,70.37037037037037,1.2659808244902075,1324.398672479174,1241.773622618538,144.05028030032244,5,7,1.6376915312733118,1.073019414630712
AU200,4H,zrev,20,2.0,long,True,0.0,61,55.73770491803278,1.025476255582902,55.900000000003274,906.7999999999975,2142.218246869286,4,7,1.500466355762827,0.7785551014753768
AU200,4H,zrev,20,2.0,long,True,4.0,64,54.6875,1.0465559488322498,104.37049951519839,881.2548774505294,1158.6607380602798,4,7,1.598950129919985,0.7935326523259375
AU200,4H,zrev,20,2.0,both,False,0.0,161,65.83850931677019,1.296991332593629,1846.9000000000015,1622.2999999999993,85.28886241810588,3,7,1.0798083628976016,1.5422144617912903
AU200,4H,zrev,20,2.0,both,False,4.0,205,66.34146341463415,1.1497748079654926,1444.6460179078458,1411.5324830587952,133.67288429567276,3,7,1.0657733595549035,1.2245715888110784
AU200,4H,zrev,20,2.0,both,True,0.0,87,52.87356321839081,0.8186091564342904,-636.6999999999962,1145.4999999999973,-204.06784985079426,3,7,0.708583953512082,0.9580184718723767
AU200,4H,zrev,20,2.0,both,True,4.0,93,51.61290322580645,0.8258830528909933,-630.6835398223648,1090.93077559644,-206.01457275481675,3,7,0.7131714943502258,0.9617850433523314
AU200,4H,zrev,20,2.5,long,False,0.0,47,74.46808510638297,1.958877465962768,1725.500000000001,660.1999999999998,106.79223413503325,6,7,1.7842618089387852,2.1516426984683736
AU200,4H,zrev,20,2.5,long,False,4.0,61,73.77049180327869,1.436216725464934,1330.9588161501733,816.8926880243225,146.6010800878037,6,7,1.3685407339617308,1.5026780764248922
AU200,4H,zrev,20,2.5,both,False,0.0,83,71.08433734939759,1.6142477632904808,2011.5999999999976,1006.5999999999985,96.98250149135026,5,7,1.3870787458782765,1.8878567582121666
AU200,4H,zrev,20,2.5,both,False,4.0,105,70.47619047619048,1.3420708912805406,1679.8565841864984,1141.2320590081836,120.5757693285993,5,7,1.1848136774749363,1.5293087539151013
AU200,4H,zrev,20,2.5,both,True,0.0,44,50.0,0.8603057459146037,-238.49999999999636,850.5999999999985,-426.62473794549953,3,6,0.6211847648525503,1.371370819551642
AU200,4H,zrev,20,2.5,both,True,4.0,47,46.808510638297875,0.8723026498932649,-215.0192572035894,810.2232929240317,-473.21342898910143,3,6,0.6435245483491432,1.3300755084885403
AU200,4H,zrev,50,1.5,long,False,0.0,63,84.12698412698413,2.652467143186537,2866.7000000000035,749.9999999999982,58.71210799874411,5,7,4.96519386834986,1.5659578073371208
AU200,4H,zrev,50,1.5,long,False,4.0,86,73.25581395348837,1.5132847041227153,2506.3796536840055,1308.5104497872017,93.17423226634706,5,7,2.143891197506594,1.0892984216461923
AU200,4H,zrev,50,1.5,long,True,0.0,56,51.78571428571429,1.1433281813498222,278.20000000000437,635.7999999999975,479.3314162472966,4,7,1.4270706083557312,0.9363863150392042
AU200,4H,zrev,50,1.5,long,True,4.0,56,51.78571428571429,1.1445351376901827,280.24685918282285,633.753140817179,475.8304888370125,4,7,1.4823469324543839,0.9132154121919714
AU200,4H,zrev,50,1.5,both,False,0.0,117,71.7948717948718,1.5327005511328848,2609.7000000000025,1326.0,72.41062191056439,5,7,1.9175541222938852,1.26717030597813
AU200,4H,zrev,50,1.5,both,False,4.0,170,67.05882352941175,1.162437434720989,1727.1137854050776,2074.682254666088,143.66164064969573,5,7,1.374814206723535,0.9988804372219673
AU200,4H,zrev,50,1.5,both,True,0.0,82,43.90243902439025,0.7274536382776228,-944.9999999999973,1688.0999999999976,-148.52910052910082,2,7,0.8645315425841038,0.6168039195246533
AU200,4H,zrev,50,1.5,both,True,4.0,85,43.529411764705884,0.7251857301688868,-989.7222168874823,1691.9018107069378,-141.8175702283511,2,7,0.863363520393662,0.6077823719957168
AU200,4H,zrev,50,2.0,long,False,0.0,41,80.48780487804879,2.810500000000003,2534.7000000000025,429.10000000000036,88.1445535960863,5,7,3.7944535073409447,2.375630857966839
AU200,4H,zrev,50,2.0,long,False,4.0,59,69.49152542372882,1.6689375484228741,2390.0281417121532,615.3702025647108,103.8565176986502,5,7,1.6873279829535528,1.6543814207174958
AU200,4H,zrev,50,2.0,both,False,0.0,86,70.93023255813954,1.9356057278397611,3195.0,727.4000000000005,71.10485133020353,5,7,1.6091654484205167,2.2144874022589063
AU200,4H,zrev,50,2.0,both,False,4.0,122,68.85245901639344,1.403651403038682,2837.936988773673,920.4446828535374,87.46494407096081,5,7,1.2243300191140452,1.5857247841590243
