body_min,body_max,n,pf,exp,net,mdd
0.0,4.0,29,2.9568049760667576,10.544344827586208,305.78600000000006,36.431
0.0,5.0,30,3.1212852279417413,11.049633333333336,331.4890000000001,36.431
0.0,6.0,33,3.136337229568005,11.14339393939394,367.732,36.431
0.0,6.25,33,3.136337229568005,11.14339393939394,367.732,36.431
0.0,7.0,34,3.2870936258220427,11.578882352941177,393.682,36.431
0.0,8.0,34,3.2870936258220427,11.578882352941177,393.682,36.431
0.0,10.0,40,3.693723301126013,12.643125000000001,505.725,31.704
0.0,12.0,41,3.411522492030383,11.955975609756097,490.195,31.704
0.0,15.0,41,3.411522492030383,11.955975609756097,490.195,31.704
0.0,99.0,41,3.411522492030383,11.955975609756097,490.195,31.704
0.5,4.0,25,3.424452954485494,12.13012,303.253,36.431
0.5,5.0,26,3.6299437964199206,12.652153846153848,328.956,36.431
0.5,6.0,29,3.5910745326191065,12.593068965517244,365.19900000000007,36.431
0.5,6.25,29,3.5910745326191065,12.593068965517244,365.19900000000007,36.431
0.5,7.0,30,3.775188903472985,13.038300000000001,391.14900000000006,36.431
0.5,8.0,30,3.775188903472985,13.038300000000001,391.14900000000006,36.431
0.5,10.0,36,4.214154769889176,13.977555555555556,503.192,31.704
0.5,12.0,37,3.833843740012202,13.180054054054054,487.662,31.704
0.5,15.0,37,3.833843740012202,13.180054054054054,487.662,31.704
0.5,99.0,37,3.833843740012202,13.180054054054054,487.662,31.704
1.0,4.0,21,5.169870436714307,15.46366666666667,324.7370000000001,15.619999999999997
1.0,5.0,22,5.49991653504886,15.929090909090911,350.44000000000005,15.619999999999997
1.0,6.0,25,5.125014668074803,15.467320000000003,386.68300000000005,15.863999999999976
1.0,6.25,25,5.125014668074803,15.467320000000003,386.68300000000005,15.863999999999976
1.0,7.0,26,5.401841243426036,15.870500000000002,412.63300000000004,15.863999999999976
1.0,8.0,26,5.401841243426036,15.870500000000002,412.63300000000004,15.863999999999976
1.0,10.0,32,5.798090552441221,16.396124999999998,524.6759999999999,31.190000000000055
1.0,12.0,33,5.077049350982135,15.428666666666665,509.14599999999996,31.190000000000055
1.0,15.0,33,5.077049350982135,15.428666666666665,509.14599999999996,31.190000000000055
1.0,99.0,33,5.077049350982135,15.428666666666665,509.14599999999996,31.190000000000055
1.5,4.0,17,5.359804079010761,15.969705882352942,271.485,15.619999999999997
1.5,5.0,18,5.772571061506344,16.510444444444445,297.188,15.619999999999997
1.5,6.0,21,5.26742519261781,15.877666666666672,333.4310000000001,15.863999999999976
1.5,6.25,21,5.26742519261781,15.877666666666672,333.4310000000001,15.863999999999976
1.5,7.0,22,5.5995469321934115,16.335500000000003,359.3810000000001,15.863999999999976
1.5,8.0,22,5.5995469321934115,16.335500000000003,359.3810000000001,15.863999999999976
1.5,10.0,28,6.028844512715479,16.83657142857143,471.42400000000004,31.189999999999998
1.5,12.0,29,5.172026282555776,15.720482758620692,455.89400000000006,31.189999999999998
1.5,15.0,29,5.172026282555776,15.720482758620692,455.89400000000006,31.189999999999998
1.5,99.0,29,5.172026282555776,15.720482758620692,455.89400000000006,31.189999999999998
2.0,4.0,13,5.4829805430831735,16.128384615384615,209.66899999999998,15.619999999999997
2.0,5.0,14,6.0325422279238845,16.812285714285714,235.37199999999999,15.619999999999997
2.0,6.0,17,5.33654245298081,15.977352941176472,271.615,15.864000000000004
2.0,6.25,17,5.33654245298081,15.977352941176472,271.615,15.864000000000004
2.0,7.0,18,5.750854168662388,16.531388888888888,297.565,15.863999999999976
2.0,8.0,18,5.750854168662388,16.531388888888888,297.565,15.863999999999976
2.0,10.0,24,6.235008435151577,17.066999999999997,409.60799999999995,31.189999999999998
2.0,12.0,25,5.202422846417983,15.763119999999999,394.078,31.189999999999998
2.0,15.0,25,5.202422846417983,15.763119999999999,394.078,31.189999999999998
2.0,99.0,25,5.202422846417983,15.763119999999999,394.078,31.189999999999998
2.5,4.0,9,3.300833867864016,11.956666666666667,107.61,15.62
2.5,5.0,10,3.850395552704726,13.331299999999999,133.313,15.62
2.5,6.0,13,3.7070919947632275,13.04276923076923,169.55599999999998,15.864000000000004
2.5,6.25,13,3.7070919947632275,13.04276923076923,169.55599999999998,15.864000000000004
2.5,7.0,14,4.121403710444806,13.964714285714285,195.506,15.864000000000004
2.5,8.0,14,4.121403710444806,13.964714285714285,195.506,15.864000000000004
2.5,10.0,20,4.930640049077245,15.377450000000001,307.54900000000004,31.189999999999998
2.5,12.0,21,4.1140721308678305,13.905666666666667,292.019,31.189999999999998
2.5,15.0,21,4.1140721308678305,13.905666666666667,292.019,31.189999999999998
2.5,99.0,21,4.1140721308678305,13.905666666666667,292.019,31.189999999999998
3.0,4.0,6,3.312183392112857,12.0195,72.117,15.62
3.0,5.0,7,4.136261622314845,13.974285714285715,97.82000000000001,15.62
3.0,6.0,10,3.849130785905555,13.406300000000002,134.06300000000002,15.864000000000004
3.0,6.25,10,3.849130785905555,13.406300000000002,134.06300000000002,15.864000000000004
3.0,7.0,11,4.400624814043439,14.546636363636365,160.013,15.864000000000004
3.0,8.0,11,4.400624814043439,14.546636363636365,160.013,15.864000000000004
3.0,10.0,17,5.341503893782714,16.003294117647055,272.0559999999999,15.863999999999976
3.0,12.0,18,4.280635342865181,14.251444444444441,256.52599999999995,15.864000000000004
3.0,15.0,18,4.280635342865181,14.251444444444441,256.52599999999995,15.864000000000004
3.0,99.0,18,4.280635342865181,14.251444444444441,256.52599999999995,15.864000000000004
