qdist,n,pf,exp,net,wr,mdd
1.0,4,4.9464148527528815,15.41075,61.643,75.0,15.62
2.0,7,9.31190781049936,18.547428571428572,129.832,85.71428571428571,15.619999999999997
3.0,10,6.300064102564103,16.536199999999997,165.36199999999997,80.0,15.619999999999997
4.0,13,5.305524625267666,15.466769230769229,201.06799999999998,76.92307692307693,15.62
5.0,16,4.795673038342402,14.781062499999999,236.49699999999999,75.0,15.62
6.0,24,4.84474242860648,15.017083333333332,360.40999999999997,75.0,15.863999999999976
6.25,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
7.0,27,4.631337628582934,14.69588888888889,396.78900000000004,74.07407407407408,15.863999999999976
7.5,29,5.102710766189551,15.458448275862072,448.2950000000001,75.86206896551724,15.863999999999976
8.0,29,5.102710766189551,15.458448275862072,448.2950000000001,75.86206896551724,15.863999999999976
10.0,33,4.338282229567992,14.199636363636364,468.588,72.72727272727273,31.159999999999968
12.5,47,2.01235871622732,7.07776595744681,332.6550000000001,55.319148936170215,78.481
99.0,47,2.01235871622732,7.07776595744681,332.6550000000001,55.319148936170215,78.481
