sl,tp,n,pf,exp,net,mdd,wr
5.0,3.0,25,0.5595296937017898,-1.1763199999999998,-29.407999999999998,31.151999999999997,48.0
5.0,5.0,25,0.5614120749005151,-1.4372000000000003,-35.93000000000001,35.93,36.0
5.0,10.0,25,0.7749091852620654,-0.8328,-20.82,26.515,28.000000000000004
5.0,15.0,25,1.1493361875108112,0.5525200000000001,13.813000000000002,25.927999999999997,28.000000000000004
5.0,20.0,25,1.5899714582252207,2.1828,54.57,25.928000000000008,28.000000000000004
5.0,25.0,25,1.9055202387130254,3.35028,83.757,25.92800000000001,28.000000000000004
5.0,25.5,25,1.953814218993254,3.5289599999999997,88.22399999999999,25.92800000000001,28.000000000000004
5.0,30.0,25,1.8678440301109676,3.3848000000000003,84.62,25.928000000000008,24.0
5.0,35.0,25,2.1745225934814267,4.58092,114.523,25.92800000000001,24.0
5.0,50.0,25,1.3292972229326327,1.4936000000000007,37.34000000000002,41.877,12.0
5.0,75.0,25,1.2670583185341673,1.2692,31.730000000000004,41.877,8.0
5.0,100.0,25,0.42680134788707413,-2.84412,-71.10300000000001,82.16899999999998,4.0
7.5,3.0,25,0.8313539927011813,-0.43623999999999996,-10.905999999999999,21.571999999999996,68.0
7.5,5.0,25,0.8218726385931168,-0.6223199999999999,-15.557999999999998,29.041000000000004,56.00000000000001
7.5,10.0,25,1.3963351668036499,1.50452,37.613,26.48400000000001,52.0
7.5,15.0,25,1.7710932698592319,3.1617599999999992,79.04399999999998,26.483999999999995,48.0
7.5,20.0,25,2.418255958013443,5.815360000000001,145.38400000000001,26.48399999999998,48.0
7.5,25.0,25,2.953877220536733,8.011600000000001,200.29000000000002,26.48399999999998,48.0
7.5,25.5,25,3.0158230009072375,8.2656,206.64,26.48399999999998,48.0
7.5,30.0,25,2.5691684500152854,7.39116,184.779,30.123999999999995,40.0
7.5,35.0,25,2.9948452732769457,9.396199999999999,234.90499999999997,30.123999999999995,40.0
7.5,50.0,25,3.6267388375596887,13.180240000000001,329.50600000000003,30.123999999999995,36.0
7.5,75.0,25,3.792050401088615,14.855159999999998,371.37899999999996,30.123999999999995,32.0
7.5,100.0,25,3.406115864578299,13.54316,338.579,30.580000000000013,28.000000000000004
10.0,3.0,25,0.9655543768283665,-0.08572000000000007,-2.143000000000002,34.361999999999995,76.0
10.0,5.0,25,1.2801009919841062,0.8120799999999998,20.301999999999996,25.421,72.0
10.0,10.0,25,1.7571485627314039,2.8057199999999995,70.14299999999999,20.11,64.0
10.0,15.0,25,2.613907449185566,5.9805600000000005,149.514,20.11,64.0
10.0,20.0,25,3.545352489718375,9.43216,235.804,20.11,64.0
10.0,25.0,25,4.367191632214678,12.4776,311.94,20.109999999999992,64.0
10.0,25.5,25,4.448904912511738,12.7804,319.51,20.109999999999992,64.0
10.0,30.0,25,3.7341730809971048,12.38996,309.749,20.394,56.00000000000001
10.0,35.0,25,4.360241155285644,15.227000000000002,380.67500000000007,20.394,56.00000000000001
10.0,50.0,25,4.56092147099406,18.99424,474.856,31.653999999999996,48.0
10.0,75.0,25,4.253216765502505,20.034480000000002,500.862,31.653999999999996,40.0
10.0,100.0,25,3.7712413931412523,18.2402,456.005,31.653999999999996,36.0
12.5,3.0,25,0.9977424854761301,-0.0057200000000001165,-0.1430000000000029,30.902,80.0
12.5,5.0,25,1.049450860187081,0.17487999999999992,4.371999999999998,36.795,72.0
12.5,10.0,25,1.4349661938805194,1.9737199999999995,49.34299999999999,27.05,64.0
12.5,15.0,25,2.134633862536473,5.148559999999999,128.71399999999997,25.009999999999998,64.0
12.5,20.0,25,2.895293588737758,8.600159999999999,215.004,25.009999999999998,64.0
12.5,25.0,25,3.5664442309218014,11.6456,291.14,25.009999999999998,64.0
12.5,25.5,25,3.633174954381573,11.948400000000001,298.71000000000004,25.009999999999998,64.0
12.5,30.0,25,3.5892282830843327,13.074360000000002,326.85900000000004,25.009999999999998,60.0
12.5,35.0,25,4.190362648330931,16.109800000000003,402.74500000000006,25.009999999999998,60.0
12.5,50.0,25,4.325882793656635,20.24252,506.063,38.72399999999999,52.0
12.5,75.0,25,3.9857719680137143,21.1782,529.455,38.72399999999999,44.0
12.5,100.0,25,3.5399945256242895,19.30152,482.538,38.72399999999999,40.0
