phase,n,pf,exp,net,wr,mdd
0,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
1,24,4.843582573800936,15.005666666666665,360.13599999999997,75.0,15.863999999999976
2,20,4.832515353187553,14.915000000000003,298.30000000000007,75.0,15.619999999999997
3,18,5.621827574036642,16.00538888888889,288.09700000000004,77.77777777777779,15.619999999999997
4,16,6.948945544766224,17.3835625,278.137,81.25,15.619999999999997
5,15,4.522443550584125,14.653600000000004,219.80400000000006,73.33333333333333,31.254000000000005
6,19,1.8189935180063257,6.078052631578948,115.483,52.63157894736842,46.768
7,18,1.309567017687353,2.691444444444444,48.44599999999999,44.44444444444444,58.376000000000005
8,20,1.0938351326808595,0.8835000000000001,17.67,40.0,80.146
9,24,0.9865974114441418,-0.13116666666666651,-3.147999999999996,37.5,121.143
10,24,0.8231334344805558,-1.84575,-44.298,33.33333333333333,146.713
11,24,0.823959913758684,-1.8371249999999997,-44.090999999999994,33.33333333333333,126.32700000000001
12,23,0.8806572622023137,-1.2186086956521742,-28.028000000000006,34.78260869565217,109.632
13,24,0.9921326885089571,-0.07700000000000011,-1.8480000000000025,37.5,94.098
14,27,1.1376016908597866,1.277962962962963,34.505,40.74074074074074,94.098
15,27,1.137003509331632,1.2724074074074072,34.355,40.74074074074074,94.098
16,29,1.167347705250507,1.5364827586206897,44.558,41.37931034482759,94.098
17,31,1.3594685059336649,3.0867096774193543,95.68799999999999,45.16129032258064,94.098
18,30,1.8469372855369786,6.186933333333331,185.60799999999995,53.333333333333336,62.764
19,28,2.503144836887018,9.235107142857146,258.5830000000001,60.71428571428571,47.24700000000001
20,28,2.9094267035614547,10.671035714285717,298.78900000000004,64.28571428571429,47.247
21,25,4.167841514546754,13.84144,346.036,72.0,31.159999999999968
22,23,5.824442624209691,16.38926086956522,376.95300000000003,78.26086956521739,15.863999999999976
23,24,6.150843422837689,16.769000000000002,402.456,79.16666666666666,15.863999999999976
24,24,4.852593849009506,15.04775,361.146,75.0,15.863999999999976
