delay_s,slip,n,pf,exp,net,mdd
0,0.0,25,5.079559637725222,15.296879999999998,382.42199999999997,15.863999999999976
0,0.5,25,4.922039259465997,15.176879999999999,379.42199999999997,16.363999999999976
0,1.0,25,4.7739946461334855,15.05688,376.42199999999997,16.863999999999976
1,0.0,25,5.058677914240789,15.28076,382.019,16.0
5,0.0,25,5.022074799080304,15.25396,381.349,16.624000000000024
5,0.5,25,4.868045474063018,15.13396,378.349,17.124000000000024
5,1.0,25,4.723183288035393,15.013959999999999,375.349,17.624000000000024
15,0.0,25,5.022513298995187,15.244360000000002,381.10900000000004,16.50400000000002
30,0.0,25,5.079580012164282,15.293040000000001,382.326,15.780000000000001
30,0.5,25,4.922019913769038,15.17304,379.326,16.28
30,1.0,25,4.7739402509100755,15.053040000000001,376.326,16.78
60,0.0,25,5.068840270972689,15.279959999999999,381.99899999999997,15.877000000000002
120,0.0,25,5.067636658003494,15.275440000000001,381.886,15.850000000000001
120,0.5,25,4.910717972007761,15.15544,378.886,16.35
120,1.0,25,4.763225341396019,15.035440000000001,375.886,16.85
300,0.0,25,5.046457976167799,15.29464,382.366,16.0
