date,kind,long,anchor_open,anchor_close,anchor_body,anchor_range,anchor_dir,body_high,body_low,sig_hm,sig_open,sig_close,entry_bid,entry_ask,entry_spread,entry,nearest25,dist25,t_entry,t_exit,stop_price,target_price,exit_price,exit_reason,mfe,mae,pnl,hold_min,equity,peak,dd
2025-08-27,FLIP_LONG,True,3397.23,3395.87,1.3600000000001273,1.7,BEAR,3397.23,3395.87,1140,3395.85,3398.14,3397.748,3398.632,0.8840000000000146,3398.632,3400.0,1.3679999999999382,2025-08-27 19:05:00.260,2025-08-28 07:04:59.398,3383.132,3424.132,3397.715,TIME,24.437,-14.187,-0.917,719.9856333333333,-0.917,0.0,0.917
2025-09-01,FLIP_LONG,True,3477.645,3475.226,2.418999999999869,3.259,BEAR,3477.645,3475.226,1160,3477.505,3479.991,3479.498,3480.445,0.9470000000001164,3480.445,3475.0,5.445000000000164,2025-09-01 19:25:00.397,2025-09-01 21:46:35.058,3464.945,3505.945,3505.945,TP,59.404,-10.64,25.5,141.57768333333334,24.583,24.583,0.0
2025-09-22,FLIP_LONG,True,3741.9,3740.1,1.800000000000182,3.814,BEAR,3741.9,3740.1,1160,3742.5,3746.63,3746.335,3746.885,0.5500000000001819,3746.885,3750.0,3.1149999999997817,2025-09-22 19:25:00.816,2025-09-23 04:48:00.517,3731.385,3772.385,3772.465,TP,43.98,-10.43,25.58,562.9950166666666,50.163,50.163,0.0
2025-10-08,A_SHORT,False,4022.815,4021.39,1.425000000000182,2.425,BEAR,4022.815,4021.39,1150,4016.095,4020.653,4020.365,4020.972,0.6070000000004256,4020.365,4025.0,4.635000000000218,2025-10-08 19:15:00.202,2025-10-08 21:33:32.658,4035.865,3994.865,4035.9519999999998,SL,75.313,-38.0,-15.587,138.54093333333333,34.57599999999999,50.163,15.587000000000003
2025-10-19,A_SHORT,False,4257.123,4255.675,1.4479999999994106,8.585,BEAR,4257.123,4255.675,1140,4255.68,4254.71,4253.898,4255.502,1.6040000000002692,4253.898,4250.0,3.8980000000001382,2025-10-19 19:05:00.048,2025-10-19 20:12:36.870,4269.398,4228.398,4228.3550000000005,TP,34.293,-127.917,25.543,67.6137,60.11899999999999,60.11899999999999,0.0
2025-10-21,A_SHORT,False,4125.205,4123.3,1.9049999999997453,7.588,BEAR,4125.205,4123.3,1140,4123.083,4119.758,4118.898,4120.352,1.4539999999997235,4118.898,4125.0,6.101999999999862,2025-10-21 19:05:00.120,2025-10-21 19:58:40.488,4134.398,4093.398,4092.625,TP,113.473,-42.857,26.273,53.6728,86.392,86.392,0.0
2025-10-27,FLIP_LONG,True,3992.38,3989.935,2.4450000000001637,4.083,BEAR,3992.38,3989.935,1160,3992.145,3994.425,3994.035,3994.885,0.8500000000003638,3994.885,4000.0,5.114999999999782,2025-10-27 19:25:00.007,2025-10-27 20:20:56.738,3979.385,4020.385,3978.3450000000003,SL,24.52,-108.686,-16.54,55.94551666666667,69.852,86.392,16.539999999999992
2025-11-30,A_SHORT,False,4223.605,4222.04,1.5649999999995998,3.06,BEAR,4223.605,4222.04,1140,4221.935,4221.705,4221.325,4221.925,0.6000000000003638,4221.325,4225.0,3.675000000000182,2025-11-30 19:05:00.000,2025-11-30 20:28:39.304,4236.825,4195.825,4236.825,SL,5.383,-43.63,-15.5,83.65506666666667,54.352000000000004,86.392,32.03999999999999
2025-12-01,A_SHORT,False,4230.83,4227.606,3.22400000000016,6.325,BEAR,4230.83,4227.606,1140,4227.701,4225.515,4225.185,4225.895,0.7100000000000364,4225.185,4225.0,0.18500000000040018,2025-12-01 19:05:01.081,2025-12-02 04:23:07.175,4240.685,4199.685,4199.334000000001,TP,61.1,-5.77,25.851,558.1015666666667,80.203,86.392,6.188999999999993
2025-12-14,A_SHORT,False,4306.01,4302.47,3.5399999999999636,5.245,BEAR,4306.01,4302.47,1145,4303.395,4300.545,4300.375,4301.075,0.6999999999998181,4300.375,4300.0,0.375,2025-12-14 19:10:00.076,2025-12-14 20:23:07.331,4315.875,4274.875,4315.995,SL,14.773,-50.25,-15.62,73.12091666666667,64.583,86.392,21.808999999999997
2025-12-15,A_SHORT,False,4306.92,4304.37,2.550000000000182,4.58,BEAR,4306.92,4304.37,1140,4304.355,4303.293,4302.915,4303.602,0.6869999999998981,4302.915,4300.0,2.9149999999999636,2025-12-15 19:05:00.264,2025-12-16 00:30:10.533,4318.415,4277.415,4277.345,TP,30.95,-32.63,25.57,325.17115,90.15299999999999,90.15299999999999,0.0
