variant,n,pf,net,exp,wr,mdd,tp_n,sl_n,eod_n
candles from MID,25,5.125014668074803,386.68300000000005,15.467320000000003,76.0,15.863999999999976,18,6,1
candles from BID,26,3.610450816420445,329.016,12.65446153846154,69.23076923076923,31.72999999999996,17,8,1
candles from ASK,22,4.274183460368278,308.857,14.038954545454546,72.72727272727273,16.170000000000016,15,6,1
EOD 17:00 NY next day (settlement),25,5.125014668074803,386.68300000000005,15.467320000000003,76.0,15.863999999999976,18,6,1
EOD 16:00 NY next day,25,5.19051428937178,392.82300000000004,15.712920000000002,76.0,15.863999999999976,18,6,1
EOD 00:00 NY (end of Q1),25,3.6760827521537833,273.97200000000004,10.95888,72.0,25.059999999999995,13,6,6
EOD 09:00 NY next day,25,4.852526501026522,367.79300000000006,14.711720000000003,72.0,15.863999999999976,18,6,1
time stop 60m,25,3.7072684312067805,124.889,4.99556,64.0,15.864000000000004,4,1,20
time stop 120m,25,2.3085426202097654,154.95499999999998,6.198199999999999,64.0,31.75,6,6,13
time stop 240m,25,3.654180072266495,268.112,10.724480000000002,68.0,26.25,12,6,7
time stop 480m,25,4.580677087584688,350.935,14.0374,72.0,19.586999999999996,17,6,2
