label,risk,n,wr,pf,net,dd,mar,mc_med,mc_p95,p30,h1,h2,pf_pre2025,yrs_pos,yrs
   trend str > 6.0 ATR x1.4 else x0.8,0.69781494140625,711,22.22222222222222,2.0440656763439002,2652.850452206791,24.978058297598547,2.5832960761010475,25.836463475284567,37.76014695503283,24.3,1.3920317911962101,2.2297688367985264,1.4897039381581307,7,8
"   entries only when vol rank in [0.50,1.00]",0.9690014648437499,489,21.676891615541923,2.0323958928854995,918.4711320180604,24.998852073197376,1.6681935629742097,27.391422474562265,40.01008316540031,33.75,1.1374558105149122,2.490641572430955,1.2606438649983827,7,8
"   entries only when vol rank in [0.67,1.00]",0.9537744140624999,373,21.715817694369974,2.0177535008921765,441.8017641908855,24.99175251544028,1.1558937572773709,23.308267226835007,34.588377129569906,14.05,1.2534418955537812,2.5400549496791127,1.3092051301407974,6,7
   vol rank 0.50-1.00 x1.3/x0.7,0.7188427734374999,711,21.940928270042196,1.9903770757370922,1995.9033663128216,24.989176750039004,2.317993345052108,25.354165872163332,37.33320157594208,22.1,1.3847948919610966,2.193188829649524,1.4435108718082268,7,8
   ATR20/ATR200 > 1.05 x1.4 else x0.6,0.7790258789062501,711,21.237693389592124,1.9736216538433247,2424.5020464400254,24.999506777697885,2.496045995302099,25.664071998793364,37.22515777826434,23.400000000000002,1.437933438103051,2.1307475082943763,1.5124945053291057,7,8
   ATR20/ATR200 < 0.95 x1.25 else x0.75,0.73697021484375,710,21.971830985915496,1.9680977570357527,2193.8876389587003,24.99348938649414,2.403833332276863,27.045852977410107,39.2745951842928,31.0,1.359423291330105,2.1578205691208945,1.4587145632104905,7,8
   trend str > 4.0 ATR x1.3 else x0.7,0.6796875,711,22.22222222222222,1.965310524226727,2084.105188157233,24.98261752359827,2.357858144233881,25.580696758448497,37.41194843074375,22.35,1.3788762210456786,2.1512600059067255,1.4692414626085781,7,8
   trend str > 3.0 ATR x1.25 else x0.75,0.69346435546875,711,22.22222222222222,1.96282672389694,2207.1483351798656,24.977380393419324,2.410934361681849,25.87056855493435,37.767726742859395,24.0,1.3797741416004594,2.143994574786859,1.471288108000564,7,8
   vol rank 0.33-1.00 x1.3/x0.7,0.72101806640625,711,22.081575246132207,1.9569751674249154,2177.16113898099,24.995974442211335,2.396559144039347,25.926928413989884,38.12344099281936,24.8,1.395170089866987,2.134733938303537,1.4536157635467974,7,8
   ATR20/ATR200 > 1.1 x1.3 else x0.7,0.7333447265625,711,21.09704641350211,1.9550553714716348,1810.677222861545,24.986284258806823,2.231039042973414,24.66918167519372,36.212620564005675,18.25,1.3826755989717903,2.1523519207767303,1.4781775890182387,7,8
"   adds only when vol rank in [0.33,1.00]",0.8348583984374999,710,22.535211267605636,1.9530983440341236,2974.044104329384,24.986076269547773,2.692511160502155,26.638210336147424,37.928657314938185,28.7,1.503611206144971,2.067988988011562,1.5705213530311513,7,8
   trend str > 2.0 ATR x1.3 else x0.7,0.6912890625,711,22.362869198312236,1.9518362234363413,2273.9294485478276,24.97797957167462,2.4384239550753066,26.07081769871008,38.0792129582485,25.45,1.3853036321616194,2.1255498872598073,1.4693766447465315,7,8
   vol rank 0.67-1.00 x1.4/x0.8,0.71666748046875,711,21.940928270042196,1.9471512091770589,1795.2988315472971,24.98216483947135,2.223845124429459,25.591013634057276,37.47452862291895,22.95,1.3630084687407305,2.1508925616464007,1.4442795092953098,7,8
   ATR20/ATR200 < 1.0 x1.3 else x0.7,0.7144921875,710,21.971830985915496,1.9466029675507548,2026.508931450478,24.979215896434624,2.3326976511349,26.90391256074678,38.825838090964076,31.0,1.3559424655773549,2.140757453552983,1.4436689346295661,7,8
   tighten to 2.0 after 192 bars in trade,0.70506591796875,711,21.80028129395218,1.9453898001933618,1877.8219673313313,24.984335758742297,2.2636323702823504,25.313391879917297,37.18154952769357,21.5,1.3715684902812855,2.138150060097938,1.4597250916495697,7,8
E baseline,0.70506591796875,711,21.659634317862167,1.94521220456962,1874.8800802241028,24.984381193294144,2.2622275722066707,25.33326435570563,37.186280462791856,21.5,1.3711094652418585,2.138150060097934,1.4594487795167055,7,8
   trail 4.24 once at least one add taken,0.70506591796875,711,21.659634317862167,1.94521220456962,1874.8800802241028,24.984381193294144,2.2622275722066707,25.33326435570563,37.186280462791856,21.5,1.3711094652418585,2.138150060097934,1.4594487795167055,7,8
   cooldown 30 but only 0 after a WIN,0.70506591796875,711,21.659634317862167,1.94521220456962,1874.8800802241028,24.984381193294144,2.2622275722066707,25.33326435570563,37.186280462791856,21.5,1.3711094652418585,2.138150060097934,1.4594487795167055,7,8
   cooldown 30 but only 12 after a WIN,0.70506591796875,711,21.659634317862167,1.94521220456962,1874.8800802241028,24.984381193294144,2.2622275722066707,25.33326435570563,37.186280462791856,21.5,1.3711094652418585,2.138150060097934,1.4594487795167055,7,8
   cooldown 30 but only 18 after a WIN,0.70506591796875,711,21.659634317862167,1.94521220456962,1874.8800802241028,24.984381193294144,2.2622275722066707,25.33326435570563,37.186280462791856,21.5,1.3711094652418585,2.138150060097934,1.4594487795167055,7,8
   cooldown 30 but only 6 after a WIN,0.70506591796875,711,21.659634317862167,1.94521220456962,1874.8800802241028,24.984381193294144,2.2622275722066707,25.33326435570563,37.186280462791856,21.5,1.3711094652418585,2.138150060097934,1.4594487795167055,7,8
   tighten to 2.5 after 144 bars in trade,0.70506591796875,713,21.73913043478261,1.9216652261583411,1662.5919364441704,24.986922644629484,2.155919134139069,25.59231298283133,37.67452352997561,22.900000000000002,1.3540088334492562,2.118393685013175,1.424140242904166,7,8
   tighten to 2.0 after 96 bars in trade,0.74712158203125,720,22.36111111111111,1.9204122025726025,2089.1564266838054,24.995037918894642,2.3588925114713013,26.477355796093793,37.472313950297355,29.45,1.3937248492123475,2.0834289841433784,1.4249216911329436,7,8
"   adds only when vol rank in [0.20,1.00]",0.781201171875,710,22.3943661971831,1.919849150776195,2327.0102250923715,24.996718945889704,2.4580099637444492,26.532683872637804,38.048613708878335,28.15,1.4120493316198324,2.069320457601023,1.5082019313449784,7,8
   tighten to 3.0 after 96 bars in trade,0.6970898437499999,716,21.92737430167598,1.9181637320041705,1695.220224987595,24.991882444048137,2.1724749973964173,24.961311938732827,36.38931421088914,20.95,1.3753948069836526,2.107305280791773,1.4118583602521255,7,8
