label,risk,n,wr,pf,net,dd,mar,mc_med,mc_p95,p30,h1,h2,pf_pre2025,yrs_pos,yrs,budget
E baseline,0.70506591796875,711,21.659634317862167,1.94521220456962,1874.8800802241028,24.984381193294144,2.2622275722066707,25.33326435570563,37.186280462791856,21.5,1.3711094652418585,2.138150060097934,1.4594487795167055,7,8,25.0
F1 trend-str >6ATR x1.4/x0.8,0.69781494140625,711,22.22222222222222,2.0440656763439002,2652.850452206791,24.978058297598547,2.5832960761010475,25.836463475284567,37.76014695503283,24.3,1.3920317911962101,2.2297688367985264,1.4897039381581307,7,8,25.0
F2 ATR20/200 >1.05 x1.4/x0.6,0.7790258789062501,711,21.237693389592124,1.9736216538433247,2424.5020464400254,24.999506777697885,2.496045995302099,25.664071998793364,37.22515777826434,23.400000000000002,1.437933438103051,2.1307475082943763,1.5124945053291057,7,8,25.0
F3 vol rank >0.5 x1.3/x0.7,0.7188427734374999,711,21.940928270042196,1.9885276381860366,1920.0214111556363,24.989539724467363,2.283056351142154,25.45291080372688,37.42638447248707,22.7,1.3773826786847916,2.1931888296495283,1.4393925146593705,7,8,25.0
F4 adds gated vol rank >0.33,0.8348583984374999,710,22.535211267605636,1.9530983440341236,2974.044104329384,24.986076269547773,2.692511160502155,26.638210336147424,37.928657314938185,28.7,1.503611206144971,2.067988988011562,1.5705213530311513,7,8,25.0
"G1 F1 x F2 (product, clipped 0.5-2.0)",0.723193359375,711,21.518987341772153,2.0049101602818373,2456.458675229668,24.9874764496289,2.5095377082113024,24.84691105363523,36.489106291295684,19.0,1.4307163435668098,2.174912845577776,1.5127881164403416,7,8,25.0
G2 F1 x F3,0.70361572265625,711,21.940928270042196,2.085759069392188,2519.389021081216,24.97828754952707,2.5342947230222532,25.7015537296368,37.51264385025315,24.05,1.384880035350473,2.2899685815488398,1.459792137516838,7,8,25.0
G3 F2 + adds gated >0.33,0.8696630859375,710,22.3943661971831,1.9608234347673912,2982.3366137616345,24.98565207871588,2.6952661054070504,25.782861727618858,36.973024704252325,24.0,1.5583874645197628,2.06293960142041,1.6200438344834815,7,8,25.0
G4 F1 + adds gated >0.33,0.8080297851562499,710,22.95774647887324,2.0491334875117206,4146.118470662061,24.987033823769266,3.025173353139952,26.691076601073355,38.28635451774418,29.2,1.5288304283054142,2.1623899036284007,1.6004016098250318,7,8,25.0
G5 F1 x F2 + adds gated >0.33,0.8384838867187498,710,22.676056338028168,2.0088104424307383,3731.714196268348,24.98938943036576,2.917348910383582,25.90942461505412,37.13446750368574,24.25,1.5745435570157904,2.1086695554443624,1.6306842594990312,7,8,25.0
E baseline,0.55279541015625,711,21.659634317862167,1.9055981601849026,997.2222218172817,19.988581847862864,2.166079696115598,20.36426151442457,30.329204012358886,5.3,1.3985702750102018,2.1275417826796788,1.4721005810879235,7,8,20.0
F1 trend-str >6ATR x1.4/x0.8,0.5477197265625001,711,22.22222222222222,1.9964886387105787,1339.5916471269527,19.984741857373034,2.4649969498409914,20.785898571957027,30.86758312844642,6.45,1.4213882343850999,2.2177153101047873,1.5017711364658686,7,8,20.0
F2 ATR20/200 >1.05 x1.4/x0.6,0.60935302734375,711,21.237693389592124,1.9403737421169627,1230.1837636343462,19.99787211451931,2.3752983423707246,20.56821118339233,30.303138312738675,5.7,1.4686334769502698,2.1262881723186258,1.5276071023011133,7,8,20.0
F3 vol rank >0.5 x1.3/x0.7,0.563671875,711,21.940928270042196,1.9407550382963499,1017.8876184213964,19.994373140985008,2.1855642999881106,20.43576672983992,30.523823502860825,5.7,1.4030712554563753,2.176376182734115,1.4525087323486054,7,8,20.0
F4 adds gated vol rank >0.33,0.6528588867187499,710,22.535211267605636,1.9328018773829623,1465.831930335848,19.98261880759256,2.5601545436200226,21.41241329136482,30.93663321872391,7.1,1.5357475669643044,2.072064459971579,1.5832862791380564,7,8,20.0
"G1 F1 x F2 (product, clipped 0.5-2.0)",0.5672973632812501,711,21.518987341772153,1.9674599182068966,1250.2112744457625,19.99750478371022,2.3919149019660257,19.962406372233445,29.777500206706858,4.8,1.462685366129484,2.167002863180549,1.5284920878775556,7,8,20.0
G2 F1 x F3,0.5520703125,711,21.940928270042196,2.0286221308170935,1281.3975110093456,19.980583342050547,2.4193577097014796,20.68052858488116,30.641645460896374,6.5,1.4114580827473515,2.27158980610751,1.4719484074891922,7,8,20.0
G3 F2 + adds gated >0.33,0.6804125976562501,710,22.3943661971831,1.9477643345517526,1466.7175445739138,19.9953500754647,2.559166450000539,20.66075022634991,30.15910266505364,5.25,1.5923704573658257,2.071669973621361,1.6351214766830153,7,8,20.0
G4 F1 + adds gated >0.33,0.63255615234375,710,22.95774647887324,2.02259851815359,1937.7213389159015,19.993164835783023,2.863900593132438,21.449423514521207,31.205167178847812,7.1,1.5624931980723902,2.164827467328784,1.6122491219160644,8,8,20.0
G5 F1 x F2 + adds gated >0.33,0.65575927734375,710,22.676056338028168,1.9924222237030733,1765.009817743251,19.984082741174845,2.761225045479295,20.752949816408666,30.289600473693707,5.4,1.610624348835852,2.1154412500533013,1.647036548951293,7,8,20.0
   trend str >3 ATR x1.4/x0.8,0.6782373046875,711,22.50351617440225,1.9542516830165904,2299.577822969394,24.978585620017917,2.448769752561392,26.15331336368,38.17099429749037,25.95,1.380905130546367,2.128193877317269,1.4671946038683825,7,8,25.0
   trend str >4 ATR x1.4/x0.8,0.66736083984375,711,22.362869198312236,1.9537246957083798,2109.2439251350847,24.990137001520306,2.3680870397372407,25.755418916608125,37.65123061956021,23.5,1.3785316502229599,2.134372570289609,1.4631697727966775,7,8,25.0
   trend str >5 ATR x1.4/x0.8,0.682587890625,711,22.22222222222222,2.002201178137714,2400.026988204886,24.985216730597998,2.487970305391705,25.777407383864364,37.862759711962156,23.9,1.3874011632881649,2.1863639405393025,1.4740403440320384,7,8,25.0
   trend str >6 ATR x1.4/x0.8,0.69781494140625,711,22.22222222222222,2.0440656763439002,2652.850452206791,24.978058297598547,2.5832960761010475,25.836463475284567,37.76014695503283,24.3,1.3920317911962101,2.2297688367985264,1.4897039381581307,7,8,25.0
   trend str >7 ATR x1.4/x0.8,0.70506591796875,711,22.081575246132207,2.038071953259866,2545.3498457542614,24.996549220985884,2.542126826912592,26.009757473223324,37.91995454731084,25.15,1.3808817376461646,2.230606328040215,1.475569399258027,7,8,25.0
   trend str >8 ATR x1.4/x0.8,0.7101416015625001,711,21.80028129395218,2.04550395936265,2514.7080590465507,24.979067964854952,2.532459611532893,26.018280578385916,37.782838805070845,24.3,1.376748168123462,2.2439856444594155,1.471466058437188,7,8,25.0
   trend str >10 ATR x1.4/x0.8,0.7152172851562499,711,21.80028129395218,2.0543022815213763,2531.6846521392094,24.99081232706424,2.5376221309461635,25.7300001890586,37.51932418831772,23.25,1.3791533103429914,2.2543813072686825,1.4833430342303542,7,8,25.0
   trend str >6 x1.2/x0.9,0.7014404296875,711,21.80028129395218,1.9958759050747683,2235.6581401130434,24.978391393012046,2.4226787895019837,25.53991294649178,37.40427925635382,22.3,1.3820637803221139,2.1857887211240463,1.4751558011195776,7,8,25.0
   trend str >6 x1.3/x0.85,0.699990234375,711,22.22222222222222,2.020339031679399,2440.5392718781477,24.989293090618215,2.5032498044123,25.66681220533187,37.65615648135305,23.400000000000002,1.3870998463869457,2.208172880974269,1.4825610495452728,7,8,25.0
