tag,adds,spacing,taft,tto,short_risk,ddt,dds,cooldown,risk,n,wr,pf,net,dd,mar,h1,h2,mc_med,mc_p95,mc_over30
   cooldown 36 w/15->2.0,,,15,2.0,,,,36.0,0.8192138671875,678,21.68141592920354,1.949041762778595,2324.6087897270245,24.990163074814888,2.4576943836040135,1.3824141443979467,2.1139911308289334,29.05649537695482,42.229032376818935,44.55
   derisk at -20% to x0.5,,,15,2.0,,0.2,0.5,,0.68642578125,743,21.399730820995963,1.84462738686215,1675.8866630219466,24.977930411250657,2.1636513434720506,1.3836951254680014,2.006823918085524,25.55205479466508,36.829672010399385,24.55
C  15->2.0 short0.75,,,15,2.0,,,,,0.6625,743,21.399730820995963,1.8441323284750457,1563.788459448512,24.98228007994611,2.103187919341095,1.3982613245777131,2.0051145689812677,24.803815197129296,35.87198087689197,21.0
   cooldown 24 w/15->2.0,,,15,2.0,,,,24.0,0.6625,743,21.399730820995963,1.8441323284750457,1563.788459448512,24.98228007994611,2.103187919341095,1.3982613245777131,2.0051145689812677,24.803815197129296,35.87198087689197,21.0
   tighten 15->2.0,,,15,2.0,,,,,0.6625,743,21.399730820995963,1.8441323284750457,1563.788459448512,24.98228007994611,2.103187919341095,1.3982613245777131,2.0051145689812677,24.803815197129296,35.87198087689197,21.0
   derisk at -20% to x0.8,,,15,2.0,,0.2,0.8,,0.669677734375,743,21.399730820995963,1.8439321455414184,1596.887805007394,24.96245826086391,2.122963436896554,1.3932292267601507,2.0056473004373885,25.01753677962347,36.19213221912273,22.1
   derisk at -20% to x0.65,,,15,2.0,,0.2,0.65,,0.6756591796875,743,21.399730820995963,1.8438798254326603,1625.7050926969118,24.964115277569068,2.138341868185874,1.3893294740060176,2.006078189810806,25.21065389293972,36.46439620730115,22.75
   derisk at -15% to x0.8,,,15,2.0,,0.15,0.8,,0.6648925781249999,743,21.399730820995963,1.843554347987263,1562.0058188027651,24.585210385426073,2.1361571256554566,1.4018662029022135,2.0027824554663223,24.729015133477862,35.90600238191067,20.849999999999998
   derisk at -15% to x0.65,,,15,2.0,,0.15,0.65,,0.6648925781249999,743,21.265141318977122,1.8384422257138728,1512.6171943557895,24.231225755564132,2.1389111378223693,1.3947493981803047,2.000870056988883,24.661680003616056,35.755144033230515,20.65
   derisk at -8% to x0.5,,,15,2.0,,0.08,0.5,,0.7306884765625,743,20.72678331090175,1.8346678989034741,1761.299570810891,24.996888233280114,2.205640378725017,1.402694503635635,1.980633911540814,25.985483980737474,37.629665792451426,26.150000000000002
