arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,p30_sd,pf_pre2025,pf2021,pf2022,pf2026,top1,top5,top10,long_share,avg_bars
V1 tol0.0 | A trail 3.0ATR,25.0,1.3739065551757814,669,36.771300448430495,1.0447171788579002,2.3592832235981076,24.998508186881494,0.09437696065544392,29.792092968979915,48.62222222222223,0.9878271453730155,1.016636845793031,1.0267099129068151,0.7665097383253565,0.8997322541525046,12.971135595660305,41.50891787753353,61.30153055834174,58.744394618834086,22.71898355754858
V1 tol0.0 | A trail 3.0ATR,20.0,1.088489074707031,669,36.771300448430495,1.0490590607694559,2.0534592332315915,19.998341014111165,0.10268147901781634,24.231431495887207,17.355555555555554,1.281588520470775,1.0210536244660915,1.031443461584095,0.7675484311337345,0.9028919973100836,12.967231429518568,41.503928441762646,61.26960642540448,58.744394618834086,22.71898355754858
V1 tol0.0 | A trail 4.0ATR,25.0,2.1316510009765626,554,39.35018050541516,1.128859799564686,7.388802307311981,24.99938309315329,0.2955593855968226,33.02151837167601,67.53333333333332,1.146976702272349,1.0240081482074226,1.1643061458927277,0.784017708627469,1.2814283659364951,12.569629957116733,41.83488788450359,62.00726740123312,58.48375451263538,40.57761732851986
V1 tol0.0 | A trail 4.0ATR,20.0,1.68477294921875,554,39.35018050541516,1.1332068429512778,6.159296280995452,19.99875025104726,0.3079840591875441,26.870773262200643,32.26666666666667,0.2372684056006943,1.0304206794360098,1.1733794947575542,0.7866841748043214,1.2953334592256949,12.299806693979502,41.3619347222497,61.80149194106199,58.48375451263538,40.57761732851986
V1 tol0.0 | A trail 5.0ATR,25.0,1.710587158203125,466,37.98283261802575,1.2471818365878224,11.287132917187037,24.9990427434649,0.4515026048402454,24.344679360780546,19.244444444444444,0.13698697784375607,1.20756528860078,0.8182752955498493,0.8379044999447006,0.9889913408680348,17.022080575994497,46.47365140746906,65.51485688496352,57.72532188841202,61.52575107296137
V1 tol0.0 | A trail 5.0ATR,20.0,1.3461441040039062,466,37.98283261802575,1.2573902595745239,9.113603471755738,19.998833049267244,0.4557067629548345,19.5873575673918,4.622222222222223,0.2685121327465462,1.2197265152007815,0.8212179089764449,0.8403771507721062,0.9934961930387123,17.735897433058057,46.585703607989416,65.48301078561049,57.72532188841202,61.52575107296137
V1 tol0.0 | B 1.5R tgt,25.0,0.9142431640624998,653,42.11332312404288,1.0052674488721223,0.26528166754355986,24.99700390496067,0.010612538548706413,26.145608237175168,26.022222222222222,1.1499865807053868,0.9545428437705571,1.1613984263694899,0.8706059610231127,0.8302686585756607,2.6472814252661134,13.465808966086641,26.306008514136607,58.03981623277183,17.22052067381317
V1 tol0.0 | B 1.5R tgt,20.0,0.7195407104492186,653,42.11332312404288,1.0077848179294395,0.31339050840506477,19.996883825360733,0.015671967249597768,21.02395608423819,5.2,0.5760658398584763,0.9572473095650184,1.1656554986898497,0.8726297524711017,0.83203553418315,2.560276109781198,13.14806638486588,25.832510416172152,58.03981623277183,17.22052067381317
V1 tol0.0 | B 2R tgt,25.0,0.7852938842773437,629,35.453100158982515,1.0215586046641638,0.9401107483647531,24.999085442276712,0.03760580564178973,24.137505628751324,16.733333333333334,0.5682983045575295,0.939423699729196,1.0838865828752617,0.8236406192632014,0.8470107010713092,3.393399339880618,16.85544604450815,31.956972671870915,58.66454689984102,22.553259141494436
V1 tol0.0 | B 2R tgt,20.0,0.617988586425781,629,35.453100158982515,1.023783098299298,0.8396817689686253,19.999719289117497,0.041984677726228076,19.390213380297425,2.422222222222222,0.1571348402636773,0.9430285836818324,1.0872420804159588,0.8259451592454591,0.849500731069318,3.251797967517924,16.28146265755134,31.162114267190997,58.66454689984102,22.553259141494436
V1 tol0.0 | B 3R tgt,25.0,0.8141522216796874,594,28.28282828282828,1.111285760536821,5.60636855374963,24.998475677297815,0.22426841644752815,23.875904245895665,15.733333333333334,1.2869717542729122,1.045832122530224,1.2425880453564286,0.7550014552934945,0.9869979457446311,4.039222920331349,22.34354217563223,41.61558938444664,58.417508417508415,32.3013468013468
