gate,cycle,q,n,wr,pf,net_pct,maxdd_pct,pf_h1,n_h1,pf_h2,n_h2
ALL,-,0,789,21.673003802281368,1.625542258819751,1511.8836535033838,35.24614803858275,,,,
dailyQ1,daily,1,330,21.21212121212121,1.3800677580074132,128.89458283417108,49.18618744806554,0.9453061405840189,161.0,1.8566429224486902,169.0
dailyQ2,daily,2,436,25.458715596330272,1.5189057426463972,564.8806819183969,37.28096716706989,1.2806387166414617,210.0,1.6554719709485715,226.0
dailyQ3,daily,3,552,21.3768115942029,1.4632933878849141,377.89197898908327,45.60787485084091,1.1349731052561356,274.0,1.6965039118028322,278.0
dailyQ4,daily,4,293,19.795221843003414,1.2007640605659176,57.21653891376186,34.23039349091299,1.0659860978917617,145.0,1.3509183488009342,148.0
weeklyQ1,weekly,1,242,23.140495867768596,1.1140341807201293,22.485620482179442,40.44568237393328,0.8757671107872526,122.0,1.384780277620184,120.0
weeklyQ2,weekly,2,264,18.560606060606062,1.0648382215572654,17.47752933251373,37.12195817588476,1.1498866900559463,125.0,0.9707590881602054,139.0
weeklyQ3,weekly,3,244,23.36065573770492,1.3916304949997005,177.68716049176544,36.47911623614225,1.5323508203197116,129.0,1.24161776126168,115.0
weeklyQ4,weekly,4,224,22.321428571428573,1.82476282252021,332.61707492454843,22.20883275512779,1.5702984587406608,108.0,1.9599418147113468,116.0
sessionQ1,session,1,463,21.598272138228943,1.4079763439736683,243.35092331311222,42.077125553712705,1.151454103996126,230.0,1.618053034673488,233.0
sessionQ2,session,2,453,21.85430463576159,1.5560120741219745,449.79469258986074,40.830197684267475,1.1357110190042399,219.0,1.8190677056417288,234.0
sessionQ3,session,3,412,21.601941747572813,1.5291244230367649,374.35265047125876,38.97518615178376,1.1534455420585168,196.0,1.7642845607070292,216.0
sessionQ4,session,4,284,23.239436619718308,1.5931765336586259,215.33093281622678,43.201888673559466,1.1538236921084029,138.0,2.0270898456110014,146.0
