cycle,q,n,sets_high,sets_low,sets_extreme,range_share,tz
daily,1,1717,0.25276645311589985,0.31391962725684336,0.2766453115899825,0.20950011363938145,ny
daily,2,1717,0.15026208503203262,0.15608619685497963,0.1496796738497379,0.23205302316213133,ny
daily,3,1717,0.36517181129877696,0.34886429819452536,0.31042516016307514,0.3722473953719953,ny
daily,4,1717,0.23179965055329063,0.18112987769365171,0.20122306348281888,0.1861994678264919,ny
weekly,1,337,0.2789317507418398,0.3649851632047478,0.3115727002967359,0.2494566222348788,ny
weekly,2,337,0.18694362017804153,0.20178041543026706,0.1913946587537092,0.25206576440467726,ny
weekly,3,337,0.18397626112759644,0.19881305637982197,0.1884272997032641,0.25557765346983063,ny
weekly,4,337,0.35014836795252224,0.2344213649851632,0.28635014836795253,0.24289995989061328,ny
session,1,5152,0.359666149068323,0.3858695652173913,0.34811723602484473,0.27179506980784146,ny
session,2,5152,0.2156444099378882,0.22612577639751552,0.20972437888198758,0.2839274926513213,ny
session,3,5152,0.20768633540372672,0.20438664596273293,0.1984666149068323,0.26116125076336255,ny
session,4,5152,0.2170031055900621,0.18361801242236025,0.19885481366459629,0.18311618677747474,ny
