cycle,tz,sweep_q,swept,n,reverse_close,z,close_past_mid
daily,ny,2,high,258,0.6007751937984496,3.237378593096388,0.6627906976744186
daily,ny,2,low,268,0.7014925373134329,6.597149995240483,0.746268656716418
daily,ny,3,high,627,0.3492822966507177,-7.547932953201738,0.45614035087719296
daily,ny,3,low,599,0.3606010016694491,-6.823435017819398,0.44908180300500833
weekly,ny,2,high,63,0.6031746031746031,1.6378460497066507,0.6984126984126984
weekly,ny,2,low,68,0.6029411764705882,1.6977493752543302,0.7352941176470589
weekly,ny,3,high,62,0.25806451612903225,-3.810003810005715,0.3387096774193548
weekly,ny,3,low,67,0.34328358208955223,-2.5655583314824097,0.3880597014925373
session,ny,2,high,1111,0.5166516651665166,1.1100555041628446,0.6039603960396039
session,ny,2,low,1165,0.5141630901287554,0.9668319132599299,0.6300429184549357
session,ny,3,high,1070,0.2542056074766355,-16.080289205564043,0.3411214953271028
session,ny,3,low,1053,0.26970560303893637,-14.946088620513118,0.35802469135802467
