
====================================================================================================
2025-26: 91,629,949 ticks, $3,321.45 .. $5,598.26  (load 16s)
  net drift over the year: +1,136.72  (+34.0%) -- drift biases continuation UP, which is why the phase controls matter
====================================================================================================
         S   phase           n    P(cont)         up       down
      2.50   ROUND   2,475,146     0.5231     0.5221     0.5242
      2.50    1/12   2,474,835     0.5231     0.5230     0.5232
      2.50    2/12   2,468,988     0.5232     0.5250     0.5215
      2.50    3/12   2,465,941     0.5232     0.5252     0.5212
      2.50    4/12   2,462,618     0.5232     0.5247     0.5218
      2.50    5/12   2,459,841     0.5232     0.5259     0.5206
      2.50    6/12   2,460,262     0.5232     0.5253     0.5212
      2.50    7/12   2,467,058     0.5232     0.5248     0.5217
      2.50    8/12   2,479,666     0.5231     0.5246     0.5217
      2.50    9/12   2,479,318     0.5231     0.5237     0.5226
      2.50   10/12   2,477,300     0.5232     0.5223     0.5240
      2.50   11/12   2,476,872     0.5232     0.5222     0.5241
      5.00   ROUND   1,243,408     0.5123     0.5118     0.5128
      5.00    1/12   1,232,470     0.5124     0.5123     0.5126
      5.00    2/12   1,222,963     0.5125     0.5111     0.5138
      5.00    3/12   1,219,502     0.5125     0.5085     0.5164
      5.00    4/12   1,232,051     0.5124     0.5096     0.5152
      5.00    5/12   1,236,102     0.5123     0.5069     0.5177
      5.00    6/12   1,234,731     0.5123     0.5085     0.5161
      5.00    7/12   1,239,600     0.5123     0.5101     0.5145
      5.00    8/12   1,242,765     0.5123     0.5116     0.5129
      5.00    9/12   1,243,884     0.5123     0.5111     0.5135
      5.00   10/12   1,250,660     0.5122     0.5131     0.5113
      5.00   11/12   1,244,161     0.5123     0.5105     0.5142
     10.00   ROUND     605,348     0.5065     0.5085     0.5045
     10.00    1/12     592,459     0.5066     0.5060     0.5073
     10.00    2/12     600,154     0.5065     0.4985     0.5146
     10.00    3/12     608,355     0.5065     0.4937     0.5193
     10.00    4/12     621,169     0.5064     0.4958     0.5169
     10.00    5/12     632,774     0.5062     0.5029     0.5096
     10.00    6/12     638,194     0.5062     0.4985     0.5139
     10.00    7/12     630,647     0.5063     0.5041     0.5086
     10.00    8/12     631,989     0.5063     0.5064     0.5062
     10.00    9/12     626,583     0.5064     0.5093     0.5034
     10.00   10/12     621,772     0.5064     0.5134     0.4993
     10.00   11/12     618,069     0.5064     0.5164     0.4963
     12.50   ROUND     496,281     0.5052     0.5060     0.5043
     12.50    1/12     496,002     0.5052     0.5049     0.5054
     12.50    2/12     495,424     0.5052     0.5052     0.5051
     12.50    3/12     498,922     0.5051     0.5042     0.5061
     12.50    4/12     496,323     0.5052     0.5121     0.4982
     12.50    5/12     492,524     0.5052     0.5043     0.5061
     12.50    6/12     493,964     0.5052     0.5016     0.5088
     12.50    7/12     500,385     0.5051     0.4995     0.5107
     12.50    8/12     493,707     0.5052     0.5031     0.5073
     12.50    9/12     494,523     0.5052     0.5062     0.5041
     12.50   10/12     488,145     0.5052     0.5066     0.5038
     12.50   11/12     490,347     0.5052     0.5064     0.5040
     25.00   ROUND     240,876     0.5027     0.5268     0.4786
     25.00    1/12     238,528     0.5027     0.5178     0.4877
     25.00    2/12     243,934     0.5027     0.5230     0.4824
     25.00    3/12     243,905     0.5027     0.5164     0.4890
     25.00    4/12     252,657     0.5026     0.5008     0.5044
     25.00    5/12     250,659     0.5026     0.4994     0.5059
     25.00    6/12     255,186     0.5026     0.5168     0.4884
     25.00    7/12     256,850     0.5026     0.5189     0.4863
     25.00    8/12     252,324     0.5026     0.5142     0.4910
     25.00    9/12     250,004     0.5026     0.5243     0.4809
     25.00   10/12     240,951     0.5027     0.5268     0.4787
     25.00   11/12     237,278     0.5028     0.5272     0.4783
     50.00   ROUND     108,209     0.5016     0.5403     0.4629
     50.00    1/12     114,403     0.5015     0.5136     0.4895
     50.00    2/12     124,819     0.5014     0.5141     0.4887
     50.00    3/12     126,828     0.5014     0.5135     0.4893
     50.00    4/12     128,454     0.5013     0.4969     0.5058
     50.00    5/12     118,673     0.5015     0.5085     0.4944
     50.00    6/12     132,504     0.5013     0.5185     0.4841
     50.00    7/12     129,225     0.5014     0.5548     0.4479
     50.00    8/12     127,276     0.5013     0.5473     0.4554
     50.00    9/12     127,593     0.5014     0.5473     0.4554
     50.00   10/12     122,842     0.5014     0.5483     0.4545
     50.00   11/12     121,404     0.5014     0.5603     0.4425
    100.00   ROUND      52,589     0.5010     0.5233     0.4786
    100.00    1/12      63,565     0.5008     0.5603     0.4413
    100.00    2/12      65,653     0.5008     0.5216     0.4799
    100.00    3/12      66,743     0.5007     0.5302     0.4713
    100.00    4/12      63,718     0.5008     0.5874     0.4141
    100.00    5/12      61,169     0.5008     0.5961     0.4054
    100.00    6/12      55,585     0.5009     0.6126     0.3891
    100.00    7/12      60,907     0.5008     0.5749     0.4266
    100.00    8/12      62,673     0.5008     0.5871     0.4144
    100.00    9/12      65,589     0.5008     0.6118     0.3897
    100.00   10/12      63,545     0.5008     0.6302     0.3713
    100.00   11/12      61,635     0.5008     0.5703     0.4313
    250.00   ROUND      21,160     0.5005     0.5612     0.4397
    250.00    1/12      21,960     0.5005     0.6029     0.3980
    250.00    2/12      24,917     0.5004     0.5054     0.4954
    250.00    3/12      28,467     0.5003     0.6095     0.3912
    250.00    4/12      31,433     0.5003     0.6919     0.3086
    250.00    5/12      19,554     0.5005     0.6680     0.3330
    250.00    6/12      21,496     0.5005     0.7417     0.2592
    250.00    7/12      18,058     0.5005     0.6246     0.3763
    250.00    8/12      21,568     0.5005     0.5714     0.4295
    250.00    9/12      25,396     0.5004     0.4861     0.5146
    250.00   10/12      25,782     0.5004     0.5626     0.4381
    250.00   11/12      24,092     0.5004     0.5408     0.4601

====================================================================================================
2024-25: 64,093,055 ticks, $2,470.83 .. $3,500.22  (load 5s)
  net drift over the year: +814.92  (+32.2%) -- drift biases continuation UP, which is why the phase controls matter
====================================================================================================
         S   phase           n    P(cont)         up       down
      2.50   ROUND     892,147     0.5100     0.5172     0.5028
      2.50    1/12     894,792     0.5099     0.5171     0.5028
      2.50    2/12     894,327     0.5099     0.5139     0.5059
      2.50    3/12     891,903     0.5100     0.5131     0.5068
      2.50    4/12     889,533     0.5099     0.5142     0.5057
      2.50    5/12     886,105     0.5100     0.5199     0.5000
      2.50    6/12     887,757     0.5100     0.5172     0.5028
      2.50    7/12     889,286     0.5100     0.5139     0.5061
      2.50    8/12     887,761     0.5100     0.5130     0.5070
      2.50    9/12     891,253     0.5100     0.5156     0.5044
      2.50   10/12     891,611     0.5100     0.5191     0.5009
      2.50   11/12     893,241     0.5100     0.5133     0.5067
      5.00   ROUND     447,652     0.5051     0.5175     0.4927
      5.00    1/12     438,141     0.5052     0.5087     0.5016
      5.00    2/12     435,890     0.5052     0.5132     0.4971
      5.00    3/12     432,242     0.5052     0.5210     0.4895
      5.00    4/12     436,535     0.5052     0.5236     0.4868
      5.00    5/12     445,400     0.5051     0.5197     0.4906
      5.00    6/12     444,602     0.5051     0.5225     0.4878
      5.00    7/12     456,228     0.5050     0.5125     0.4975
      5.00    8/12     453,759     0.5050     0.5245     0.4855
      5.00    9/12     455,519     0.5050     0.5245     0.4856
      5.00   10/12     451,360     0.5050     0.5180     0.4921
      5.00   11/12     446,289     0.5051     0.5167     0.4935
     10.00   ROUND     218,399     0.5026     0.5078     0.4974
