year,bar,S,k,round,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2025-26,H1,25.0,0,True,819,0.8165087926878587,-0.09161163968506054,-75.02993290206459,-984.4760000000001,50.91575091575091,89.69087630301289,417,402,0,20.77015
2025-26,H1,25.0,3,False,805,0.8700519806103059,-0.06202029690996508,-49.926339012521886,-626.5650000000002,53.29192546583851,71.02279291373355,429,375,1,20.8484
2025-26,H1,25.0,6,False,805,0.89450557404837,-0.04913044153083275,-39.55000543232036,-538.632,54.78260869565217,57.957125602008745,441,364,0,16.41925
2025-26,H1,25.0,9,False,806,0.7806363610938929,-0.10752367452429254,-86.66408166657979,-1000.8269999999999,52.23325062034739,101.76775927751437,421,385,0,15.707791666666667
2025-26,D1,25.0,0,True,152,1.0578371490972398,0.022837233052180987,3.47125942393151,-74.76999999999998,61.8421052631579,16.316040223289587,94,58,0,43.86150833333333
2025-26,D1,25.0,3,False,147,0.7259569149970588,-0.12435067639205352,-18.279549429631867,-253.85399999999998,55.78231292517006,20.14008127349929,82,65,0,56.118633333333335
2025-26,D1,25.0,6,False,150,0.9355803127315409,-0.025826235421721626,-3.8739353132582437,-74.03999999999999,61.33333333333333,14.91716529071835,92,58,0,43.353541666666665
2025-26,D1,25.0,9,False,122,1.1946351434729088,0.06453029528879252,7.8726960252326865,118.87000000000003,68.0327868852459,9.702704734731324,83,39,0,52.51134999999999
2025-26,H1,50.0,0,True,273,0.9535126241442085,-0.02260989817140893,-6.1725022007946375,-175.70800000000003,52.01465201465202,25.906159407179565,141,130,2,55.019866666666665
2025-26,H1,50.0,3,False,267,0.7173658045537684,-0.15812004027633675,-42.21805075378191,-810.5889999999999,44.569288389513105,55.07280704377377,119,147,1,42.753883333333334
2025-26,H1,50.0,6,False,232,0.9678723815883359,-0.015844661479434568,-3.67596146322882,-106.53099999999995,51.293103448275865,25.11924810768383,119,113,0,50.768366666666665
2025-26,H1,50.0,9,False,267,1.2178812585310643,0.09100404691778467,24.29808052704851,483.40200000000004,58.42696629213483,11.626048308414353,156,110,1,47.01108333333333
2025-26,D1,50.0,0,True,111,1.1524427268208153,0.06813547793008129,7.563038050239022,-234.03699999999998,55.85585585585585,17.4511107295697,61,48,2,124.20645
2025-26,D1,50.0,3,False,110,0.6908129554241997,-0.13837563470835812,-15.221319817919394,-287.213,57.27272727272727,24.33592031989975,63,47,0,119.458425
2025-26,D1,50.0,6,False,103,1.1057672420664744,0.03729863685130566,3.8417595956844828,68.955,65.0485436893204,5.376338453725568,67,36,0,106.2189
2025-26,D1,50.0,9,False,104,1.1535597616474298,0.06041240883090752,6.282890518414382,125.89400000000009,62.5,9.498830847030838,65,39,0,170.01983333333334
2025-26,H1,100.0,0,True,70,0.8277649619563864,-0.094528991541048,-6.6170294078733605,-202.73,47.14285714285714,10.685914113074446,33,37,0,116.51796666666667
2025-26,H1,100.0,3,False,61,0.8767102435180173,-0.06071801922707323,-3.7037991728514674,-221.80499999999998,50.81967213114754,7.8389427153718385,31,29,1,65.6836
2025-26,H1,100.0,6,False,64,0.9209165782373201,-0.04226698954604216,-2.7050873309466983,-212.151,46.875,8.92901783962857,28,34,2,93.21215000000001
2025-26,H1,100.0,9,False,53,0.5407250383189922,-0.2890327361800946,-15.318735017545015,-523.676,37.735849056603776,15.878919119269018,20,33,0,73.1196
2025-26,D1,100.0,0,True,59,0.9487347147027242,-0.02203776715755842,-1.300228262295947,-213.79399999999995,54.23728813559322,5.927025370142711,29,25,5,471.9608666666667
2025-26,D1,100.0,3,False,68,0.8225578804016154,-0.09128556862344817,-6.207418666394475,-200.57299999999998,50.0,8.35726318496956,34,32,2,513.1841583333334
2025-26,D1,100.0,6,False,54,1.3358741037408597,0.11848488169671495,6.398183611622607,229.90299999999988,62.96296296296296,5.529519934588591,33,18,3,520.9791916666667
2025-26,D1,100.0,9,False,46,1.1119651874315863,0.042466826006687615,1.9534739963076302,103.13099999999997,60.86956521739131,8.785911603176308,28,17,1,253.04243333333335
2025-26,H1,250.0,6,False,5,0.4455034474622507,-0.4464445960917116,-2.232222980458558,-332.68899999999996,20.0,4.02567512862326,1,4,0,97.2584
2025-26,H1,250.0,9,False,6,1.9486735811021982,0.47593681803743065,2.855620908224584,205.991,50.0,2.0061863659242793,3,3,0,316.42406666666665
2025-26,D1,250.0,0,True,10,1.1561573234736826,0.03850826687983154,0.38508266879831543,123.98600000000002,50.0,1.0124714735089126,2,2,6,3899.747083333333
2025-26,D1,250.0,3,False,18,5.077292562957138,0.4837345442272011,8.70722179608962,967.9990000000001,77.77777777777779,1.1236846231795177,11,2,5,1325.301025
2025-26,D1,250.0,6,False,12,1.1818932018649146,0.06321443242456894,0.7585731890948272,-97.60299999999998,58.333333333333336,1.1897503920711463,4,4,4,823.57845
2025-26,D1,250.0,9,False,13,1.657287692126189,0.22688566327261897,2.9495136225440466,93.11099999999996,61.53846153846154,2.025464004963842,6,4,3,631.2819166666667
2024-25,H1,25.0,0,True,179,0.7135917635509539,-0.16337865818635033,-29.24477981535671,-334.706,43.575418994413404,32.21389580727341,78,101,0,75.61721666666666
