year,S,control,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2025-26,25.0,yotov (baseline),7381,0.8108045104108519,-0.1382972573782063,-1020.7720567085407,-9186.775000000001,29.603034819130198,1054.9497541833655,2190,5190,1,7.4808666666666666
2025-26,25.0,entry-at-level,5278,0.8705415238947002,-0.10276937134366734,-542.4167419518762,-5064.135,24.043198181129217,574.4153519114668,1270,4005,3,8.586
2025-26,25.0,zero-cost (mid fills),7430,1.0113831464347367,0.007990733982087751,59.37115348691199,246.83300000000042,32.16689098250337,201.4142410556757,2396,5033,1,8.063675
2025-26,25.0,inverted,7381,1.2333429170161851,0.1382972573782063,1020.7720567085407,,70.3969651808698,,0,0,0,
2025-26,50.0,yotov (baseline),1931,0.8517765524768688,-0.10745677123950415,-207.4990252634825,-3486.255,29.104091144484723,246.6475869726441,561,1367,3,32.711533333333335
2025-26,50.0,entry-at-level,1327,0.8853175313857764,-0.09061962526036972,-120.25224272051062,-1946.6829999999998,23.360964581763376,208.5618869866076,307,1014,6,37.6627
2025-26,50.0,zero-cost (mid fills),1946,0.9867417811407793,-0.009340868385731515,-18.17732987863353,-348.9000000000001,31.038026721479962,139.24981466555744,603,1340,3,35.37298333333334
2025-26,50.0,inverted,1931,1.1740168205993866,0.10745677123950415,207.4990252634825,,70.89590885551527,,0,0,0,
2025-26,100.0,yotov (baseline),528,0.9419911388339305,-0.040499915855624465,-21.383955571769718,-720.5420000000001,31.25,38.72956288034355,152,359,17,143.19818333333333
2025-26,100.0,entry-at-level,377,0.9008767339825202,-0.07643006155744328,-28.814133207156118,-933.9949999999999,24.40318302387268,59.1852078242556,75,282,20,174.40605
2025-26,100.0,zero-cost (mid fills),523,1.010137523881045,0.00695359600678643,3.636730711549303,98.30299999999977,32.122370936902485,31.712187122993573,157,350,16,153.34583333333333
2025-26,100.0,inverted,528,1.061581111302042,0.040499915855624465,21.383955571769718,,68.75,,0,0,0,
2025-26,250.0,yotov (baseline),87,1.0591652882366056,0.034190467982230646,2.9745707144540665,145.40500000000003,37.93103448275862,13.046709991611198,16,47,24,1276.1009166666668
2025-26,250.0,entry-at-level,76,1.27263782997894,0.13092059136237633,9.9499649435406,758.6700000000003,40.78947368421053,10.172028566419375,7,33,36,2084.4326833333334
2025-26,250.0,zero-cost (mid fills),87,1.081530783228795,0.046908844313484216,4.081069455273127,233.20700000000005,37.93103448275862,12.828018206543089,16,47,24,1315.59
2025-26,250.0,inverted,87,0.9441397023734518,-0.034190467982230646,-2.9745707144540665,,62.06896551724138,,0,0,0,
2024-25,25.0,yotov (baseline),1148,0.8591128923312124,-0.10153010616892134,-116.55656188192171,-964.5360000000002,29.268292682926827,139.2227823015034,334,809,5,69.95404166666667
2024-25,25.0,entry-at-level,780,0.900484799191622,-0.07727446980571931,-60.27408644846106,-523.36,23.717948717948715,108.07959156637047,176,592,12,88.6723
2024-25,25.0,zero-cost (mid fills),1166,1.0072895587234654,0.005105476785299621,5.952985931659358,30.958000000000084,31.30360205831904,71.8753842334101,363,798,5,76.71863333333334
2024-25,25.0,inverted,1148,1.1639913786958649,0.10153010616892134,116.55656188192171,,70.73170731707317,,0,0,0,
2024-25,50.0,yotov (baseline),286,1.043904605854718,0.02877920303462989,8.230852067904149,117.45199999999994,33.56643356643357,13.661338722961672,84,181,21,531.0154333333334
2024-25,50.0,entry-at-level,217,1.0263379198864688,0.018209518760906825,3.951465571116781,73.76399999999995,30.414746543778804,22.00689681332278,40,147,30,649.8365166666666
2024-25,50.0,zero-cost (mid fills),291,1.1499542695006326,0.0958581873137104,27.894732508289728,421.44100000000003,34.707903780068726,12.538399673720782,89,180,22,549.5177333333334
2024-25,50.0,inverted,286,0.9579419368316993,-0.02877920303462989,-8.230852067904149,,66.43356643356644,,0,0,0,
2024-25,100.0,yotov (baseline),77,1.0284009092111532,0.015285051064037877,1.1769489319309165,25.945,44.15584415584416,10.57451959876433,11,39,27,1670.9576833333333
2024-25,100.0,entry-at-level,70,1.1048701935420926,0.05282652380287602,3.6978566662013215,150.54600000000005,41.42857142857143,6.4463619944691395,5,33,32,3316.4903249999998
2024-25,100.0,zero-cost (mid fills),78,1.2001275864027063,0.10366552185817177,8.085910704937397,238.046,47.43589743589743,9.60871834339411,13,38,27,1614.7947583333334
2024-25,100.0,inverted,77,0.9723834265831811,-0.015285051064037877,-1.1769489319309165,,55.84415584415584,,0,0,0,
2024-25,250.0,yotov (baseline),10,1.868009808961725,0.22604442545798054,2.2604442545798054,171.63500000000002,60.0,2.05208611306806,0,2,8,3354.655116666667
2024-25,250.0,entry-at-level,24,0.9130609851264045,-0.025701002489017983,-0.6168240597364316,-50.51299999999999,37.5,2.1286696647370413,0,6,18,4000.7081166666667
2024-25,250.0,zero-cost (mid fills),10,1.9778803242054699,0.24487208601006646,2.4487208601006647,184.337,60.0,1.9363571755281659,0,1,9,3355.6258666666663
2024-25,250.0,inverted,10,0.5353290947416486,-0.22604442545798054,-2.2604442545798054,,40.0,,0,0,0,
