year,kind,S,k,round,n,hit
2025-26,daily,12.5,0,True,626,0.19169329073482427
2025-26,daily,12.5,1,False,626,0.15654952076677317
2025-26,daily,12.5,2,False,626,0.16293929712460065
2025-26,daily,12.5,3,False,626,0.1853035143769968
2025-26,daily,12.5,4,False,626,0.2108626198083067
2025-26,daily,12.5,5,False,626,0.2124600638977636
2025-26,daily,12.5,6,False,626,0.22044728434504793
2025-26,daily,12.5,7,False,626,0.20607028753993611
2025-26,daily,12.5,8,False,626,0.2124600638977636
2025-26,daily,12.5,9,False,626,0.2220447284345048
2025-26,daily,12.5,10,False,626,0.2220447284345048
2025-26,daily,12.5,11,False,626,0.1964856230031949
2025-26,daily,25.0,0,True,626,0.19329073482428116
2025-26,daily,25.0,1,False,626,0.18849840255591055
2025-26,daily,25.0,2,False,626,0.21405750798722045
2025-26,daily,25.0,3,False,626,0.2012779552715655
2025-26,daily,25.0,4,False,626,0.1900958466453674
2025-26,daily,25.0,5,False,626,0.17252396166134185
2025-26,daily,25.0,6,False,626,0.15495207667731628
2025-26,daily,25.0,7,False,626,0.15175718849840256
2025-26,daily,25.0,8,False,626,0.17731629392971246
2025-26,daily,25.0,9,False,626,0.2124600638977636
2025-26,daily,25.0,10,False,626,0.2523961661341853
2025-26,daily,25.0,11,False,626,0.2380191693290735
2025-26,daily,50.0,0,True,626,0.2380191693290735
2025-26,daily,50.0,1,False,626,0.22044728434504793
2025-26,daily,50.0,2,False,626,0.19329073482428116
2025-26,daily,50.0,3,False,626,0.16613418530351437
2025-26,daily,50.0,4,False,626,0.1869009584664537
2025-26,daily,50.0,5,False,626,0.22843450479233227
2025-26,daily,50.0,6,False,626,0.1964856230031949
2025-26,daily,50.0,7,False,626,0.18370607028753994
2025-26,daily,50.0,8,False,626,0.19329073482428116
2025-26,daily,50.0,9,False,626,0.17891373801916932
2025-26,daily,50.0,10,False,626,0.1869009584664537
2025-26,daily,50.0,11,False,626,0.2220447284345048
2025-26,daily,100.0,0,True,626,0.21884984025559107
2025-26,daily,100.0,1,False,626,0.19968051118210864
2025-26,daily,100.0,2,False,626,0.2012779552715655
2025-26,daily,100.0,3,False,626,0.20447284345047922
2025-26,daily,100.0,4,False,626,0.1757188498402556
2025-26,daily,100.0,5,False,626,0.1900958466453674
2025-26,daily,100.0,6,False,626,0.21884984025559107
2025-26,daily,100.0,7,False,626,0.1853035143769968
2025-26,daily,100.0,8,False,626,0.1805111821086262
2025-26,daily,100.0,9,False,626,0.20287539936102236
2025-26,daily,100.0,10,False,626,0.1869009584664537
2025-26,daily,100.0,11,False,626,0.21405750798722045
2025-26,daily,250.0,0,True,626,0.20287539936102236
2025-26,daily,250.0,1,False,626,0.21884984025559107
2025-26,daily,250.0,2,False,626,0.22843450479233227
2025-26,daily,250.0,3,False,626,0.20287539936102236
2025-26,daily,250.0,4,False,626,0.2012779552715655
2025-26,daily,250.0,5,False,626,0.21565495207667731
2025-26,daily,250.0,6,False,626,0.2124600638977636
2025-26,daily,250.0,7,False,626,0.1964856230031949
2025-26,daily,250.0,8,False,626,0.18370607028753994
2025-26,daily,250.0,9,False,626,0.17731629392971246
2025-26,daily,250.0,10,False,626,0.19169329073482427
2025-26,daily,250.0,11,False,626,0.1964856230031949
2025-26,weekly,12.5,0,True,108,0.23148148148148148
2025-26,weekly,12.5,1,False,108,0.19444444444444445
2025-26,weekly,12.5,2,False,108,0.18518518518518517
2025-26,weekly,12.5,3,False,108,0.23148148148148148
2025-26,weekly,12.5,4,False,108,0.23148148148148148
2025-26,weekly,12.5,5,False,108,0.17592592592592593
2025-26,weekly,12.5,6,False,108,0.17592592592592593
2025-26,weekly,12.5,7,False,108,0.19444444444444445
2025-26,weekly,12.5,8,False,108,0.2037037037037037
2025-26,weekly,12.5,9,False,108,0.18518518518518517
2025-26,weekly,12.5,10,False,108,0.16666666666666666
2025-26,weekly,12.5,11,False,108,0.19444444444444445
2025-26,weekly,25.0,0,True,108,0.23148148148148148
2025-26,weekly,25.0,1,False,108,0.24074074074074073
2025-26,weekly,25.0,2,False,108,0.19444444444444445
2025-26,weekly,25.0,3,False,108,0.1574074074074074
2025-26,weekly,25.0,4,False,108,0.1388888888888889
2025-26,weekly,25.0,5,False,108,0.12962962962962962
2025-26,weekly,25.0,6,False,108,0.1388888888888889
2025-26,weekly,25.0,7,False,108,0.18518518518518517
2025-26,weekly,25.0,8,False,108,0.17592592592592593
2025-26,weekly,25.0,9,False,108,0.23148148148148148
2025-26,weekly,25.0,10,False,108,0.25
2025-26,weekly,25.0,11,False,108,0.25
2025-26,weekly,50.0,0,True,108,0.3055555555555556
2025-26,weekly,50.0,1,False,108,0.26851851851851855
2025-26,weekly,50.0,2,False,108,0.2037037037037037
2025-26,weekly,50.0,3,False,108,0.18518518518518517
2025-26,weekly,50.0,4,False,108,0.18518518518518517
2025-26,weekly,50.0,5,False,108,0.24074074074074073
2025-26,weekly,50.0,6,False,108,0.18518518518518517
2025-26,weekly,50.0,7,False,108,0.1388888888888889
2025-26,weekly,50.0,8,False,108,0.1111111111111111
2025-26,weekly,50.0,9,False,108,0.14814814814814814
2025-26,weekly,50.0,10,False,108,0.24074074074074073
2025-26,weekly,50.0,11,False,108,0.25925925925925924
2025-26,weekly,100.0,0,True,108,0.24074074074074073
2025-26,weekly,100.0,1,False,108,0.2037037037037037
2025-26,weekly,100.0,2,False,108,0.24074074074074073
