year,S,k,round,config,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2025-26,25.0,0,True,yotov,7381,0.8108045104108519,-0.1382972573782063,-1020.7720567085407,-9186.775000000001,29.603034819130198,1054.9497541833655,2190,5190,1,7.4808666666666666
2025-26,25.0,0,True,no-filter,137500,0.06546185953823852,-1.5962833239818235,-219488.95704750073,-125510.122,0.33745454545454545,219488.9570475476,472,137028,0,0.006733333333333333
2025-26,25.0,0,True,tol-target,7843,0.7975359330378248,-0.14096995487593356,-1105.627356091947,-9975.757,32.78082366441413,1133.2138250316566,2583,5259,1,6.3003833333333334
2025-26,25.0,0,True,wide-stop,5597,0.8323835794185777,-0.11093015075203654,-620.8760537591485,-7218.467000000001,36.03716276576738,653.4828211138115,2022,3573,2,10.831
2025-26,25.0,0,True,long-clock,7381,0.8108045104108519,-0.1382972573782063,-1020.7720567085407,-9186.775000000001,29.603034819130198,1054.9497541833655,2190,5190,1,7.4808666666666666
2025-26,25.0,1,False,yotov,7432,0.8320983111496564,-0.12183740004637626,-905.4955571446684,-8313.665,30.08611410118407,966.7674569952502,2245,5185,2,7.423541666666667
2025-26,25.0,2,False,yotov,7434,0.81063280591034,-0.1383620330438988,-1028.5833536483437,-9363.528999999999,29.566854990583803,1057.0682031173933,2207,5224,3,7.287916666666667
2025-26,25.0,3,False,yotov,7558,0.7912204574103561,-0.15313073966766186,-1157.3621304081882,-10212.515,29.108229690394282,1179.2578789786699,2209,5348,1,7.2226
2025-26,25.0,4,False,yotov,7641,0.799791887862093,-0.14654487990640772,-1119.7494273648613,-9834.582,29.315534615887973,1129.4538444737098,2247,5392,2,7.354133333333333
2025-26,25.0,5,False,yotov,7725,0.7840190886322745,-0.15904130498797156,-1228.5940810320803,-10789.416000000001,29.02265372168285,1239.9333814102356,2249,5475,1,7.065966666666666
2025-26,25.0,6,False,yotov,7760,0.7866944975048454,-0.1569200062854855,-1217.6992487753676,-10683.183,29.07216494845361,1220.7730539636707,2261,5497,2,7.221641666666667
2025-26,25.0,7,False,yotov,7702,0.7841092876696241,-0.15904217118594882,-1224.9428024741778,-10954.723999999998,28.901584004154763,1227.3830571087458,2230,5470,2,7.5118
2025-26,25.0,8,False,yotov,7660,0.784431523171413,-0.15920788302137373,-1219.5323839437228,-10908.826000000001,28.864229765013054,1227.3647545216447,2216,5442,2,7.042416666666666
