
################################################################################################################
2025-26: 91,629,949 ticks  (load 10s)
################################################################################################################

  S = $25.00   [1R = the realised entry-to-stop distance]
  config        phase      n      PF    exp R     net R      net $     WR    DD R         TP/SL/T   hold
  yotov         ROUND   7381   0.811  -0.1383   -1020.8    -9186.8  29.6%  1054.9     2190/5190/1      7m
  no-filter     ROUND 137500   0.065  -1.5963 -219489.0  -125510.1   0.3%219489.0    472/137028/0      0m
  tol-target    ROUND   7843   0.798  -0.1410   -1105.6    -9975.8  32.8%  1133.2     2583/5259/1      6m
  wide-stop     ROUND   5597   0.832  -0.1109    -620.9    -7218.5  36.0%   653.5     2022/3573/2     11m
  long-clock    ROUND   7381   0.811  -0.1383   -1020.8    -9186.8  29.6%  1054.9     2190/5190/1      7m
  yotov          1/12   7432   0.832  -0.1218    -905.5    -8313.7  30.1%   966.8     2245/5185/2      7m
  yotov          2/12   7434   0.811  -0.1384   -1028.6    -9363.5  29.6%  1057.1     2207/5224/3      7m
  yotov          3/12   7558   0.791  -0.1531   -1157.4   -10212.5  29.1%  1179.3     2209/5348/1      7m
  yotov          4/12   7641   0.800  -0.1465   -1119.7    -9834.6  29.3%  1129.5     2247/5392/2      7m
  yotov          5/12   7725   0.784  -0.1590   -1228.6   -10789.4  29.0%  1239.9     2249/5475/1      7m
  yotov          6/12   7760   0.787  -0.1569   -1217.7   -10683.2  29.1%  1220.8     2261/5497/2      7m
  yotov          7/12   7702   0.784  -0.1590   -1224.9   -10954.7  28.9%  1227.4     2230/5470/2      8m
  yotov          8/12   7660   0.784  -0.1592   -1219.5   -10908.8  28.9%  1227.4     2216/5442/2      7m
  yotov          9/12   7618   0.783  -0.1601   -1219.8   -10897.1  28.9%  1226.3     2209/5407/2      8m
  yotov         10/12   7496   0.804  -0.1432   -1073.2    -9655.3  29.4%  1080.0     2215/5280/1      8m
  yotov         11/12   7429   0.804  -0.1440   -1069.8    -9530.6  29.5%  1102.3     2195/5233/1      7m

  S = $50.00   [1R = the realised entry-to-stop distance]
  config        phase      n      PF    exp R     net R      net $     WR    DD R         TP/SL/T   hold
  yotov         ROUND   1931   0.852  -0.1075    -207.5    -3486.3  29.1%   246.6      561/1367/3     33m
  no-filter     ROUND  27278   0.126  -1.3949  -38048.9   -33966.3   0.4% 38048.9     111/27167/0      0m
  tol-target    ROUND   2028   0.863  -0.0937    -190.0    -3180.0  32.8%   224.2      666/1360/2     27m
  wide-stop     ROUND   1413   0.867  -0.0881    -124.5    -2760.0  35.5%   158.9       501/909/3     49m
  long-clock    ROUND   1931   0.852  -0.1074    -207.4    -3484.7  29.1%   248.3      562/1368/1     33m
  yotov          1/12   1971   0.848  -0.1105    -217.8    -3528.2  29.2%   250.9      573/1394/4     32m
  yotov          2/12   2032   0.887  -0.0808    -164.2    -2643.9  30.1%   197.9      610/1418/4     29m
  yotov          3/12   2028   0.875  -0.0895    -181.5    -2957.7  29.8%   225.2      605/1420/3     32m
  yotov          4/12   2004   0.903  -0.0690    -138.2    -2334.4  30.3%   182.9      608/1393/3     29m
  yotov          5/12   2019   0.914  -0.0617    -124.6    -2236.8  30.6%   178.0      617/1399/3     29m
  yotov          6/12   2081   0.920  -0.0573    -119.3    -2099.4  30.8%   182.2      639/1440/2     29m
  yotov          7/12   2060   0.896  -0.0745    -153.5    -2631.8  30.2%   208.3      622/1435/3     31m
  yotov          8/12   1995   0.945  -0.0389     -77.6    -1391.6  31.3%   141.9      624/1368/3     29m
  yotov          9/12   1972   0.953  -0.0328     -64.6    -1153.5  31.5%   103.8      622/1348/2     29m
  yotov         10/12   2019   0.885  -0.0825    -166.6    -2916.1  29.8%   183.3      604/1412/3     31m
  yotov         11/12   2007   0.843  -0.1151    -230.9    -3933.6  28.7%   258.7      577/1428/2     32m

  S = $100.00   [1R = the realised entry-to-stop distance]
  config        phase      n      PF    exp R     net R      net $     WR    DD R         TP/SL/T   hold
  yotov         ROUND    528   0.942  -0.0405     -21.4     -720.5  31.2%    38.7      152/359/17    143m
  no-filter     ROUND   3363   0.191  -1.2497   -4202.6    -6929.1   0.6%  4211.8       20/3342/1      0m
  tol-target    ROUND    542   0.952  -0.0320     -17.4     -566.2  34.5%    36.0      180/350/12    124m
  wide-stop     ROUND    386   0.936  -0.0404     -15.6     -650.3  37.3%    37.4      132/235/19    233m
  long-clock    ROUND    527   0.969  -0.0219     -11.6     -381.5  30.9%    34.0       163/363/1    143m
  yotov          1/12    533   1.000  +0.0002      +0.1       -2.7  32.5%    41.3      161/355/17    127m
  yotov          2/12    529   1.026  +0.0176      +9.3     +228.0  33.3%    35.3      162/350/17    124m
  yotov          3/12    531   1.096  +0.0637     +33.8     +890.4  34.8%    38.8      168/342/21    144m
  yotov          4/12    549   0.990  -0.0069      -3.8     -214.3  32.8%    50.2      161/365/23    134m
  yotov          5/12    533   0.972  -0.0195     -10.4     -350.7  32.5%    48.1      156/356/21    142m
  yotov          6/12    522   0.997  -0.0023      -1.2      -89.0  32.8%    38.1      152/346/24    122m
  yotov          7/12    533   1.009  +0.0058      +3.1      -47.5  32.8%    44.3      159/352/22    138m
  yotov          8/12    531   0.902  -0.0684     -36.3    -1180.7  30.9%    52.0      148/362/21    127m
  yotov          9/12    534   0.935  -0.0451     -24.1     -787.7  30.7%    37.7      155/367/12    148m
