year,S,k,round,filt,n,pf,exp,net_R,net_usd,wr
2025-26,50.0,0,True,none,1931,0.8517765524768688,-0.10745677123950415,-207.4990252634825,-3486.255,29.104091144484723
2025-26,50.0,0,True,1d trend,1131,0.8846107200757952,-0.08292417542817404,-93.78724240926483,-1626.752,29.708222811671085
2025-26,50.0,0,True,3d trend,1071,0.8525327969596551,-0.10712556674935159,-114.73148198855554,-2003.4320000000002,29.038281979458453
2025-26,50.0,0,True,10d trend,1011,0.86761408850473,-0.0954927468473334,-96.54316706265406,-1734.861,29.475766567754697
2025-26,50.0,3,False,none,2028,0.8754650706016788,-0.08951424275922351,-181.53488431570528,-2957.7340000000004,29.78303747534517
2025-26,50.0,3,False,1d trend,1160,0.9180086128123134,-0.058109842798447074,-67.40741764619861,-1126.7669999999998,30.862068965517242
2025-26,50.0,3,False,3d trend,1107,0.8733812933523533,-0.09083784185903009,-100.55749093794631,-1685.6590000000003,29.71996386630533
2025-26,50.0,3,False,10d trend,1069,0.8534689991319245,-0.10655276622290157,-113.90490709228177,-1916.2790000000002,29.373246024321798
2025-26,50.0,6,False,none,2081,0.9195827835511095,-0.057342781633792916,-119.33032857992306,-2099.435,30.754444978375783
2025-26,50.0,6,False,1d trend,1185,0.9460780221760919,-0.038146064089949555,-45.20308594659022,-885.2620000000001,31.139240506329113
2025-26,50.0,6,False,3d trend,1133,0.9123950095604865,-0.0626239061250636,-70.95288563969707,-1278.8120000000001,30.36187113857017
2025-26,50.0,6,False,10d trend,1073,0.9284846726506668,-0.0511537257648258,-54.88794774565808,-1029.923,30.848089468779122
2025-26,50.0,9,False,none,1972,0.9533266074324253,-0.032780604967191436,-64.64335299530151,-1153.5210000000002,31.49087221095335
2025-26,50.0,9,False,1d trend,1123,0.982806225729328,-0.01197948321569379,-13.452959651224127,-295.62200000000024,32.1460373998219
2025-26,50.0,9,False,3d trend,1075,0.9762778082017312,-0.016513003483931966,-17.751478745226862,-355.0860000000001,32.0
2025-26,50.0,9,False,10d trend,1016,1.0207983854269227,0.014278678785841152,14.507137646414611,174.272,32.97244094488189
2025-26,100.0,0,True,none,528,0.9419911388339305,-0.040499915855624465,-21.383955571769718,-720.5420000000001,31.25
2025-26,100.0,0,True,1d trend,352,0.9051628172741246,-0.0669651745602006,-23.57174144519061,-741.645,30.39772727272727
2025-26,100.0,0,True,3d trend,344,0.8538691814927915,-0.10563002994969396,-36.336730302694725,-1176.0220000000002,29.360465116279073
2025-26,100.0,0,True,10d trend,286,0.873297038402921,-0.09051466797539501,-25.887195040962972,-874.2640000000001,30.069930069930066
2025-26,100.0,3,False,none,531,1.0961736671005153,0.0636761741438946,33.81204847040804,890.3700000000002,34.83992467043315
2025-26,100.0,3,False,1d trend,323,1.1825510767255614,0.11878750375522967,38.368363712939185,1107.913,36.22291021671827
2025-26,100.0,3,False,3d trend,315,1.0463952015481133,0.03106665680355709,9.785996893120483,196.6750000000001,34.285714285714285
2025-26,100.0,3,False,10d trend,300,1.0421667454218126,0.02850782630076568,8.552347890229704,141.61800000000017,33.666666666666664
2025-26,100.0,6,False,none,522,0.9966079775662248,-0.00229667142021222,-1.1988624813507789,-88.98499999999981,32.758620689655174
2025-26,100.0,6,False,1d trend,326,1.1018163223233306,0.06683329316766465,21.787653572658677,662.1080000000001,34.96932515337423
2025-26,100.0,6,False,3d trend,283,1.1515607380331,0.09732750741194218,27.543684597579638,803.034,35.68904593639576
2025-26,100.0,6,False,10d trend,281,1.0267811525373045,0.017966961651664375,5.0487162241176895,90.25100000000006,33.096085409252666
2025-26,100.0,9,False,none,534,0.9352633002886127,-0.045133576232256535,-24.10132970802499,-787.6920000000001,30.711610486891384
2025-26,100.0,9,False,1d trend,335,1.0124769963022964,0.008492988509482281,2.845151150676564,22.09400000000005,32.537313432835816
2025-26,100.0,9,False,3d trend,307,1.0623180899533375,0.041456635270833,12.727187028145732,402.00499999999994,33.55048859934853
2025-26,100.0,9,False,10d trend,283,0.9422156462696554,-0.03984451974228963,-11.275999087067964,-332.2549999999998,31.09540636042403
2024-25,50.0,0,True,none,286,1.043904605854718,0.02877920303462989,8.230852067904149,117.45199999999994,33.56643356643357
2024-25,50.0,0,True,1d trend,209,1.0242252764924316,0.015874297236723043,3.317728122475116,31.27700000000003,33.014354066985646
2024-25,50.0,0,True,3d trend,185,1.063186608948026,0.04080469065135553,7.548867770500773,111.43700000000001,34.054054054054056
2024-25,50.0,0,True,10d trend,162,1.0267523517932453,0.01731031763681387,2.804271457163847,32.55999999999996,33.33333333333333
2024-25,50.0,3,False,none,309,1.0324323838167973,0.02146599933957089,6.632993795927405,77.19000000000003,33.980582524271846
2024-25,50.0,3,False,1d trend,231,1.0708874092502059,0.04617268861231735,10.665891069445308,150.734,34.1991341991342
2024-25,50.0,3,False,3d trend,207,1.0345344976215076,0.02276815625470161,4.713008344723233,54.262000000000086,33.81642512077295
2024-25,50.0,3,False,10d trend,175,1.02846776649252,0.018792162861083674,3.288628500689643,33.304000000000016,34.285714285714285
2024-25,50.0,6,False,none,315,1.0180648477539138,0.011865997029657004,3.737789064341956,32.49300000000006,33.96825396825397
2024-25,50.0,6,False,1d trend,215,1.0398658497812239,0.025630930069820694,5.510649965011449,69.97799999999995,34.418604651162795
2024-25,50.0,6,False,3d trend,202,1.0463454226492528,0.030455491451811225,6.152009273265867,71.26800000000003,33.16831683168317
2024-25,50.0,6,False,10d trend,183,0.9653020591813677,-0.023431058645311507,-4.287883732092006,-92.59200000000003,32.78688524590164
2024-25,50.0,9,False,none,304,1.096310376662449,0.061336869205780874,18.646408238557385,280.073,35.526315789473685
2024-25,50.0,9,False,1d trend,207,1.0568527648401007,0.036216110746281706,7.496734924480314,95.305,34.78260869565217
2024-25,50.0,9,False,3d trend,192,1.1797498571278464,0.1108076459908643,21.275068030245947,318.82900000000006,36.97916666666667
2024-25,50.0,9,False,10d trend,162,1.0222674874446733,0.014619430098228133,2.3683476759129576,40.45699999999998,33.95061728395062
2024-25,100.0,0,True,none,77,1.0284009092111532,0.015285051064037877,1.1769489319309165,25.945,44.15584415584416
2024-25,100.0,0,True,1d trend,66,1.1696227580111174,0.08343404717169396,5.506647113331802,157.96599999999998,46.96969696969697
2024-25,100.0,0,True,3d trend,55,1.2353853438028601,0.110275731427769,6.065165228527295,179.63500000000005,49.09090909090909
2024-25,100.0,0,True,10d trend,46,0.9294425233349054,-0.03780916140376645,-1.7392214245732567,-55.735999999999976,45.65217391304348
2024-25,100.0,3,False,none,89,0.9698246599643557,-0.01664563966344871,-1.4814619300469352,-36.16499999999994,37.07865168539326
2024-25,100.0,3,False,1d trend,80,0.931920618068221,-0.037200965031012945,-2.9760772024810356,-79.50699999999996,37.5
2024-25,100.0,3,False,3d trend,69,1.0032554792121697,0.0017373449214508308,0.11987679958010733,17.351000000000028,37.68115942028986
2024-25,100.0,3,False,10d trend,53,0.6817947202303715,-0.18159903637651803,-9.624748927955455,-305.109,33.9622641509434
2024-25,100.0,6,False,none,73,1.5591199367412973,0.2515790865159554,18.365273315664744,544.117,46.57534246575342
2024-25,100.0,6,False,1d trend,59,1.4334902856007357,0.2024355389213771,11.94369679636125,363.94399999999996,44.06779661016949
2024-25,100.0,6,False,3d trend,60,1.3835360426796202,0.18584092219839896,11.150455331903938,325.71600000000007,45.0
2024-25,100.0,6,False,10d trend,48,1.2912640163431504,0.1377021641082641,6.609703877196677,188.26300000000003,45.83333333333333
2024-25,100.0,9,False,none,69,1.2693701561813016,0.1316383918153528,9.083049035259343,277.67999999999995,46.3768115942029
2024-25,100.0,9,False,1d trend,55,1.6106444656498908,0.26061056227706836,14.33358092523876,438.155,52.72727272727272
2024-25,100.0,9,False,3d trend,46,1.3156613679688653,0.14391552243279115,6.620114031908393,207.705,47.82608695652174
2024-25,100.0,9,False,10d trend,38,1.2026780136404702,0.10640537052812478,4.043404080068742,130.89999999999998,44.73684210526316
