
====================================================================================================
2025-26
====================================================================================================

  S = $50
  filter          phase     n      PF    exp R    net R     net $     WR
  none            ROUND  1931   0.852  -0.1075   -207.5     -3486  29.1%
  1d trend        ROUND  1131   0.885  -0.0829    -93.8     -1627  29.7%
  3d trend        ROUND  1071   0.853  -0.1071   -114.7     -2003  29.0%
  10d trend       ROUND  1011   0.868  -0.0955    -96.5     -1735  29.5%
  none             3/12  2028   0.875  -0.0895   -181.5     -2958  29.8%
  1d trend         3/12  1160   0.918  -0.0581    -67.4     -1127  30.9%
  3d trend         3/12  1107   0.873  -0.0908   -100.6     -1686  29.7%
  10d trend        3/12  1069   0.853  -0.1066   -113.9     -1916  29.4%
  none             6/12  2081   0.920  -0.0573   -119.3     -2099  30.8%
  1d trend         6/12  1185   0.946  -0.0381    -45.2      -885  31.1%
  3d trend         6/12  1133   0.912  -0.0626    -71.0     -1279  30.4%
  10d trend        6/12  1073   0.928  -0.0512    -54.9     -1030  30.8%
  none             9/12  1972   0.953  -0.0328    -64.6     -1154  31.5%
  1d trend         9/12  1123   0.983  -0.0120    -13.5      -296  32.1%
  3d trend         9/12  1075   0.976  -0.0165    -17.8      -355  32.0%
  10d trend        9/12  1016   1.021  +0.0143    +14.5      +174  33.0%

  S = $100
  filter          phase     n      PF    exp R    net R     net $     WR
  none            ROUND   528   0.942  -0.0405    -21.4      -721  31.2%
  1d trend        ROUND   352   0.905  -0.0670    -23.6      -742  30.4%
  3d trend        ROUND   344   0.854  -0.1056    -36.3     -1176  29.4%
  10d trend       ROUND   286   0.873  -0.0905    -25.9      -874  30.1%
  none             3/12   531   1.096  +0.0637    +33.8      +890  34.8%
  1d trend         3/12   323   1.183  +0.1188    +38.4     +1108  36.2%
  3d trend         3/12   315   1.046  +0.0311     +9.8      +197  34.3%
  10d trend        3/12   300   1.042  +0.0285     +8.6      +142  33.7%
  none             6/12   522   0.997  -0.0023     -1.2       -89  32.8%
  1d trend         6/12   326   1.102  +0.0668    +21.8      +662  35.0%
  3d trend         6/12   283   1.152  +0.0973    +27.5      +803  35.7%
  10d trend        6/12   281   1.027  +0.0180     +5.0       +90  33.1%
  none             9/12   534   0.935  -0.0451    -24.1      -788  30.7%
  1d trend         9/12   335   1.012  +0.0085     +2.8       +22  32.5%
  3d trend         9/12   307   1.062  +0.0415    +12.7      +402  33.6%
  10d trend        9/12   283   0.942  -0.0398    -11.3      -332  31.1%

====================================================================================================
2024-25
====================================================================================================

  S = $50
  filter          phase     n      PF    exp R    net R     net $     WR
  none            ROUND   286   1.044  +0.0288     +8.2      +117  33.6%
  1d trend        ROUND   209   1.024  +0.0159     +3.3       +31  33.0%
  3d trend        ROUND   185   1.063  +0.0408     +7.5      +111  34.1%
  10d trend       ROUND   162   1.027  +0.0173     +2.8       +33  33.3%
  none             3/12   309   1.032  +0.0215     +6.6       +77  34.0%
  1d trend         3/12   231   1.071  +0.0462    +10.7      +151  34.2%
  3d trend         3/12   207   1.035  +0.0228     +4.7       +54  33.8%
  10d trend        3/12   175   1.028  +0.0188     +3.3       +33  34.3%
  none             6/12   315   1.018  +0.0119     +3.7       +32  34.0%
  1d trend         6/12   215   1.040  +0.0256     +5.5       +70  34.4%
  3d trend         6/12   202   1.046  +0.0305     +6.2       +71  33.2%
  10d trend        6/12   183   0.965  -0.0234     -4.3       -93  32.8%
  none             9/12   304   1.096  +0.0613    +18.6      +280  35.5%
  1d trend         9/12   207   1.057  +0.0362     +7.5       +95  34.8%
  3d trend         9/12   192   1.180  +0.1108    +21.3      +319  37.0%
  10d trend        9/12   162   1.022  +0.0146     +2.4       +40  34.0%

  S = $100
  filter          phase     n      PF    exp R    net R     net $     WR
  none            ROUND    77   1.028  +0.0153     +1.2       +26  44.2%
  1d trend        ROUND    66   1.170  +0.0834     +5.5      +158  47.0%
  3d trend        ROUND    55   1.235  +0.1103     +6.1      +180  49.1%
  10d trend       ROUND    46   0.929  -0.0378     -1.7       -56  45.7%
  none             3/12    89   0.970  -0.0166     -1.5       -36  37.1%
  1d trend         3/12    80   0.932  -0.0372     -3.0       -80  37.5%
  3d trend         3/12    69   1.003  +0.0017     +0.1       +17  37.7%
  10d trend        3/12    53   0.682  -0.1816     -9.6      -305  34.0%
  none             6/12    73   1.559  +0.2516    +18.4      +544  46.6%
  1d trend         6/12    59   1.433  +0.2024    +11.9      +364  44.1%
  3d trend         6/12    60   1.384  +0.1858    +11.2      +326  45.0%
  10d trend        6/12    48   1.291  +0.1377     +6.6      +188  45.8%
  none             9/12    69   1.269  +0.1316     +9.1      +278  46.4%
  1d trend         9/12    55   1.611  +0.2606    +14.3      +438  52.7%
  3d trend         9/12    46   1.316  +0.1439     +6.6      +208  47.8%
  10d trend        9/12    38   1.203  +0.1064     +4.0      +131  44.7%

written -> research/quarters/results/trendfilter.csv
