arm,risk,n,pf,net,dd,net_dd,wr
baseline champion,0.7221971869468689,789,1.5890758996514098,678.5352329561255,24.890266366972753,27.261067557576784,21.673003802281368
item 1: volume spike on the break,0.5986088395118712,647,1.5206738553006691,271.3470787622159,24.955434696637383,10.873265966341934,22.720247295208658
item 1: NO volume spike (control),0.6278919100761413,610,1.5902485115044478,335.2992304318715,24.991365217164923,13.416603195473952,21.803278688524593
item 6: squeeze only (bw < 40th pct),0.9558463454246522,458,1.8630159969384072,1163.9040116295728,25.01378697367429,46.530499874110276,24.23580786026201
item 6: no squeeze (control),0.6001587510108948,524,1.3968723056373498,111.99258692342218,24.95226055585951,4.488274185527575,20.99236641221374
item 5: TP at pivots 33/33%,0.7107210040092469,799,1.5720886536603373,553.9218560486561,24.99094488861735,22.16490246837171,23.654568210262827
item 5: TP at pivots 50/25%,0.6802014231681823,792,1.5431361521756048,440.0334405695358,24.763678585076136,17.769308346407087,21.96969696969697
item 5: TP at pivots 25/25%,0.7355537772178651,796,1.5614600454685317,607.9430745446656,25.016988247283955,24.30120958347849,22.613065326633166
item 5: TP at pivots 33/33% + BE,0.585702407360077,967,1.3889530586354226,176.76388011960074,25.025880239573507,7.063243267666703,28.645294725956568
item 3b: stop at broken level (~0.86 ATR),0.0799355149269104,1234,1.345910703680564,67.84688236203372,24.99561871489691,2.7143509883033334,10.048622366288493
