i,entry_bar,time,dir,entry,atr,hour,dow,mfe_3,mae_3,mfe_atr_3,mae_atr_3,bars_mfe_3,bars_mae_3,maxfclose_3,maxaclose_3,ret_3,mfe_5,mae_5,mfe_atr_5,mae_atr_5,bars_mfe_5,bars_mae_5,maxfclose_5,maxaclose_5,ret_5,mfe_10,mae_10,mfe_atr_10,mae_atr_10,bars_mfe_10,bars_mae_10,maxfclose_10,maxaclose_10,ret_10,mfe_15,mae_15,mfe_atr_15,mae_atr_15,bars_mfe_15,bars_mae_15,maxfclose_15,maxaclose_15,ret_15,mfe_20,mae_20,mfe_atr_20,mae_atr_20,bars_mfe_20,bars_mae_20,maxfclose_20,maxaclose_20,ret_20,mfe_30,mae_30,mfe_atr_30,mae_atr_30,bars_mfe_30,bars_mae_30,maxfclose_30,maxaclose_30,ret_30,mfe_50,mae_50,mfe_atr_50,mae_atr_50,bars_mfe_50,bars_mae_50,maxfclose_50,maxaclose_50,ret_50
633,634,2019-12-19 17:00:00,1,1478.832,1.4181355267553635,17,3,2.9299999999998363,0.7260000000001128,2.0660930811764917,0.5119397873496416,2,0,1.7489999999997963,-0.04399999999986903,1.7489999999997963,2.9299999999998363,0.7260000000001128,2.0660930811764917,0.5119397873496416,2,0,2.2739999999998872,-0.04399999999986903,1.2169999999998709,2.9299999999998363,0.7260000000001128,2.0660930811764917,0.5119397873496416,2,0,2.2739999999998872,-0.04399999999986903,0.0749999999998181,2.9299999999998363,0.7260000000001128,2.0660930811764917,0.5119397873496416,2,0,2.2739999999998872,0.5750000000000455,-0.5750000000000455,2.9299999999998363,0.8360000000000127,2.0660930811764917,0.5895064217964744,2,18,2.2739999999998872,0.6700000000000728,-0.13200000000006185,2.9299999999998363,1.9580000000000837,2.0660930811764917,1.3806860931549385,2,29,2.2739999999998872,1.0610000000001492,-1.0140000000001237,2.9299999999998363,2.9140000000002146,2.0660930811764917,2.0548106616208455,2,45,2.2739999999998872,1.818000000000211,-1.2390000000000327
635,636,2019-12-19 18:00:00,1,1479.876,1.4130760409268046,18,3,1.8859999999999673,0.2159999999998945,1.3346769355476316,0.1528580159481191,0,0,1.2300000000000182,-0.17300000000000182,0.17300000000000182,1.8859999999999673,1.08199999999988,1.3346769355476316,0.7657054317404042,0,4,1.2300000000000182,0.7829999999999018,-0.7829999999999018,1.8859999999999673,1.5209999999999582,1.3346769355476316,1.0763751956351681,0,9,1.2300000000000182,1.3540000000000418,-1.3540000000000418,1.8859999999999673,1.7519999999999527,1.3346769355476316,1.2398483515797605,0,12,1.2300000000000182,1.6189999999999145,-1.009999999999991,1.8859999999999673,1.8799999999998818,1.3346769355476316,1.33043087954901,0,16,1.2300000000000182,1.7139999999999418,-0.7680000000000291,1.8859999999999673,3.0019999999999527,1.3346769355476316,2.1244433512799556,0,27,1.2300000000000182,2.105000000000018,-1.5570000000000164,1.8859999999999673,3.9580000000000837,1.3346769355476316,2.800981607050758,0,43,1.2300000000000182,2.86200000000008,-1.7839999999998781
636,637,2019-12-19 18:30:00,1,1480.622,1.4622848951463085,18,3,0.7200000000000273,1.0050000000001091,0.49238011169361623,0.687280572572388,1,2,0.4839999999999236,0.7550000000001091,-0.7550000000001091,0.7200000000000273,1.8279999999999745,0.49238011169361623,1.2500983946887274,1,3,0.4839999999999236,1.5289999999999964,-1.2110000000000127,0.7200000000000273,2.2670000000000528,0.49238011169361623,1.5503134905686273,1,8,0.4839999999999236,2.1000000000001364,-1.5240000000001146,0.7200000000000273,2.5860000000000127,0.49238011169361623,1.7684652344995133,1,14,0.4839999999999236,2.4600000000000364,-2.4600000000000364,0.7200000000000273,2.6259999999999764,0.49238011169361623,1.7958196851491328,1,15,0.4839999999999236,2.4600000000000364,-1.3659999999999854,0.7200000000000273,3.7480000000000473,0.49238011169361623,2.563112025871704,1,26,0.4839999999999236,3.186000000000149,-3.186000000000149,0.7200000000000273,4.704000000000178,0.49238011169361623,3.2168833963982926,1,42,0.4839999999999236,3.6080000000001746,-2.4860000000001037
698,699,2019-12-23 03:30:00,1,1481.184,0.9079465321709064,3,0,0.45600000000013097,0.38599999999996726,0.5022322172538418,0.4251351663594536,1,2,0.375,0.30399999999985994,-0.30399999999985994,0.5640000000000782,0.6520000000000437,0.6211819529191333,0.718103959757528,4,3,0.375,0.30399999999985994,0.06200000000012551,3.9670000000000982,0.6520000000000437,4.369200012819008,0.718103959757528,7,3,3.533000000000129,0.30399999999985994,3.533000000000129,4.111000000000104,0.6520000000000437,4.527799660372813,0.718103959757528,13,3,3.8890000000001237,0.30399999999985994,3.344000000000051,4.111000000000104,0.6520000000000437,4.527799660372813,0.718103959757528,13,3,3.8890000000001237,0.30399999999985994,0.8289999999999509,4.842000000000098,0.6520000000000437,5.3329131489966075,0.718103959757528,29,3,3.8890000000001237,0.30399999999985994,3.7409999999999854,8.476000000000113,0.6520000000000437,9.335351476847363,0.718103959757528,44,3,8.476000000000113,0.30399999999985994,8.365000000000009
700,701,2019-12-23 04:30:00,1,1481.518,0.8768977751881858,4,0,0.2300000000000182,0.9860000000001037,0.26228826951996687,1.124418407594322,2,1,-0.2719999999999345,0.63799999999992,-0.2719999999999345,2.382000000000062,0.9860000000001037,2.716394165202295,1.124418407594322,4,1,1.990000000000009,0.63799999999992,1.990000000000009,3.6769999999999072,0.9860000000001037,4.1931911609774675,1.124418407594322,8,1,3.199000000000069,0.63799999999992,2.4600000000000364,3.7770000000000437,0.9860000000001037,4.307229539029774,1.124418407594322,11,1,3.5550000000000637,0.63799999999992,2.038000000000011,3.7770000000000437,0.9860000000001037,4.307229539029774,1.124418407594322,11,1,3.5550000000000637,0.63799999999992,0.6720000000000255,4.508000000000038,0.9860000000001037,5.140850082590988,1.124418407594322,27,1,3.5550000000000637,0.63799999999992,3.5429999999998927,9.851999999999862,0.9860000000001037,11.235061005697709,1.124418407594322,49,1,9.375999999999976,0.63799999999992,9.375999999999976
705,706,2019-12-23 07:00:00,1,1483.551,0.9328973337801283,7,0,1.6000000000001364,1.1699999999998454,1.7150869040614447,1.2541572985946587,0,2,1.1660000000001673,-0.09699999999997999,1.1660000000001673,1.6440000000000055,1.1699999999998454,1.76225179392299,1.2541572985946587,3,2,1.1660000000001673,-0.09699999999997999,0.4270000000001346,1.7440000000001419,1.1699999999998454,1.8694447254269675,1.2541572985946587,6,2,1.522000000000162,-0.005000000000109139,0.005000000000109139,1.7440000000001419,2.981999999999971,1.8694447254269675,3.1964932174442136,6,12,1.522000000000162,1.538000000000011,-1.3609999999998763,1.7440000000001419,2.981999999999971,1.8694447254269675,3.1964932174442136,6,12,1.522000000000162,1.538000000000011,-0.4839999999999236,2.6660000000001673,2.981999999999971,2.857763553892318,3.1964932174442136,26,12,2.282000000000153,1.538000000000011,1.97400000000016,8.394999999999982,2.981999999999971,8.998846599746607,3.1964932174442136,48,12,7.537000000000035,1.538000000000011,7.537000000000035
706,707,2019-12-23 07:30:00,1,1484.532,0.9836189527958356,7,0,0.6630000000000109,2.15099999999984,0.6740415057228225,2.1868224416435287,2,1,0.1850000000001728,0.8840000000000146,-0.3569999999999709,0.7160000000001219,2.15099999999984,0.7279241600265689,2.1868224416435287,4,1,0.5410000000001673,0.8840000000000146,0.5410000000001673,0.7630000000001473,2.15099999999984,0.775706891201515,2.1868224416435287,5,1,0.5410000000001673,1.7200000000000273,-1.7200000000000273,0.7630000000001473,3.9629999999999654,0.775706891201515,4.028999226515051,5,11,0.5410000000001673,2.5190000000000055,-1.5139999999998963,0.7630000000001473,3.9629999999999654,0.775706891201515,4.028999226515051,5,11,0.5410000000001673,2.5190000000000055,-0.15599999999994907,1.6850000000001728,3.9629999999999654,1.7130617453138066,4.028999226515051,25,11,1.3010000000001583,2.5190000000000055,1.2160000000001219,8.506000000000085,3.9629999999999654,8.64765768880587,4.028999226515051,49,11,7.214000000000169,2.5190000000000055,7.214000000000169
741,742,2019-12-24 02:00:00,1,1487.552,1.0507549622103425,2,1,2.1080000000001746,0.2179999999998472,2.00617658332618,0.2074698743665866,1,0,2.1080000000001746,-1.372000000000071,1.469000000000051,2.1080000000001746,0.2179999999998472,2.00617658332618,0.2074698743665866,1,0,2.1080000000001746,-1.0930000000000746,1.0930000000000746,3.8179999999999836,0.2179999999998472,3.6335778914320156,0.2074698743665866,8,0,3.3420000000000982,-1.0930000000000746,2.3840000000000146,5.486000000000104,0.2179999999998472,5.221007939339052,0.2074698743665866,14,0,4.194000000000187,-1.0930000000000746,4.194000000000187,5.486000000000104,0.2179999999998472,5.221007939339052,0.2074698743665866,14,0,4.19600000000014,-1.0930000000000746,2.6639999999999873,12.355999999999995,0.2179999999998472,11.759164071905227,0.2074698743665866,28,0,12.012000000000171,-1.0930000000000746,11.451999999999998,18.02300000000014,0.2179999999998472,17.152429108768988,0.2074698743665866,47,0,16.990999999999985,-1.0930000000000746,15.397000000000162
742,743,2019-12-24 02:30:00,1,1488.884,1.1157010363381779,2,1,0.7760000000000673,0.4230000000000018,0.6955268254898846,0.37913382368839815,0,0,0.7760000000000673,-0.009999999999990905,0.009999999999990905,0.7760000000000673,0.4230000000000018,0.6955268254898846,0.37913382368839815,0,0,0.7760000000000673,0.23900000000003274,0.0029999999999290594,2.4859999999998763,0.4230000000000018,2.228195474442806,0.37913382368839815,7,0,2.009999999999991,0.23900000000003274,0.8789999999999054,4.153999999999996,0.4230000000000018,3.7232196302638245,0.37913382368839815,13,0,2.86200000000008,0.23900000000003274,2.1820000000000164,4.153999999999996,0.4230000000000018,3.7232196302638245,0.37913382368839815,13,0,2.8640000000000327,0.23900000000003274,1.4110000000000582,11.67100000000005,0.4230000000000018,10.46068760346878,0.37913382368839815,29,0,11.347999999999956,0.23900000000003274,11.347999999999956,16.69100000000003,0.4230000000000018,14.960100830219949,0.37913382368839815,46,0,15.658999999999878,0.23900000000003274,14.946999999999889
743,744,2019-12-24 03:00:00,1,1489.618,1.1216509623140272,3,1,0.0009999999999763531,1.0219999999999345,0.0008915429430143745,0.9111568877821784,0,2,-0.59699999999998,0.9729999999999563,-0.9729999999999563,0.018000000000029104,1.0639999999998508,0.01604777297466417,0.948601691389593,4,3,-0.06899999999995998,0.9729999999999563,-0.06899999999995998,1.7519999999999527,1.0639999999998508,1.561983236198078,0.948601691389593,6,3,1.2760000000000673,0.9729999999999563,0.37400000000002365,3.4200000000000728,1.0639999999998508,3.049076865181327,0.948601691389593,12,3,2.130000000000109,0.9729999999999563,2.130000000000109,3.4200000000000728,1.0639999999998508,3.049076865181327,0.948601691389593,12,3,2.130000000000109,0.9729999999999563,0.21600000000012187,10.937000000000126,1.0639999999998508,9.750805167978903,0.948601691389593,28,3,10.614000000000033,0.9729999999999563,9.991999999999962,15.957000000000107,1.0639999999998508,14.22635074201688,0.948601691389593,45,3,14.924999999999955,0.9729999999999563,13.308999999999969
