pattern,horizon,n,mean_atr,uncond_atr,edge_atr,t,hit_rate
PIN_BULL,4,4646,0.03892674939271764,0.04128821865419792,-0.00236146926148028,-0.10567533577257233,0.5103314679294016
PIN_BULL,8,4645,0.07726046658827315,0.08143120759812164,-0.004170741009848489,-0.1265195241018546,0.516254036598493
PIN_BULL,16,4645,0.1615822289750198,0.160345198978609,0.0012370299964108156,0.02534577135033203,0.5315392895586653
PIN_BULL,32,4644,0.2655316208223366,0.32276674496252217,-0.057235124140185556,-0.8101110074702992,0.5478036175710594
PIN_BEAR,4,4078,-0.08480469861348088,-0.04128821865419792,-0.043516479959282955,-1.8087947555499269,0.47057381069151544
PIN_BEAR,8,4078,-0.1369353086030134,-0.08143120759812164,-0.055504101004891754,-1.576179265417564,0.4691025012260912
PIN_BEAR,16,4078,-0.29694185646873245,-0.160345198978609,-0.13659665749012345,-2.7110775058023555,0.4634624816086317
PIN_BEAR,32,4078,-0.5351797886848855,-0.32276674496252217,-0.2124130437223633,-2.872374634225059,0.4472780774889652
INSIDE_then_up,4,6025,0.031565079463138544,0.04128821865419792,-0.009723139191059375,-0.5151095669184845,0.52
INSIDE_then_up,8,6025,0.08641514514690334,0.08143120759812164,0.0049839375487816945,0.17872147453955425,0.5168464730290456
INSIDE_then_up,16,6024,0.15896877866950593,0.160345198978609,-0.0013764203091030658,-0.0337948725052255,0.5222443559096945
INSIDE_then_up,32,6023,0.3442543631791343,0.32276674496252217,0.02148761821661216,0.3612601688856247,0.5402623277436494
INSIDE_then_dn,4,6044,-0.02128699764711288,-0.04128821865419792,0.02000122100708504,1.0719271831847648,0.4859364659166115
INSIDE_then_dn,8,6044,-0.06386315416734951,-0.08143120759812164,0.017568053430772126,0.6261056114578096,0.4900727994705493
INSIDE_then_dn,16,6044,-0.16708324972161961,-0.160345198978609,-0.006738050743010621,-0.16415168886087694,0.47650562541363334
INSIDE_then_dn,32,6042,-0.3030003325136899,-0.32276674496252217,0.01976641244883226,0.336668916996299,0.46325719960278056
FAKEY_UP,4,3207,0.025339474699219745,0.04128821865419792,-0.015948743954978174,-0.5900835454098425,0.5116931711880262
FAKEY_UP,8,3207,0.1280736154035456,0.08143120759812164,0.04664240780542395,1.1895295406278015,0.522606797630184
FAKEY_UP,16,3207,0.24491068394040216,0.160345198978609,0.08456548496179317,1.5197065907536933,0.5325849703772997
FAKEY_UP,32,3207,0.4805006039189214,0.32276674496252217,0.15773385895639924,1.9185960477623727,0.5394449641409417
FAKEY_DN,4,3133,-0.029310726278572372,-0.04128821865419792,0.011977492375625547,0.4437574808513578,0.4832428981806575
FAKEY_DN,8,3133,-0.057328050823601526,-0.08143120759812164,0.024103156774520115,0.5922126916630982,0.4953718480689435
FAKEY_DN,16,3133,-0.14199323409248688,-0.160345198978609,0.01835196488612212,0.3165132972555718,0.47973188637089054
FAKEY_DN,32,3133,-0.3366334900727958,-0.32276674496252217,-0.013866745110273637,-0.1688097599514507,0.4762208745611235
BIGPLAY_L_adx,4,419,-0.023946199027549242,0.04128821865419792,-0.06523441768174716,-0.8613750099748696,0.4964200477326969
BIGPLAY_L_adx,8,419,-0.16586444151166402,0.08143120759812164,-0.24729564910978566,-2.160898414993113,0.5059665871121718
BIGPLAY_L_adx,16,419,-0.17931107146774863,0.160345198978609,-0.3396562704463576,-1.9856719229762259,0.5298329355608592
BIGPLAY_L_adx,32,419,-0.1610113540295201,0.32276674496252217,-0.48377809899204227,-2.0626528311671937,0.5393794749403341
BIGPLAY_S_adx,4,485,0.06357996045568637,-0.04128821865419792,0.10486817910988429,1.4775321617346058,0.49690721649484537
BIGPLAY_S_adx,8,485,0.08773337906563716,-0.08143120759812164,0.1691645866637588,1.6880143119209958,0.51340206185567
BIGPLAY_S_adx,16,485,-0.11975097695654431,-0.160345198978609,0.04059422202206468,0.3048144911030619,0.5072164948453608
BIGPLAY_S_adx,32,485,-0.5208471418797714,-0.32276674496252217,-0.19808039691724927,-1.0079784863372288,0.4577319587628866
BIGPLAY_L_noadx,4,2040,0.0661790408458922,0.04128821865419792,0.02489082219169428,0.6779312484698305,0.515686274509804
BIGPLAY_L_noadx,8,2040,0.02429490800786419,0.08143120759812164,-0.057136299590257456,-1.095610195412419,0.5210784313725491
BIGPLAY_L_noadx,16,2040,0.053758795320695656,0.160345198978609,-0.10658640365791333,-1.4498487052799542,0.5372549019607843
BIGPLAY_L_noadx,32,2039,0.11391415984056082,0.32276674496252217,-0.20885258512196136,-2.098750430000152,0.5463462481608632
BIGPLAY_S_noadx,4,2631,-0.08979443175205405,-0.04128821865419792,-0.04850621309785613,-1.5228468066154421,0.4732041049030787
BIGPLAY_S_noadx,8,2631,-0.11826717486760158,-0.08143120759812164,-0.036835967269479936,-0.8103204762360328,0.4849866970733561
BIGPLAY_S_noadx,16,2630,-0.26549784354801403,-0.160345198978609,-0.10515264456940504,-1.6386170118970305,0.46425855513307984
BIGPLAY_S_noadx,32,2629,-0.5286554730842283,-0.32276674496252217,-0.20588872812170617,-2.3725157197451567,0.45074172689235453
