arm,risk,n,pf,net,dd,net_dd,wr
baseline champion,0.7221971869468689,789,1.5890758996514098,678.5352329561255,24.890266366972753,27.261067557576784,21.673003802281368
squeeze gate (bw < 40th pct),0.9558463454246522,458,1.8630159969384072,1163.9040116295728,25.01378697367429,46.530499874110276,24.23580786026201
US30 baseline,2.4351570963859555,34,0.6573275354433938,-18.815450184078127,24.823639815196913,-0.7579650012710626,20.588235294117645
US30 squeeze gate,2.360727155208587,30,0.6327318532575469,-16.541350342842826,19.76940409076071,-0.836714666102327,20.0
bw < 20th pct,0.5801010727882385,243,1.4180982835219504,61.39637717806047,25.047464021750432,2.451201332188591,23.456790123456788
bw < 30th pct,0.9534872889518737,353,1.768694457167285,691.4212347541842,25.01433182971084,27.641003543934232,25.21246458923513
bw < 40th pct,0.9558463454246522,458,1.8630159969384072,1163.9040116295728,25.01378697367429,46.530499874110276,24.23580786026201
bw < 50th pct,0.9481366753578186,544,1.8361791031852446,1191.9647205218093,25.000602520367426,47.67743975573159,23.161764705882355
bw < 60th pct,0.8086332440376283,614,1.9096951600649705,1046.3335732169253,24.993522293758506,41.86419028574537,23.12703583061889
bw < 70th pct,0.7253995776176452,672,1.669229002973141,665.8479193019407,25.01161231978123,26.62155125342854,22.61904761904762
ATR rank < 30th pct,0.7428417801856995,378,1.572191724154249,255.20813497999285,24.9715278817429,10.219964761010068,23.28042328042328
ATR rank < 40th pct,0.7767688870429994,448,1.5032048627343741,278.1326294608334,24.93607790187893,11.153824212262192,22.098214285714285
ATR rank < 50th pct,0.6935808062553406,519,1.4433961076445148,204.6616530450859,24.963638916158622,8.198390215963716,21.57996146435453
