target,stop,n,resolved,hit%,breakeven%,edge,ambig%,unresolved%,net_edge
1.0,1.0,4021,4021,49.93782641134047,50.0,-0.0012434717731907852,1.666252176075603,0.0,-0.1471073734088379
1.0,1.5,4021,4021,60.756030838099974,60.0,0.018900770952499313,1.1191245958716738,0.0,-0.1269631306831478
1.0,2.0,4021,4021,67.52051728425765,66.66666666666666,0.025615518527729586,0.7460830639144491,0.0,-0.12024838310791752
1.0,3.0,4021,4021,76.10047251927381,75.0,0.044018900770952385,0.39791096742103954,0.0,-0.10184500086469472
1.0,4.0,4021,4020,80.9950248756219,80.0,0.04975124378109452,0.24875621890547264,0.02486943546381497,-0.09611265785455259
1.5,1.0,4021,4021,41.23352399900522,40.0,0.03083809997513054,1.1191245958716738,0.0,-0.11502580166051657
1.5,1.5,4021,4021,51.753295200198956,50.0,0.0525988560059687,0.7709524993782642,0.0,-0.09326504562967841
1.5,2.0,4021,4021,58.841084307386225,57.14285714285714,0.05943795075851788,0.5968664511315593,0.0,-0.08642595087712923
1.5,3.0,4021,4021,68.51529470281025,66.66666666666666,0.08318826162646109,0.3481720964934096,0.0,-0.06267564000918602
1.5,4.0,4021,4018,74.41513190642111,72.72727272727273,0.09283225485316082,0.32354405176704826,0.07460830639144492,-0.053031646782486286
2.0,1.0,4021,4021,34.91668739119622,33.33333333333333,0.04750062173588665,0.5222581447401144,0.0,-0.09836327989976046
2.0,1.5,4021,4021,44.98880875404128,42.857142857142854,0.07460830639144478,0.39791096742103954,0.0,-0.07125559524420233
2.0,2.0,4021,4021,51.97712011937329,50.0,0.07908480477493152,0.4227804028848545,0.0,-0.06677909686071559
2.0,3.0,4021,4021,62.223327530465056,60.0,0.11116637652325267,0.4227804028848545,0.0,-0.034697525112394434
2.0,4.0,4021,4018,68.79044300647088,66.66666666666666,0.12742658038825283,0.32354405176704826,0.07460830639144492,-0.018437321247394278
3.0,1.0,4021,4021,27.30664013926884,25.0,0.09226560557075358,0.32330266102959465,0.0,-0.053598296064893525
3.0,1.5,4021,4021,35.936334245212635,33.33333333333333,0.1171350410345684,0.29843322556577967,0.0,-0.02872886060107871
3.0,2.0,4021,4021,42.85003730415319,40.0,0.14250186520765973,0.3481720964934096,0.0,-0.0033620364279873804
3.0,3.0,4021,4021,53.3200696344193,50.0,0.1992041780651581,0.32330266102959465,0.0,0.053340276429511
3.0,4.0,4021,4017,60.268857356236,57.14285714285714,0.2188200149365196,0.34851879512073686,0.09947774185525989,0.07295611330087248
4.0,1.0,4021,4021,22.382491917433477,20.0,0.11912459587167379,0.14921661278288983,0.0,-0.02673930576397332
4.0,1.5,4021,4021,30.21636408853519,27.27272727272727,0.16190002486943533,0.22382491917433475,0.0,0.016036123233788224
4.0,2.0,4021,4021,36.58293956727182,33.33333333333333,0.1949763740363093,0.2735637901019647,0.0,0.04911247240066219
4.0,3.0,4021,4020,46.64179104477612,42.857142857142854,0.2649253731343286,0.22388059701492538,0.02486943546381497,0.11906147149868151
4.0,4.0,4021,4015,53.94769613947696,50.0,0.3158156911581571,0.199252801992528,0.14921661278288983,0.16995178952251
6.0,1.0,4021,4021,17.15991047003233,14.285714285714285,0.20119373290226306,0.09947774185525989,0.0,0.05532983126661595
6.0,1.5,4021,4021,23.7503108679433,20.0,0.2812733150957474,0.12434717731907485,0.0,0.13540941346010027
6.0,2.0,4021,4020,29.45273631840796,25.0,0.356218905472637,0.14925373134328357,0.02486943546381497,0.2103550038369899
6.0,3.0,4021,4019,38.392634983826824,33.33333333333333,0.45533714854441376,0.09952724558347847,0.04973887092762994,0.30947324690876665
6.0,4.0,4021,4012,45.48853439680957,40.0,0.5488534396809572,0.07477567298105683,0.22382491917433475,0.4029895380453101
8.0,1.0,4021,4021,14.474011439940313,11.11111111111111,0.30266102959462815,0.04973887092762994,0.0,0.15679712795898104
8.0,1.5,4021,4020,20.07462686567164,15.789473684210526,0.40708955223880583,0.024875621890547265,0.02486943546381497,0.2612256506031587
8.0,2.0,4021,4015,24.956413449564135,20.0,0.49564134495641365,0.024906600249066,0.14921661278288983,0.34977744332076655
8.0,3.0,4021,4011,33.00922463226128,27.27272727272727,0.6310147095487411,0.024931438544003988,0.2486943546381497,0.48515080791309395
8.0,4.0,4021,3986,39.56347215253387,33.33333333333333,0.747616658304064,0.025087807325639738,0.870430241233524,0.6017527566684169
12.0,1.0,4021,4016,10.931274900398407,7.6923076923076925,0.42106573705179273,0.0,0.12434717731907485,0.2752018354161456
12.0,1.5,4021,4010,15.13715710723192,11.11111111111111,0.5435162094763089,0.0,0.2735637901019647,0.39765230784066175
12.0,2.0,4021,3988,18.956870611835505,14.285714285714285,0.6539618856569707,0.0,0.820691370305894,0.5080979840213236
12.0,3.0,4021,3961,26.05402676091896,20.0,0.9081040141378436,0.0,1.4921661278288982,0.7622401125021965
12.0,4.0,4021,3898,31.68291431503335,25.0,1.069266290405336,0.0,3.0589405620492416,0.9234023887696889
