arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,pf_pre2025,avg_r,avg_bars,long_share,pf_tr,pf_va,pf_te,top10_share,n_over_10R
E  (baseline),25.0,0.7055200195312499,711,21.659634317862167,1.94531903219895,56.56051030458325,24.998950146723633,2.2625154245525816,25.34757991351973,21.55,1.459414302521056,1.2561411081529734,40.728551336146275,65.68213783403657,1.485525641096722,1.2738438825294114,2.2744531495061557,39.538021210664716,0
G1 (baseline),25.0,0.7079492187499998,711,21.80028129395218,2.013730433720619,61.408524420633825,24.998456749558144,2.456492616157965,25.229473680216014,21.0,1.483275477290227,1.4072815538149186,40.728551336146275,65.68213783403657,1.4967914744939361,1.2975815273814504,2.3373352657129782,41.18555670066147,0
A: VT ATR14,25.0,0.7055200195312499,711,21.659634317862167,1.9453190321989482,56.56051030458311,24.998950146723647,2.262515424552575,25.34757991351971,21.55,1.459414302521052,1.2561411081529463,40.728551336146275,65.68213783403657,1.4855256410967184,1.2738438825294123,2.274453149506153,39.53802121066463,0
A: VT ATR20,25.0,0.7160263061523435,711,21.659634317862167,1.9193578046453788,55.45155325798399,24.998143377272704,2.2182268667359626,26.010519316328544,24.4,1.4352213736500707,1.1989693393982193,40.728551336146275,65.68213783403657,1.4514206813820807,1.2678183780989296,2.2497639399325307,39.34751506842129,0
B: VT ATR20 x G1,25.0,0.6146072387695312,711,21.659634317862167,2.1535791568286107,60.05570358945593,24.998653021266655,2.4023575805610733,22.93879864568472,11.95,1.49612688063568,1.577837488174635,40.728551336146275,65.68213783403657,1.5426938970009894,1.3011960545765848,2.56884309639881,41.37037330622061,0
A: VT ATR50,25.0,0.7113500976562499,711,21.659634317862167,1.8623201061496537,51.04708759305148,24.99883350451673,2.041978782083109,26.05844046660343,24.85,1.394379480131342,1.0590077709796883,40.728551336146275,65.68213783403657,1.4049060837946286,1.2601955660360755,2.2023522213523936,37.48034357547339,0
A: VT EWMA094,25.0,0.6871188354492186,711,21.659634317862167,1.9981899109329166,55.68569577776641,24.998663164921222,2.2275469456265182,24.575191718285623,18.15,1.458043415225794,1.2908858045301408,40.728551336146275,65.68213783403657,1.5115070147513643,1.2695105911531797,2.3770191248017736,40.25923515672538,0
A: VT SD20d,25.0,0.7644888305664062,711,21.659634317862167,1.9637596568457216,57.38545675771025,24.999456795918675,2.295468146615042,26.997839925698823,31.0,1.3975214042388486,1.2746439576867417,40.728551336146275,65.68213783403657,1.3790050692805131,1.3241054366103289,2.295748566408245,42.00673983429566,0
B: VT SD20d x G1,25.0,0.6396279907226563,711,21.659634317862167,2.1971516287834114,61.428402592349315,24.99942096896617,2.457193015334452,24.122907077838786,16.35,1.4443919913961392,1.8257427825523806,40.728551336146275,65.68213783403657,1.449219219671023,1.3481209928642948,2.611889552681254,45.77713088672293,0
A: VT SD40d,25.0,0.7204595947265624,711,21.659634317862167,1.9709953191010228,53.4425890996709,24.999372993172038,2.1377571795207593,26.179212235049356,26.150000000000002,1.3798950727277421,1.2958204409879956,40.728551336146275,65.68213783403657,1.3336720722430644,1.3232288418773224,2.3421328015224105,40.000711640850035,0
