arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,pf_pre2025,avg_r,avg_bars,long_share,pf_tr,pf_va,pf_te,top10_share,n_over_10R
B: VT ATR14 x G1,25.0,0.6060443115234375,711,21.659634317862167,2.1751316764791153,60.785323708159346,24.999342066110202,2.4314769383695745,22.47097912442547,10.549999999999999,1.5200298020645941,1.6321603398052047,40.728551336146275,65.68213783403657,1.5760210106982295,1.308513904401242,2.5884446467686404,41.37023313396397,0
B: VT ATR16 x G1,25.0,0.6103561401367186,711,21.659634317862167,2.1684830861064213,60.69988820188177,24.99876561786369,2.428115416967095,22.703974720986576,11.25,1.5109056812227009,1.6120198095243587,40.728551336146275,65.68213783403657,1.5631131534197393,1.305325191158214,2.582067158045285,41.442183213349445,0
B: VT ATR18 x G1,25.0,0.6130889892578123,711,21.659634317862167,2.1611225567810255,60.43254118253483,24.99854785911306,2.4174420659600244,22.852557631808,11.55,1.5030029231315756,1.5815892867088015,40.728551336146275,65.68213783403657,1.5520527150589707,1.3030180015212978,2.5753797295923047,41.44136339151613,0
B: VT ATR20 x G1,25.0,0.6146072387695312,711,21.659634317862167,2.1535791568286107,60.05570358945593,24.998653021266655,2.4023575805610733,22.93879864568472,11.95,1.49612688063568,1.577837488174635,40.728551336146275,65.68213783403657,1.5426938970009894,1.3011960545765848,2.56884309639881,41.37037330622061,0
B: VT ATR22 x G1,25.0,0.6151538085937498,711,21.659634317862167,2.146199775081739,59.621678565347395,24.998805924553395,2.3849810565067036,23.012274551324275,12.049999999999999,1.4901297749451217,1.549961667172286,40.728551336146275,65.68213783403657,1.5348171392961218,1.2996724428222548,2.5626990362092994,41.2462765295658,0
B: VT ATR25 x G1,25.0,0.6146679687499998,711,21.659634317862167,2.1358563180979644,58.93578792577561,24.99795998151021,2.3576239008850153,23.022151356814724,12.15,1.4825178508569505,1.5271696006913014,40.728551336146275,65.68213783403657,1.52530165789049,1.297751626546794,2.554447713471405,41.075762550162,0
B: VT ATR30 x G1,25.0,0.6124816894531249,711,21.659634317862167,2.1212272495622715,57.863745147018086,24.997980034736518,2.314736833400626,23.022354297500623,12.0,1.4726890510378865,1.4945563437197493,40.728551336146275,65.68213783403657,1.513993078577257,1.2951722019969358,2.5433676199083006,40.7773724679745,0
B: VT ATR40 x G1,25.0,0.607137451171875,711,21.659634317862167,2.101265899877871,56.26353757583556,24.999017958089325,2.2506299115493644,22.91797725049026,11.4,1.4599472080009235,1.4560026766603649,40.728551336146275,65.68213783403657,1.5015956863080422,1.2914166724976905,2.5295148992000525,40.24252707373966,0
B: VT SD10d x G1,25.0,0.5996676635742186,711,21.659634317862167,2.160756136865467,57.883440945371675,24.998817972453104,2.3154471147057856,22.647677886173092,10.9,1.454346128554948,1.6237790785602886,40.728551336146275,65.68213783403657,1.5275144888322285,1.3017017582701378,2.5999833704990216,43.859855148705556,0
B: VT SD15d x G1,25.0,0.6323403930664062,711,21.659634317862167,2.158707053333137,59.627264585987994,24.998259039835418,2.385256688914628,23.87438231800393,15.1,1.4476941535377372,1.7205483492206721,40.728551336146275,65.68213783403657,1.464099637944928,1.323645515053265,2.567393372165593,44.628966968115975,0
B: VT SD20d x G1,25.0,0.6396279907226563,711,21.659634317862167,2.1971516287834114,61.428402592349315,24.99942096896617,2.457193015334452,24.122907077838786,16.35,1.4443919913961392,1.8257427825523806,40.728551336146275,65.68213783403657,1.449219219671023,1.3481209928642948,2.611889552681254,45.77713088672293,0
B: VT SD30d x G1,25.0,0.6334335327148437,711,21.659634317862167,2.2219697609085443,60.54569331830288,24.998031285165105,2.422018463279277,24.41272730188542,17.349999999999998,1.4149516284835322,1.8223503302687392,40.728551336146275,65.68213783403657,1.4105626228355204,1.3357901506854977,2.666836698796661,46.29816513761426,0
B: VT SD40d x G1,25.0,0.5892221069335937,711,21.659634317862167,2.1752249894597933,55.166051332121626,24.999404745483332,2.20669459508185,23.21777575154657,12.65,1.4186487296735129,1.630512597483876,40.728551336146275,65.68213783403657,1.3992614142713344,1.3364792234493172,2.6465058966605954,42.95170883164562,0
