filter,risk,n,wr,pf,net,dd,mar
config E - no filter,0.5525585937499999,711,21.659634317862167,1.905531623797274,996.1939006469839,19.980640081781853,2.16593079452715
   |close-EMA| > 1 ATR,0.6129443359375,697,21.8077474892396,1.9562457780073497,1308.4346190555002,19.98150010029675,2.44088960622536
   |close-EMA| > 2 ATR,0.5911181640625,686,21.720116618075803,1.9572072253324242,1197.2491510634156,19.99074143279432,2.348415680535527
   |close-EMA| > 3 ATR,0.5816601562499999,669,22.421524663677133,1.9973193896749686,1242.4165334027387,19.997648698821337,2.385472514026391
   |close-EMA| > 4 ATR,0.53509765625,643,22.3950233281493,2.0001987270749626,911.519180409406,19.987624552296055,2.079148278050097
   |close-EMA| > 6 ATR,0.5867529296874999,571,24.168126094570926,2.2776294941358683,1310.1634370045251,19.99412632087447,2.440719180371865
   |close-EMA| > 8 ATR,0.48416992187499996,492,23.983739837398375,2.2764632666577618,573.8821846649707,19.992276929559168,1.6596700354474814
   ADX(14) > 15,0.5401904296875001,680,21.470588235294116,1.7698505620299703,682.8265111480017,19.996389722078835,1.810924020091038
   ADX(14) > 20,0.5743847656250001,598,20.903010033444815,1.670196689643732,544.2419612576983,19.990310568038108,1.6149783491463001
   ADX(14) > 25,0.6878808593750001,479,21.920668058455114,1.5777111883806154,468.0524808796055,19.98800903395439,1.4912402277255998
   ADX(14) > 30,0.5532861328124999,362,22.65193370165746,1.5382408034664763,168.83161436787123,19.978148147453847,0.8014570349840989
   ADX(14) > 35,0.670419921875,271,23.247232472324722,1.4900276633333858,128.33568246194616,19.99035083075007,0.6603966645682976
"   ATR pct in [0.3,1.0]",0.5212744140625,598,21.237458193979933,1.699342540282531,339.43794030816264,19.989109645684294,1.2455509859522407
"   ATR pct in [0.5,1.0]",0.7679101562499999,489,21.676891615541923,1.958293349534721,562.2093529098436,19.992728714990797,1.642174035249525
"   ATR pct in [0.0,0.7]",0.5380078125000001,593,21.585160202360875,1.771534260786309,697.1389204619101,19.99750541784744,1.829382390696221
"   ATR pct in [0.2,0.8]",0.39031738281250006,569,20.38664323374341,1.5253647750393167,166.2351705275558,19.981270259972515,0.7928752609416039
   ATR20/ATR200 > 1.05,0.7177099609375001,281,23.131672597864767,1.5137743254267009,125.90569981934226,19.99039193100221,0.6513033053481548
   RSI(14) beyond 55/45 with the trade,0.5525585937499999,711,21.659634317862167,1.9019973531321979,990.8017328605947,19.980640081781853,2.1606222149771424
   RSI(14) beyond 60/40 with the trade,0.42669433593750006,694,22.19020172910663,1.866329598109877,547.2411629827131,19.978210004959323,1.6205768877035938
   RSI(14) beyond 65/35 with the trade,0.3830419921875,624,21.314102564102562,1.7121429667457806,288.65248291747577,19.997175316959122,1.1309055266396655
   strong bar: body > 50% of range,0.47907714843750004,683,21.669106881405565,1.8153803290527648,621.3639900415878,19.98783792749102,1.7285240679186322
   strong bar: body > 65% of range,0.524912109375,633,21.80094786729858,1.7288024896447756,576.8385746170263,19.99290100806763,1.6639991087685426
   |EMA slope| > 0.5 ATR over 2 days,0.40705078125000005,602,22.093023255813954,1.9029903103000096,364.0957265808271,19.98942889217527,1.2969720588486877
   |EMA slope| > 1.0 ATR over 2 days,0.4557958984375,473,23.890063424947147,2.340068514025203,574.5060787875254,19.984955453714903,1.661204288090742
   |EMA slope| > 2.0 ATR over 2 days,0.5038134765625,296,23.986486486486484,2.5208165200388675,415.2733205649758,19.990449156016773,1.3966514686590914
   volume rank > 0.5,0.7271679687500001,640,22.03125,1.994691186526714,1276.413860720294,19.985638286146695,2.4147180294803774
   volume rank > 0.7,0.46161621093750005,585,20.51282051282051,1.512660220150181,164.04566419687455,19.99062503345794,0.7853217847770497
   exclude New York 16-21,0.6231298828124999,688,21.802325581395348,1.946356599687677,1297.043971184832,19.99558671869119,2.430101759172892
   Asia + London only 00-12,0.31829101562499995,568,21.30281690140845,1.7779982416256486,230.21618774900347,19.99101242120422,0.9829836875726383
"   TP1 2.0 ATR, close 25%",0.5678369140625,710,21.549295774647888,1.8689109065093956,880.5492556736773,19.996762804364742,2.045215435030912
"   TP1 3.0 ATR, close 33%",0.5809326171874999,710,21.830985915492956,1.855599464747147,885.627603293369,19.993597918341084,2.0510085718189925
"   TP1 4.0 ATR, close 50%",0.5722021484375001,710,22.112676056338028,1.8199918280036915,758.2821600369834,19.987375233947517,1.9065785260220054
"   TP1 2.0 ATR, close 50%",0.6260400390624999,710,21.267605633802816,1.8774488262421982,1005.3982114204439,19.99491884240063,2.1733882000969453
   move stop to breakeven after TP1,0.36921875000000004,788,30.96446700507614,1.3511454615770735,75.9756597972235,19.985309491401253,0.44326263688111806
   ADX>20 AND trend>2 ATR,0.571474609375,579,20.72538860103627,1.6701084492072271,489.51447796370394,19.990800707434868,1.5272986840832457
   ADX>25 AND vol expanding,0.9170556640624999,207,21.73913043478261,1.3502275490408724,84.94574027605675,19.985765371489432,0.48407456630771967
   trend>2 AND vol expanding AND body>0.5,0.57001953125,261,23.754789272030653,1.4460837523621615,69.3415510533761,19.990506664261368,0.4118101139046062
   ADX>20 AND trend>2 AND not NY,0.6522314453124999,551,19.782214156079856,1.635480564988343,543.1167416464547,19.98302423259142,1.6138294786275662
