step,n,hit,obs,h99,year,phase
LQP -> overshoot,81887,10579,0.12919022555472787,0.0,2025-26,0
overshoot -> hz,10579,3995,0.3776349371396162,0.3333333333333333,2025-26,0
hz -> half,3995,2508,0.6277847309136421,0.6,2025-26,0
half -> whole,2508,1608,0.6411483253588517,0.625,2025-26,0
whole -> completion,1608,1414,0.8793532338308457,0.8888888888888888,2025-26,0
completion -> target,1414,1298,0.917963224893918,0.9,2025-26,0
LQP -> overshoot,80250,10723,0.13361993769470404,0.0,2025-26,1
overshoot -> hz,10723,3982,0.3713513009419006,0.3333333333333333,2025-26,1
hz -> half,3982,2485,0.6240582621798091,0.6,2025-26,1
half -> whole,2485,1596,0.6422535211267606,0.625,2025-26,1
whole -> completion,1596,1422,0.8909774436090225,0.8888888888888888,2025-26,1
completion -> target,1422,1286,0.9043600562587905,0.9,2025-26,1
LQP -> overshoot,82539,10960,0.13278571342032253,0.0,2025-26,2
overshoot -> hz,10960,4040,0.3686131386861314,0.3333333333333333,2025-26,2
hz -> half,4040,2522,0.6242574257425743,0.6,2025-26,2
half -> whole,2522,1642,0.6510705789056305,0.625,2025-26,2
whole -> completion,1642,1460,0.8891595615103532,0.8888888888888888,2025-26,2
completion -> target,1460,1317,0.9020547945205479,0.9,2025-26,2
LQP -> overshoot,82393,11039,0.1339798283834792,0.0,2025-26,3
overshoot -> hz,11039,4092,0.37068575052088054,0.3333333333333333,2025-26,3
hz -> half,4092,2479,0.6058162267839687,0.6,2025-26,3
half -> whole,2479,1588,0.6405808793868495,0.625,2025-26,3
whole -> completion,1588,1426,0.8979848866498741,0.8888888888888888,2025-26,3
completion -> target,1426,1276,0.8948106591865358,0.9,2025-26,3
LQP -> overshoot,85107,10987,0.12909631405172312,0.0,2025-26,4
overshoot -> hz,10987,4084,0.3717120233002639,0.3333333333333333,2025-26,4
hz -> half,4084,2471,0.6050440744368266,0.6,2025-26,4
half -> whole,2471,1594,0.6450829623634157,0.625,2025-26,4
whole -> completion,1594,1427,0.8952321204516939,0.8888888888888888,2025-26,4
completion -> target,1427,1299,0.9103013314646111,0.9,2025-26,4
LQP -> overshoot,82439,11236,0.13629471488009315,0.0,2025-26,5
overshoot -> hz,11236,4221,0.3756674973300107,0.3333333333333333,2025-26,5
hz -> half,4221,2618,0.6202321724709784,0.6,2025-26,5
